site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
1000Brains,1126,2,1,0.3333333333333333,3,22.0,24.0,2.0,2.0,2.4412000000000003,2.6500500000000002,2.4412000000000003,2.6500500000000002,0.13010764773832456,0.42546615023994544
1000Brains,1126,3,2,0.5,3,22.0,25.0,1.5,3.0,2.9509,2.3492,2.7630000000000003,2.511433333333333,0.3588646402196794,0.3849083830385268
1000Brains,1126,4,1,0.6666666666666666,3,22.0,26.0,4.0,4.0,2.76105,2.4675000000000002,2.71505,2.530025,0.32501450736851734,0.3164683909966364
1000Brains,1126,4,2,0.6666666666666666,3,22.0,27.0,2.0,5.0,2.41355,2.4606500000000002,2.5413000000000006,2.55535,0.3000012777750566,0.27081494911962783
1000Brains,1126,4,2,0.6666666666666666,3,22.0,28.0,2.0,6.0,2.4404000000000003,2.56855,2.5547250000000004,2.6093,0.2930493971443495,0.27757683620936374
1000Brains,1126,6,2,1.0,3,22.0,29.0,3.0,7.0,2.3851500000000003,2.3851500000000003,2.4231000000000003,2.38175,0.3088043199179701,0.2095227696456879
1000Brains,1126,4,2,0.6666666666666666,3,22.0,30.0,2.0,8.0,2.6690500000000004,2.3722000000000003,2.621775,2.4545250000000003,0.44206995204379146,0.3816045193215965
1000Brains,1126,4,1,0.6666666666666666,3,22.0,31.0,4.0,9.0,2.444,2.47975,2.4343500000000002,2.5744000000000002,0.074242552937427,0.2835762919098374
1000Brains,1126,6,1,1.0,3,22.0,32.0,6.0,10.0,2.543,2.4536499999999997,2.6547833333333335,2.5073,0.3063988016730265,0.2845948980568696
1000Brains,1126,8,3,1.3333333333333333,3,22.0,33.0,2.6666666666666665,11.0,2.51185,2.42915,2.6274375,2.4461250000000003,0.26155868468799554,0.281125806865386
1000Brains,1126,8,4,1.3333333333333333,3,22.0,34.0,2.0,12.0,2.3663,2.4459,2.277,2.55385,0.18121929887767005,0.32202951506256167
1000Brains,1126,12,4,2.0,3,22.0,35.0,3.0,13.0,2.40225,2.47995,2.379891666666667,2.5658500000000006,0.26556594612718,0.28250505224766254
1000Brains,1126,12,5,2.0,3,22.0,36.0,2.4,14.0,2.41355,2.29205,2.4749666666666665,2.2892500000000005,0.3171717210062408,0.22855127731788413
1000Brains,1126,12,5,2.0,3,22.0,37.0,2.4,15.0,2.4998,2.3851500000000003,2.5454000000000003,2.415275,0.237016524165031,0.32800758895045534
1000Brains,1126,18,4,3.0,3,22.0,38.0,4.5,16.0,2.40225,2.4084000000000003,2.383755555555555,2.4506666666666668,0.28636832149446206,0.295496270504981
1000Brains,1126,32,19,5.333333333333333,3,22.0,39.0,1.6842105263157894,17.0,2.45395,2.40815,2.498621875,2.4674375,0.2893886846377567,0.2808600624464421
1000Brains,1126,32,16,5.333333333333333,3,22.0,40.0,2.0,18.0,2.4006,2.4084000000000003,2.481240625,2.4669468749999997,0.32055630259765705,0.29140040625248437
1000Brains,1126,48,18,8.0,3,22.0,41.0,2.6666666666666665,19.0,2.33475,2.4006,2.39938125,2.4571437499999997,0.2819605937883308,0.29928161853703766
1000Brains,1126,36,20,6.0,3,22.0,42.0,1.8,20.0,2.46005,2.3515,2.500038888888889,2.3644499999999997,0.2968339240121392,0.2888625965996389
1000Brains,1126,36,24,6.0,3,22.0,43.0,1.5,21.0,2.3893,2.3893,2.4009027777777776,2.390930555555556,0.2942254252256361,0.2589172761652366
1000Brains,1126,54,26,9.0,3,22.0,44.0,2.076923076923077,22.0,2.3893,2.38915,2.427859259259259,2.4385166666666667,0.2951690200280961,0.28768403248558966
1000Brains,1126,36,20,6.0,3,22.0,45.0,1.8,23.0,2.376,2.4484500000000002,2.393283333333333,2.4846972222222217,0.265597344543524,0.29460840496798085
1000Brains,1126,36,17,6.0,3,22.0,46.0,2.1176470588235294,24.0,2.41355,2.3893,2.4451944444444447,2.3836138888888883,0.30720260968426916,0.27170139718109426
1000Brains,1126,54,22,9.0,3,22.0,47.0,2.4545454545454546,25.0,2.376,2.3893,2.4220944444444448,2.4442555555555554,0.29510064827116683,0.31646428315960595
1000Brains,1126,36,19,6.0,3,22.0,48.0,1.894736842105263,26.0,2.3420500000000004,2.3612,2.368888888888889,2.423558333333333,0.25914634230519,0.3103347661339744
1000Brains,1126,36,15,6.0,3,22.0,49.0,2.4,27.0,2.35705,2.38915,2.4221138888888887,2.4375444444444443,0.3081509891064794,0.27633415945651685
1000Brains,1126,54,20,9.0,3,22.0,50.0,2.7,28.0,2.38305,2.38305,2.410335185185185,2.4331574074074074,0.2975015916605004,0.3122742327723007
1000Brains,1126,40,21,6.666666666666667,3,22.0,51.0,1.9047619047619047,29.0,2.38915,2.4193,2.4454025,2.4548250000000005,0.3569588387443184,0.29843785828277597
1000Brains,1126,40,17,6.666666666666667,3,22.0,52.0,2.3529411764705883,30.0,2.3954500000000003,2.45395,2.421505,2.491475,0.28169438790910833,0.2820206173132446
