site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
AOMIC-PIOP2,226,14,11,2.3333333333333335,3,18.0,20.0,1.2727272727272727,2.0,2.13095,2.16085,2.1707642857142853,2.158542857142857,0.1650946376948821,0.15052017863337852
AOMIC-PIOP2,226,28,16,4.666666666666667,3,18.0,21.0,1.75,3.0,2.20485,2.1043000000000003,2.185982142857143,2.120607142857143,0.15768846702367018,0.1587964966694711
AOMIC-PIOP2,226,42,16,7.0,3,18.0,22.0,2.625,4.0,2.1082,2.13095,2.1392690476190475,2.1521738095238097,0.15859161926630885,0.14945859375943626
AOMIC-PIOP2,226,84,54,14.0,3,18.0,23.0,1.5555555555555556,5.0,2.1464499999999997,2.1464499999999997,2.1465797619047624,2.1609357142857144,0.14618761404834352,0.15696466231335734
AOMIC-PIOP2,226,84,49,14.0,3,18.0,24.0,1.7142857142857142,6.0,2.1834,2.1504000000000003,2.1625654761904762,2.1540559523809524,0.14562535319284753,0.14571910042682298
AOMIC-PIOP2,226,126,63,21.0,3,18.0,25.0,2.0,7.0,2.1841999999999997,2.1567,2.152861904761904,2.1528992063492063,0.15002477654421906,0.15378481927474205
AOMIC-PIOP2,226,152,101,25.333333333333332,3,18.0,26.0,1.504950495049505,8.0,2.1834499999999997,2.1635,2.1709230263157893,2.155567105263158,0.15181746205281604,0.15317786993532265
AOMIC-PIOP2,226,40,33,6.666666666666667,3,19.0,21.0,1.2121212121212122,2.0,2.1348000000000003,2.18525,2.13755,2.1602449999999997,0.14088659560267905,0.15175462473415804
AOMIC-PIOP2,226,80,49,13.333333333333334,3,19.0,22.0,1.6326530612244898,3.0,2.1606,2.148,2.15794125,2.1532712500000004,0.14671628756342084,0.15399452743338116
AOMIC-PIOP2,226,120,72,20.0,3,19.0,23.0,1.6666666666666667,4.0,2.1834499999999997,2.1875,2.1606241666666666,2.1651975,0.15905221540799258,0.15126243790098023
AOMIC-PIOP2,226,148,106,24.666666666666668,3,19.0,24.0,1.3962264150943395,5.0,2.1841999999999997,2.1873,2.170194594594595,2.1707972972972973,0.1557038575729575,0.15628170968402333
AOMIC-PIOP2,226,148,103,24.666666666666668,3,19.0,25.0,1.4368932038834952,6.0,2.1754,2.1834499999999997,2.1638560810810814,2.165477027027027,0.1554855735051039,0.15431040855930866
AOMIC-PIOP2,226,216,159,36.0,3,19.0,26.0,1.3584905660377358,7.0,2.1563,2.1449499999999997,2.1508162037037035,2.1500731481481483,0.15262153728486527,0.1542441511349633
AOMIC-PIOP2,226,62,55,10.333333333333334,3,20.0,22.0,1.1272727272727272,2.0,2.19635,2.1992000000000003,2.17363870967742,2.177014516129032,0.15383602336108948,0.15022095294552087
