site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
AOMIC,1363,30,28,5.0,3,18.0,20.0,1.0714285714285714,2.0,2.3149499999999996,2.3103,2.334553333333333,2.3268100000000005,0.26292208067362305,0.2675686445600907
AOMIC,1363,60,30,10.0,3,18.0,21.0,2.0,3.0,2.1628,2.1417,2.242606666666666,2.2072616666666667,0.29452510805844073,0.27413427990841266
AOMIC,1363,90,36,15.0,3,18.0,22.0,2.5,4.0,2.1673,2.1034,2.19938,2.185533333333333,0.24807594034846522,0.25863770070258335
AOMIC,1363,388,228,64.66666666666667,3,18.0,23.0,1.7017543859649122,5.0,2.02845,2.03075,2.1306507731958764,2.1355953608247424,0.2421115902721377,0.25562225103441305
AOMIC,1363,388,236,64.66666666666667,3,18.0,24.0,1.6440677966101696,6.0,2.0336499999999997,2.0389,2.1215273195876287,2.1272507731958763,0.23605663605885377,0.23495378824190033
AOMIC,1363,582,296,97.0,3,18.0,25.0,1.9662162162162162,7.0,2.0182,2.0324999999999998,2.1104017182130583,2.121901202749141,0.2339706552141648,0.23384000351667433
AOMIC,1363,756,491,126.0,3,18.0,26.0,1.539714867617108,8.0,2.0166500000000003,2.02175,2.0945,2.0975716931216932,0.21932198864223978,0.21629504516261522
AOMIC,1363,184,166,30.666666666666668,3,19.0,21.0,1.108433734939759,2.0,2.03285,2.0279499999999997,2.138420108695652,2.138052717391304,0.25493295395887083,0.252799822735478
AOMIC,1363,368,234,61.333333333333336,3,19.0,22.0,1.5726495726495726,3.0,2.0377,2.0223,2.1247497282608694,2.1209847826086956,0.23800036555723092,0.2407335586344655
AOMIC,1363,552,304,92.0,3,19.0,23.0,1.8157894736842106,4.0,2.022,2.02215,2.112495289855073,2.111438949275362,0.23513795274238383,0.22796135204564869
AOMIC,1363,736,499,122.66666666666667,3,19.0,24.0,1.4749498997995991,5.0,2.02385,2.02385,2.103775815217391,2.1019063858695652,0.2187037739053054,0.22048694045576972
AOMIC,1363,736,518,122.66666666666667,3,19.0,25.0,1.420849420849421,6.0,2.02735,2.0232,2.1075471467391305,2.098251358695652,0.2158854939435468,0.21338115129046098
AOMIC,1363,1104,720,184.0,3,19.0,26.0,1.5333333333333334,7.0,2.02105,2.0183,2.093367028985507,2.0899391304347823,0.20567109052919832,0.21001004459327224
AOMIC,1363,342,326,57.0,3,20.0,22.0,1.049079754601227,2.0,2.0125,2.0168,2.0926649122807017,2.099704385964912,0.2146517117509593,0.2206318281385191
AOMIC,1363,684,498,114.0,3,20.0,23.0,1.3734939759036144,3.0,2.0149999999999997,2.0103,2.089545614035088,2.087449561403509,0.21370796981941714,0.21396826193497373
AOMIC,1363,1026,662,171.0,3,20.0,24.0,1.5498489425981874,4.0,2.0184,2.0172,2.094192787524366,2.0952162768031193,0.21406650438391558,0.2141713574668598
AOMIC,1363,1200,897,200.0,3,20.0,25.0,1.3377926421404682,5.0,2.0152,2.0182,2.0881235833333336,2.094073083333333,0.20802353479358146,0.2131234732407442
AOMIC,1363,1200,887,200.0,3,20.0,26.0,1.3528748590755355,6.0,2.0156,2.0152,2.0929528333333334,2.09226225,0.21522265548690403,0.2139941252027461
AOMIC,1363,442,409,73.66666666666667,3,21.0,23.0,1.080684596577017,2.0,2.02255,2.0202,2.094964253393665,2.0929384615384614,0.21382347083158634,0.2151969217158905
AOMIC,1363,816,551,136.0,3,21.0,24.0,1.4809437386569873,3.0,2.01875,2.02285,2.0908659313725493,2.0930254901960788,0.2091644622916552,0.21128644555053464
AOMIC,1363,1224,814,204.0,3,21.0,25.0,1.5036855036855037,4.0,2.0170500000000002,2.0185,2.0914723039215684,2.0908669934640525,0.20836460526046624,0.20546592547252907
AOMIC,1363,1064,827,177.33333333333334,3,21.0,26.0,1.2865779927448608,5.0,2.01255,2.01445,2.0777437969924812,2.079910714285714,0.196186300383574,0.19702284068958442
AOMIC,1363,408,348,68.0,3,22.0,24.0,1.1724137931034482,2.0,2.02545,2.02675,2.100044607843137,2.100513480392157,0.21588171702302394,0.21266654404932073
AOMIC,1363,816,619,136.0,3,22.0,25.0,1.3182552504038771,3.0,2.01645,2.0117,2.086724019607843,2.0831629901960786,0.20315572536235327,0.20186813828427863
AOMIC,1363,1146,752,191.0,3,22.0,26.0,1.523936170212766,4.0,2.00875,2.00955,2.075562914485166,2.0729320244328098,0.19824092905092616,0.1892733474311051
AOMIC,1363,408,375,68.0,3,23.0,25.0,1.088,2.0,2.0106,2.00885,2.073372303921569,2.0724622549019607,0.18705295244860567,0.18783494020935854
