site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
CamCAN,650,8,7,1.3333333333333333,3,18.0,20.0,1.1428571428571428,2.0,2.1277,2.1277,2.157525,2.1935000000000002,0.15005657742522127,0.1838638937599534
CamCAN,650,8,5,1.3333333333333333,3,18.0,21.0,1.6,3.0,2.1645,2.3709,2.2044249999999996,2.318925,0.1438826481149531,0.14150975483791114
CamCAN,650,12,8,2.0,3,18.0,22.0,1.5,4.0,2.1745,2.2567,2.207666666666667,2.2693499999999998,0.16029542801472615,0.15590941717432075
CamCAN,650,16,13,2.6666666666666665,3,18.0,23.0,1.2307692307692308,5.0,2.2419000000000002,2.2537,2.2322687500000002,2.25504375,0.170496153304603,0.17483573230797728
CamCAN,650,16,12,2.6666666666666665,3,18.0,24.0,1.3333333333333333,6.0,2.20275,2.2419000000000002,2.21923125,2.22440625,0.14040813233214097,0.16997289771705765
CamCAN,650,24,17,4.0,3,18.0,25.0,1.411764705882353,7.0,2.20275,2.2082,2.2181583333333332,2.2537333333333334,0.14927032646282665,0.2822429336993017
CamCAN,650,24,20,4.0,3,18.0,26.0,1.2,8.0,2.2419000000000002,2.21085,2.26135,2.2612375,0.27571207413910437,0.27975969161826697
CamCAN,650,24,19,4.0,3,18.0,27.0,1.263157894736842,9.0,2.2539,2.2419000000000002,2.2788708333333334,2.268120833333333,0.27812198993648796,0.27415553658964037
CamCAN,650,36,24,6.0,3,18.0,28.0,1.5,10.0,2.194,2.21655,2.2476694444444445,2.2501361111111113,0.23628833333081423,0.2396584094709776
CamCAN,650,32,23,5.333333333333333,3,18.0,29.0,1.391304347826087,11.0,2.1849,2.18085,2.24748125,2.2410281249999997,0.2585639153996052,0.25622047365296874
CamCAN,650,32,23,5.333333333333333,3,18.0,30.0,1.391304347826087,12.0,2.1997,2.2132500000000004,2.257415625,2.2214718749999998,0.2538821521244428,0.15547158278745185
CamCAN,650,48,28,8.0,3,18.0,31.0,1.7142857142857142,13.0,2.1754,2.19555,2.1851708333333333,2.2330770833333333,0.15498341154655854,0.21832658168936536
CamCAN,650,40,27,6.666666666666667,3,18.0,32.0,1.4814814814814814,14.0,2.2131999999999996,2.1973000000000003,2.2735625,2.276445,0.2961001508390752,0.3044743725900467
CamCAN,650,40,26,6.666666666666667,3,18.0,33.0,1.5384615384615385,15.0,2.19065,2.1864,2.2184525,2.2574825,0.23730515352816434,0.30457651043955847
CamCAN,650,60,35,10.0,3,18.0,34.0,1.7142857142857142,16.0,2.21805,2.1868,2.23961,2.242066666666667,0.2670307858211693,0.2676255483400152
CamCAN,650,56,38,9.333333333333334,3,18.0,35.0,1.4736842105263157,17.0,2.1997,2.19035,2.233742857142857,2.2244446428571427,0.22385269251910275,0.20957322688102287
CamCAN,650,56,39,9.333333333333334,3,18.0,36.0,1.435897435897436,18.0,2.19035,2.188,2.2310142857142856,2.2244660714285716,0.22033947645194424,0.2069497692913434
CamCAN,650,84,49,14.0,3,18.0,37.0,1.7142857142857142,19.0,2.19315,2.1805,2.2301261904761907,2.20692380952381,0.19365720373589684,0.20161040899873695
CamCAN,650,64,44,10.666666666666666,3,18.0,38.0,1.4545454545454546,20.0,2.19555,2.1898,2.23185625,2.2172578124999998,0.2054753767158195,0.213806000038076
CamCAN,650,64,46,10.666666666666666,3,18.0,39.0,1.391304347826087,21.0,2.2539,2.21525,2.251703125,2.2475078125,0.2132572728760354,0.21061344965621565
CamCAN,650,96,54,16.0,3,18.0,40.0,1.7777777777777777,22.0,2.1912000000000003,2.22675,2.2433666666666667,2.2363760416666665,0.25596859045251164,0.2034792376553398
CamCAN,650,76,52,12.666666666666666,3,18.0,41.0,1.4615384615384615,23.0,2.18755,2.21525,2.2123934210526315,2.2388026315789475,0.1947417813999015,0.20570124807508855
CamCAN,650,76,52,12.666666666666666,3,18.0,42.0,1.4615384615384615,24.0,2.19025,2.19035,2.2117500000000003,2.211330263157895,0.20951390184583618,0.21770114500984256
CamCAN,650,114,67,19.0,3,18.0,43.0,1.7014925373134329,25.0,2.194,2.19415,2.2446929824561406,2.2515324561403514,0.21202587824995187,0.26770294873289247
CamCAN,650,96,66,16.0,3,18.0,44.0,1.4545454545454546,26.0,2.1907500000000004,2.19315,2.219663541666667,2.21805,0.19189553908300253,0.18975050710701255
CamCAN,650,96,69,16.0,3,18.0,45.0,1.391304347826087,27.0,2.19065,2.19455,2.2219093749999996,2.23445,0.2048538236623348,0.19677062146998522
CamCAN,650,144,95,24.0,3,18.0,46.0,1.5157894736842106,28.0,2.2056500000000003,2.2342500000000003,2.2417284722222224,2.277415277777778,0.2010106940282867,0.2643215763213689
CamCAN,650,112,79,18.666666666666668,3,18.0,47.0,1.4177215189873418,29.0,2.19565,2.2036,2.2271285714285716,2.237516071428572,0.20054039804585821,0.20731748276086404
CamCAN,650,112,78,18.666666666666668,3,18.0,48.0,1.435897435897436,30.0,2.22955,2.20505,2.2660419642857144,2.236324107142857,0.2507164309806487,0.21445490516783938
CamCAN,650,168,109,28.0,3,18.0,49.0,1.5412844036697249,31.0,2.2112999999999996,2.2423,2.2604357142857143,2.276285119047619,0.2637291257535736,0.2681008981216558
CamCAN,650,132,90,22.0,3,18.0,50.0,1.4666666666666666,32.0,2.1948,2.2071,2.229140151515151,2.254429545454545,0.24014021313252734,0.26020624636453304
CamCAN,650,132,90,22.0,3,18.0,51.0,1.4666666666666666,33.0,2.19775,2.2018,2.240135606060606,2.222952272727273,0.2618256861805287,0.22385546470605705
CamCAN,650,198,132,33.0,3,18.0,52.0,1.5,34.0,2.19455,2.22655,2.2332666666666667,2.2567530303030305,0.20954391371893802,0.24407953739411875
CamCAN,650,144,108,24.0,3,18.0,53.0,1.3333333333333333,35.0,2.1912000000000003,2.1986499999999998,2.2434,2.244590972222222,0.2674648607728719,0.25413964167436937
CamCAN,650,144,105,24.0,3,18.0,54.0,1.3714285714285714,36.0,2.22955,2.2018,2.2646055555555558,2.24470625,0.2648187641973617,0.23496075798488603
CamCAN,650,216,138,36.0,3,18.0,55.0,1.565217391304348,37.0,2.2301,2.2215,2.262161574074074,2.2534939814814816,0.23618496960098403,0.213692675677075
CamCAN,650,160,112,26.666666666666668,3,18.0,56.0,1.4285714285714286,38.0,2.2056500000000003,2.1986499999999998,2.2498493749999997,2.2436918750000006,0.2270340575113064,0.23605583738014643
CamCAN,650,160,115,26.666666666666668,3,18.0,57.0,1.391304347826087,39.0,2.2281500000000003,2.19555,2.257071875,2.2372974999999995,0.23163912976160536,0.2287626621439674
CamCAN,650,240,162,40.0,3,18.0,58.0,1.4814814814814814,40.0,2.20485,2.2346500000000002,2.2623641666666665,2.2763720833333334,0.23399599370594437,0.23323670436580943
CamCAN,650,168,116,28.0,3,18.0,59.0,1.4482758620689655,41.0,2.2301,2.2135999999999996,2.2438190476190476,2.2439738095238098,0.22592466868945685,0.22708065786899376
CamCAN,650,168,115,28.0,3,18.0,60.0,1.4608695652173913,42.0,2.20735,2.2301,2.2414107142857143,2.246867261904762,0.2412166757812068,0.21881358825911432
CamCAN,650,252,159,42.0,3,18.0,61.0,1.5849056603773586,43.0,2.24735,2.2135999999999996,2.2804579365079367,2.268475396825397,0.2289682278810577,0.2441381465715583
CamCAN,650,180,126,30.0,3,18.0,62.0,1.4285714285714286,44.0,2.2215,2.23085,2.266233888888889,2.252886111111111,0.26280240281119877,0.23099529554906015
CamCAN,650,180,123,30.0,3,18.0,63.0,1.4634146341463414,45.0,2.2036,2.2056500000000003,2.2497666666666665,2.2510666666666665,0.25575301829834796,0.2391461085383793
CamCAN,650,270,167,45.0,3,18.0,64.0,1.6167664670658684,46.0,2.2472,2.2539,2.2923622222222217,2.299105185185185,0.25452033970961613,0.27690400019893857
CamCAN,650,208,151,34.666666666666664,3,18.0,65.0,1.3774834437086092,47.0,2.20735,2.2058999999999997,2.2429918269230766,2.2329447115384613,0.20502565924140048,0.1933345878792716
CamCAN,650,208,151,34.666666666666664,3,18.0,66.0,1.3774834437086092,48.0,2.1985,2.2036,2.2399663461538464,2.2488091346153847,0.22741107264906105,0.2313929091795407
CamCAN,650,312,211,52.0,3,18.0,67.0,1.4786729857819905,49.0,2.2346500000000002,2.2552000000000003,2.291675,2.301586217948718,0.26288616027411105,0.2745854261251177
CamCAN,650,228,171,38.0,3,18.0,68.0,1.3333333333333333,50.0,2.2036,2.1986499999999998,2.248777631578947,2.2463864035087715,0.2257144197369438,0.22701619387453706
CamCAN,650,228,163,38.0,3,18.0,69.0,1.3987730061349692,51.0,2.2036,2.2135999999999996,2.2520258771929824,2.2505017543859647,0.23699900943420718,0.22122867292415063
CamCAN,650,342,234,57.0,3,18.0,70.0,1.4615384615384615,52.0,2.25605,2.26175,2.30970701754386,2.320113157894737,0.2740680601471802,0.28942271154039445
CamCAN,650,248,179,41.333333333333336,3,18.0,71.0,1.3854748603351956,53.0,2.20655,2.2036,2.2545145161290323,2.2586693548387102,0.23210388718050232,0.2492780757649416
CamCAN,650,248,190,41.333333333333336,3,18.0,72.0,1.305263157894737,54.0,2.20735,2.2215,2.25584879032258,2.2622479838709677,0.222886282797438,0.25015915677946937
CamCAN,650,372,262,62.0,3,18.0,73.0,1.4198473282442747,55.0,2.2577499999999997,2.2601500000000003,2.327556451612903,2.3192594086021505,0.3050215749274181,0.27703077323331377
CamCAN,650,300,241,50.0,3,18.0,74.0,1.2448132780082988,56.0,2.20735,2.233,2.2689716666666664,2.2765256666666662,0.26233259117361263,0.25002637782157605
CamCAN,650,300,245,50.0,3,18.0,75.0,1.2244897959183674,57.0,2.2301,2.2321,2.275789333333334,2.267659,0.2646329757590422,0.227306996786932
CamCAN,650,450,350,75.0,3,18.0,76.0,1.2857142857142858,58.0,2.2687999999999997,2.2687999999999997,2.3370002222222217,2.334643111111111,0.30807746100961875,0.2962555957339244
CamCAN,650,320,273,53.333333333333336,3,18.0,77.0,1.1721611721611722,59.0,2.233,2.2346500000000002,2.2836409375000004,2.2786878125000003,0.26462039454499664,0.24279874118799002
CamCAN,650,320,276,53.333333333333336,3,18.0,78.0,1.1594202898550725,60.0,2.23085,2.2415000000000003,2.2772662500000003,2.287715,0.24989891207343398,0.26660956711828043
CamCAN,650,480,392,80.0,3,18.0,79.0,1.2244897959183674,61.0,2.28105,2.2766,2.345581875,2.346244375,0.3066855344831171,0.30483186160797415
CamCAN,650,332,279,55.333333333333336,3,18.0,80.0,1.189964157706093,62.0,2.2443,2.24985,2.281048192771084,2.2905563253012047,0.23725620611084924,0.25769497283283155
CamCAN,650,332,283,55.333333333333336,3,18.0,81.0,1.1731448763250882,63.0,2.2321,2.2321,2.2733972891566268,2.282865662650602,0.23415054319998202,0.26063458479874685
CamCAN,650,498,394,83.0,3,18.0,82.0,1.263959390862944,64.0,2.2817499999999997,2.2808,2.3577624497991967,2.3572536144578313,0.31148164140639467,0.31852579008722687
CamCAN,650,368,322,61.333333333333336,3,18.0,83.0,1.1428571428571428,65.0,2.2558,2.24955,2.297360054347826,2.2945214673913044,0.2709792085230307,0.27332890658101416
CamCAN,650,368,320,61.333333333333336,3,18.0,84.0,1.15,66.0,2.2533,2.24955,2.2923573369565218,2.2900752717391306,0.2591115443695754,0.2561618784478932
CamCAN,650,552,450,92.0,3,18.0,85.0,1.2266666666666666,67.0,2.2859,2.2802,2.3688309782608696,2.3736289855072465,0.32796363206449586,0.33929793185787954
CamCAN,650,384,340,64.0,3,18.0,86.0,1.1294117647058823,68.0,2.24955,2.2577499999999997,2.29123515625,2.3038859375,0.2552788234270813,0.2647096497162593
CamCAN,650,384,343,64.0,3,18.0,87.0,1.119533527696793,69.0,2.2558,2.2558,2.299077083333333,2.30434765625,0.2655355231275955,0.2670937043201185
CamCAN,650,576,491,96.0,3,18.0,88.0,1.1731160896130346,70.0,2.28655,2.29215,2.374064409722222,2.3859878472222227,0.32909124063329914,0.33654722967197226
CamCAN,650,4,3,0.6666666666666666,3,19.0,21.0,1.3333333333333333,2.0,2.1612,2.0805,2.1983,2.1071999999999997,0.20047071274045658,0.10301152039132959
CamCAN,650,8,5,1.3333333333333333,3,19.0,22.0,1.6,3.0,2.2567,2.2537,2.2813749999999997,2.2254750000000003,0.15454770645800145,0.1583018612831646
CamCAN,650,6,3,1.0,3,19.0,23.0,2.0,4.0,2.2567,2.1494,2.314783333333333,2.140066666666667,0.13626016903947644,0.12013248797334825
CamCAN,650,12,9,2.0,3,19.0,24.0,1.3333333333333333,5.0,2.2539,2.2539,2.329075,2.246766666666667,0.36385345233036787,0.14989881637796598
CamCAN,650,12,9,2.0,3,19.0,25.0,1.3333333333333333,6.0,2.2567,2.2569,2.346083333333333,2.3604833333333333,0.357597607357598,0.35590346707890885
CamCAN,650,18,11,3.0,3,19.0,26.0,1.6363636363636365,7.0,2.2419000000000002,2.2539,2.2407611111111114,2.239822222222222,0.14637583430771986,0.14260230406337412
CamCAN,650,20,15,3.3333333333333335,3,19.0,27.0,1.3333333333333333,8.0,2.2419000000000002,2.2419000000000002,2.2492900000000002,2.29197,0.14173323682556832,0.29364702423505895
CamCAN,650,20,14,3.3333333333333335,3,19.0,28.0,1.4285714285714286,9.0,2.21085,2.2558499999999997,2.2797799999999997,2.2966800000000003,0.2973399960704209,0.2954147941989009
CamCAN,650,30,16,5.0,3,19.0,29.0,1.875,10.0,2.2103,2.2131999999999996,2.2551466666666666,2.2346999999999997,0.26205439647646384,0.25947132988922456
CamCAN,650,28,17,4.666666666666667,3,19.0,30.0,1.6470588235294117,11.0,2.2397,2.19065,2.3110749999999998,2.2273857142857145,0.3314784028772827,0.1550470937162038
CamCAN,650,28,19,4.666666666666667,3,19.0,31.0,1.4736842105263157,12.0,2.2397,2.18415,2.2736285714285716,2.232,0.26207367617910765,0.26515389381905635
CamCAN,650,42,22,7.0,3,19.0,32.0,1.9090909090909092,13.0,2.1973000000000003,2.19035,2.215804761904762,2.2627166666666665,0.15315759132883114,0.29461692441961235
CamCAN,650,44,32,7.333333333333333,3,19.0,33.0,1.375,14.0,2.18225,2.1912000000000003,2.2107227272727275,2.2428090909090908,0.23181466119699462,0.2360132779258275
CamCAN,650,44,29,7.333333333333333,3,19.0,34.0,1.5172413793103448,15.0,2.1912000000000003,2.22675,2.2220863636363632,2.2566977272727273,0.22489374192841022,0.232856642682201
CamCAN,650,66,38,11.0,3,19.0,35.0,1.736842105263158,16.0,2.18935,2.2215,2.2107848484848485,2.2312015151515157,0.21783540380644087,0.1969103626545488
CamCAN,650,52,34,8.666666666666666,3,19.0,36.0,1.5294117647058822,17.0,2.25605,2.188,2.2797192307692304,2.2444173076923075,0.21104890060470705,0.21003044571190793
CamCAN,650,52,32,8.666666666666666,3,19.0,37.0,1.625,18.0,2.20505,2.1881000000000004,2.2364634615384613,2.230511538461539,0.22221063936410954,0.21920350438540356
CamCAN,650,78,45,13.0,3,19.0,38.0,1.7333333333333334,19.0,2.2036,2.1894,2.224493589743589,2.2317217948717953,0.20574789663897414,0.261569905556508
