site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
DLBS,283,12,12,2.0,3,21.0,23.0,1.0,2.0,2.4466,2.4466,2.4329666666666667,2.4329666666666667,0.15659372060633003,0.15659372060633003
DLBS,283,24,19,4.0,3,21.0,24.0,1.263157894736842,3.0,2.47975,2.47975,2.4743958333333333,2.47755,0.18464090761392168,0.18390641287255913
DLBS,283,24,16,4.0,3,21.0,25.0,1.5,4.0,2.49015,2.49015,2.521345833333333,2.5045291666666665,0.19648188096387273,0.20661711802303537
DLBS,283,24,16,4.0,3,21.0,26.0,1.5,5.0,2.5103999999999997,2.5181,2.5452041666666667,2.5321875,0.20961869830131144,0.19677170464779734
DLBS,283,24,17,4.0,3,21.0,27.0,1.411764705882353,6.0,2.45365,2.5429500000000003,2.4999166666666666,2.5374541666666666,0.21423536968294565,0.20517633980716846
DLBS,283,24,15,4.0,3,21.0,29.0,1.6,8.0,2.4907500000000002,2.5573,2.5100458333333333,2.5699958333333335,0.19015718664846182,0.1619984768558741
DLBS,283,24,15,4.0,3,21.0,30.0,1.6,9.0,2.5573,2.47975,2.5403583333333333,2.4890583333333334,0.18768467292050076,0.1742728917448191
DLBS,283,12,4,2.0,3,21.0,31.0,3.0,10.0,2.481,2.3768000000000002,2.5283333333333333,2.4824916666666663,0.3098432311327583,0.3184199270212881
DLBS,283,20,12,3.3333333333333335,3,21.0,32.0,1.6666666666666667,11.0,2.4924,2.4386,2.49254,2.47469,0.20991904304178538,0.20557219221121883
DLBS,283,20,12,3.3333333333333335,3,21.0,33.0,1.6666666666666667,12.0,2.4549000000000003,2.5702499999999997,2.47816,2.5127049999999995,0.20903645715772315,0.24144535499232203
DLBS,283,30,18,5.0,3,21.0,34.0,1.6666666666666667,13.0,2.41785,2.42375,2.4533366666666665,2.489813333333333,0.18443819726183452,0.23914646317805896
DLBS,283,36,27,6.0,3,21.0,35.0,1.3333333333333333,14.0,2.49275,2.4956500000000004,2.517919444444444,2.524194444444445,0.24318963302556934,0.25060848115216855
DLBS,283,36,20,6.0,3,21.0,36.0,1.8,15.0,2.498,2.44985,2.5146444444444445,2.4842472222222223,0.22767494177249964,0.24442768312484123
DLBS,283,54,33,9.0,3,21.0,37.0,1.6363636363636365,16.0,2.4913,2.4907500000000002,2.5294759259259263,2.5236500000000004,0.24758022746605865,0.21428326936161368
DLBS,283,44,28,7.333333333333333,3,21.0,38.0,1.5714285714285714,17.0,2.42375,2.49275,2.4876500000000004,2.518977272727273,0.24496497566453368,0.22294829399894533
DLBS,283,66,45,11.0,3,21.0,40.0,1.4666666666666666,19.0,2.4655500000000004,2.4323,2.5000681818181816,2.4936636363636366,0.21711007428639365,0.2171650075483997
DLBS,283,44,27,7.333333333333333,3,21.0,41.0,1.6296296296296295,20.0,2.44985,2.44745,2.4819772727272733,2.5094636363636362,0.226576471883101,0.22021882889622046
DLBS,283,44,27,7.333333333333333,3,21.0,42.0,1.6296296296296295,21.0,2.41785,2.48245,2.4876454545454543,2.5089818181818186,0.24296936207903028,0.2166525277980123
DLBS,283,60,40,10.0,3,21.0,43.0,1.5,22.0,2.4932499999999997,2.4889,2.537991666666667,2.531621666666667,0.24869198653488347,0.2359581894101527
DLBS,283,64,46,10.666666666666666,3,21.0,44.0,1.391304347826087,23.0,2.4907500000000002,2.48785,2.5233937500000003,2.5050796875,0.24026524950364256,0.21803588329963028
DLBS,283,64,50,10.666666666666666,3,21.0,45.0,1.28,24.0,2.48255,2.47975,2.5190312500000003,2.5090328125,0.23759635697797712,0.238418018291262
DLBS,283,60,31,10.0,3,21.0,46.0,1.935483870967742,25.0,2.4956,2.5181,2.543706666666667,2.5559566666666664,0.23611105464228857,0.2684689006808207
DLBS,283,68,52,11.333333333333334,3,21.0,47.0,1.3076923076923077,26.0,2.4341,2.4808000000000003,2.5086117647058823,2.5209220588235293,0.2603569258052295,0.2607333594498915
DLBS,283,68,54,11.333333333333334,3,21.0,48.0,1.2592592592592593,27.0,2.4956500000000004,2.46545,2.541875,2.517551470588235,0.25949722304613726,0.26132335233464504
DLBS,283,66,38,11.0,3,21.0,49.0,1.736842105263158,28.0,2.51525,2.5128500000000003,2.56464696969697,2.5562954545454546,0.2534072715972616,0.26986852094011554
DLBS,283,76,56,12.666666666666666,3,21.0,50.0,1.3571428571428572,29.0,2.4933,2.4809,2.5372263157894737,2.5187657894736843,0.24442527767175043,0.24450085346961148
DLBS,283,76,52,12.666666666666666,3,21.0,51.0,1.4615384615384615,30.0,2.49275,2.4956500000000004,2.5315486842105264,2.5434565789473687,0.2295836936680077,0.23425073708060565
