site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
eNKI,812,24,21,4.0,3,19.0,21.0,1.1428571428571428,2.0,2.0818,2.0818,2.1134291666666667,2.1121,0.13185594734955747,0.12731894903198304
eNKI,812,48,30,8.0,3,19.0,22.0,1.6,3.0,2.0818,2.0818,2.1087062500000004,2.1174250000000003,0.13507857981954,0.148070272994551
eNKI,812,72,44,12.0,3,19.0,23.0,1.6363636363636365,4.0,2.06685,2.09645,2.1021375,2.1440027777777777,0.1647753711576486,0.19538354766049426
eNKI,812,92,59,15.333333333333334,3,19.0,24.0,1.5593220338983051,5.0,2.08605,2.0884,2.111891304347826,2.1178576086956524,0.14608638168072238,0.17663556773092282
eNKI,812,92,60,15.333333333333334,3,19.0,25.0,1.5333333333333334,6.0,2.074,2.0932,2.100090217391305,2.125330434782609,0.14620985449551813,0.18094292873486256
eNKI,812,138,96,23.0,3,19.0,26.0,1.4375,7.0,2.1106499999999997,2.1119,2.127642028985507,2.127963043478261,0.15065840310135462,0.1505656987701518
eNKI,812,152,113,25.333333333333332,3,19.0,27.0,1.345132743362832,8.0,2.1090999999999998,2.1179,2.1408677631578947,2.1482309210526314,0.175298168920133,0.18020001184612816
eNKI,812,152,116,25.333333333333332,3,19.0,28.0,1.3103448275862069,9.0,2.1048,2.1106499999999997,2.1337315789473683,2.1363743421052632,0.17819446346824427,0.1663104810054963
eNKI,812,156,100,26.0,3,19.0,29.0,1.56,10.0,2.1181,2.1106499999999997,2.1645615384615384,2.143851923076923,0.1996688362979702,0.1691011102274284
eNKI,812,164,127,27.333333333333332,3,19.0,30.0,1.2913385826771653,11.0,2.12055,2.1179,2.138055487804878,2.142416463414634,0.16585311457392357,0.17456459077676667
eNKI,812,164,121,27.333333333333332,3,19.0,31.0,1.3553719008264462,12.0,2.1179,2.1181,2.137355487804878,2.1380243902439022,0.1722633168663526,0.1667476651070243
eNKI,812,156,94,26.0,3,19.0,32.0,1.6595744680851063,13.0,2.1247499999999997,2.12655,2.158332051282051,2.1557455128205127,0.18187667497942545,0.1655595272900642
eNKI,812,148,106,24.666666666666668,3,19.0,33.0,1.3962264150943395,14.0,2.1168,2.1208,2.1544932432432433,2.1467344594594597,0.18026632816386406,0.16487032286706688
eNKI,812,148,109,24.666666666666668,3,19.0,34.0,1.3577981651376148,15.0,2.11835,2.1154,2.15749527027027,2.1392871621621623,0.1835399740828167,0.13925388465637825
eNKI,812,156,98,26.0,3,19.0,35.0,1.5918367346938775,16.0,2.1264,2.1352,2.1484660256410257,2.1492147435897437,0.15894753912261375,0.14403401650393707
eNKI,812,156,111,26.0,3,19.0,36.0,1.4054054054054055,17.0,2.1143,2.11075,2.150439102564103,2.143778846153846,0.17654398467702329,0.17974173228224252
eNKI,812,156,107,26.0,3,19.0,37.0,1.4579439252336448,18.0,2.1133499999999996,2.1181,2.1484910256410257,2.161692948717949,0.18057212672835016,0.17564017180007155
eNKI,812,156,91,26.0,3,19.0,38.0,1.7142857142857142,19.0,2.12085,2.11585,2.1515134615384617,2.1550621794871794,0.17121640337701236,0.177629444792114
eNKI,812,176,122,29.333333333333332,3,19.0,39.0,1.4426229508196722,20.0,2.1133499999999996,2.1102999999999996,2.1475795454545454,2.1289284090909093,0.15889402373664274,0.14458470889224265
eNKI,812,176,122,29.333333333333332,3,19.0,40.0,1.4426229508196722,21.0,2.1125,2.1121,2.1456977272727276,2.1366261363636365,0.167622423305491,0.15366523093628337
eNKI,812,150,83,25.0,3,19.0,41.0,1.8072289156626506,22.0,2.1429,2.1525499999999997,2.1596273333333333,2.1740720000000002,0.1723332871656674,0.18527011338971064
eNKI,812,164,119,27.333333333333332,3,19.0,42.0,1.3781512605042017,23.0,2.1313,2.12325,2.16221768292683,2.1512396341463416,0.17634886156065582,0.16233190366377337
