site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
AOMIC_ID1000,19.0,21.0,104,2.0,3
AOMIC_ID1000,19.0,22.0,208,3.0,3
AOMIC_ID1000,19.0,23.0,312,4.0,3
AOMIC_ID1000,19.0,24.0,468,5.0,3
AOMIC_ID1000,19.0,25.0,468,6.0,3
AOMIC_ID1000,19.0,26.0,702,7.0,3
AOMIC_ID1000,20.0,22.0,232,2.0,3
AOMIC_ID1000,20.0,23.0,464,3.0,3
AOMIC_ID1000,20.0,24.0,696,4.0,3
AOMIC_ID1000,20.0,25.0,836,5.0,3
AOMIC_ID1000,20.0,26.0,836,6.0,3
AOMIC_ID1000,21.0,23.0,316,2.0,3
AOMIC_ID1000,21.0,24.0,568,3.0,3
AOMIC_ID1000,21.0,25.0,852,4.0,3
AOMIC_ID1000,21.0,26.0,788,5.0,3
AOMIC_ID1000,22.0,24.0,284,2.0,3
AOMIC_ID1000,22.0,25.0,568,3.0,3
AOMIC_ID1000,22.0,26.0,852,4.0,3
AOMIC_ID1000,23.0,25.0,298,2.0,3
AOMIC_ID1000,23.0,26.0,592,3.0,3
AOMIC_ID1000,24.0,26.0,296,2.0,3
AOMIC-PIOP1,18.0,20.0,6,2.0,3
AOMIC-PIOP1,18.0,21.0,12,3.0,3
AOMIC-PIOP1,18.0,22.0,18,4.0,3
AOMIC-PIOP1,18.0,23.0,84,5.0,3
AOMIC-PIOP1,18.0,24.0,84,6.0,3
AOMIC-PIOP1,18.0,25.0,126,7.0,3
AOMIC-PIOP1,18.0,26.0,132,8.0,3
AOMIC-PIOP1,19.0,21.0,40,2.0,3
AOMIC-PIOP1,19.0,22.0,80,3.0,3
AOMIC-PIOP1,19.0,23.0,120,4.0,3
AOMIC-PIOP1,19.0,24.0,124,5.0,3
AOMIC-PIOP1,19.0,25.0,124,6.0,3
AOMIC-PIOP1,19.0,26.0,186,7.0,3
AOMIC-PIOP1,20.0,22.0,50,2.0,3
