,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Pooled data Test,0.6797385620915033,0.7710282370028622,0.6711409395973155,0.6535947712418301,random_q,1000Brains
1,0,Pooled data Train,0.8690671031096563,0.9506135470546795,0.8697068403908795,0.8739770867430442,random_q,1000Brains
2,1,Pooled data Test,0.7189542483660131,0.790636080140117,0.7189542483660131,0.7189542483660131,random_q,1000Brains
3,1,Pooled data Train,0.8657937806873977,0.9403810661602214,0.8646864686468647,0.8576104746317512,random_q,1000Brains
4,2,Pooled data Test,0.7189542483660131,0.7830321671152121,0.7094594594594594,0.6862745098039216,random_q,1000Brains
5,2,Pooled data Train,0.8608837970540097,0.9438901106554412,0.8590381426202321,0.8477905073649754,random_q,1000Brains
6,3,Pooled data Test,0.681781045751634,0.7717578259373925,0.6996904024767802,0.738562091503268,random_q,1000Brains
7,3,Pooled data Train,0.8675374132195159,0.9475118470737995,0.8672131147540983,0.8657937806873978,random_q,1000Brains
8,4,Pooled data Test,0.6819745442036464,0.7511609907120743,0.6819672131147541,0.6842105263157895,random_q,1000Brains
9,4,Pooled data Train,0.8740787094979836,0.9471989559599072,0.8743882544861338,0.8758169934640523,random_q,1000Brains
10,5,Pooled data Test,0.6470588235294118,0.7004143705412448,0.6560509554140127,0.673202614379085,random_q,1000Brains
11,5,Pooled data Train,0.8723404255319149,0.9544493880601412,0.8727569331158238,0.8756137479541735,random_q,1000Brains
12,6,Pooled data Test,0.673202614379085,0.739843649878252,0.6815286624203821,0.6993464052287581,random_q,1000Brains
13,6,Pooled data Train,0.8584288052373159,0.9431963377361573,0.8587755102040816,0.8608837970540099,random_q,1000Brains
14,7,Pooled data Test,0.7418300653594772,0.7923021060275961,0.740983606557377,0.738562091503268,random_q,1000Brains
15,7,Pooled data Train,0.8576104746317512,0.9425266727561535,0.8569078947368421,0.8527004909983633,random_q,1000Brains
16,8,Pooled data Test,0.6886609907120743,0.7587289301685586,0.6757679180887372,0.6470588235294118,random_q,1000Brains
17,8,Pooled data Train,0.8601751120524588,0.9456398489564948,0.8592592592592593,0.8543371522094927,random_q,1000Brains
18,9,Pooled data Test,0.6983789129686963,0.7664258685930513,0.6993464052287581,0.7039473684210527,random_q,1000Brains
19,9,Pooled data Train,0.8634524458992545,0.9444230501802466,0.8632268632268633,0.8611111111111112,random_q,1000Brains
20,10,Pooled data Test,0.7026143790849673,0.7949079413900636,0.723404255319149,0.7777777777777778,random_q,1000Brains
21,10,Pooled data Train,0.8543371522094927,0.9407212559700634,0.8540983606557377,0.8527004909983633,random_q,1000Brains
22,11,Pooled data Test,0.6862745098039216,0.7741894143278226,0.6883116883116883,0.6928104575163399,random_q,1000Brains
23,11,Pooled data Train,0.8657937806873977,0.948757235730109,0.86709886547812,0.8756137479541735,random_q,1000Brains
24,12,Pooled data Test,0.607843137254902,0.6569268230167884,0.6103896103896104,0.6143790849673203,random_q,1000Brains
25,12,Pooled data Train,0.8690671031096564,0.9488750967665895,0.8694942903752039,0.8723404255319149,random_q,1000Brains
26,13,Pooled data Test,0.6755675954592364,0.7597609219126247,0.6597938144329897,0.6274509803921569,random_q,1000Brains
27,13,Pooled data Train,0.8667177454724388,0.9460115742969308,0.8660640920295809,0.8625204582651391,random_q,1000Brains
28,14,Pooled data Test,0.7148477812177503,0.7868937048503613,0.7220447284345048,0.743421052631579,random_q,1000Brains
29,14,Pooled data Train,0.8511881839478836,0.9423905950814586,0.8508196721311475,0.8480392156862745,random_q,1000Brains
30,15,Pooled data Test,0.6764705882352942,0.750480584390619,0.6816720257234726,0.6928104575163399,random_q,1000Brains
31,15,Pooled data Train,0.869885433715221,0.9464589455187359,0.8695652173913043,0.867430441898527,random_q,1000Brains
32,16,Pooled data Test,0.6895424836601307,0.7411252082532359,0.6779661016949152,0.6535947712418301,random_q,1000Brains
33,16,Pooled data Train,0.8576104746317512,0.9402203465650205,0.8569078947368421,0.8527004909983633,random_q,1000Brains
34,17,Pooled data Test,0.6797385620915033,0.74719125122816,0.6711409395973155,0.6535947712418301,random_q,1000Brains
35,17,Pooled data Train,0.8567921440261865,0.9444928091374447,0.8571428571428571,0.8592471358428805,random_q,1000Brains
36,18,Pooled data Test,0.662108703130375,0.77390780873753,0.6811145510835913,0.7189542483660131,random_q,1000Brains
