,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Pooled data Test,0.7160194174757282,0.7881986992176454,0.7180722891566265,0.7233009708737864,low_Q,1000Brains
1,0,Pooled data Train,0.8731796116504855,0.9453353284946744,0.8715427166564229,0.8604368932038835,low_Q,1000Brains
2,1,Pooled data Test,0.7524271844660194,0.8113629936846074,0.7559808612440191,0.7669902912621359,low_Q,1000Brains
3,1,Pooled data Train,0.8574029126213591,0.9344836930907718,0.8588588588588588,0.8677184466019418,low_Q,1000Brains
4,2,Pooled data Test,0.6601941747572816,0.737322085022151,0.6682464454976303,0.6844660194174758,low_Q,1000Brains
5,2,Pooled data Train,0.8737864077669902,0.9413749528702046,0.8737864077669902,0.8737864077669902,low_Q,1000Brains
6,3,Pooled data Test,0.6868932038834952,0.7525685738523895,0.6750629722921915,0.6504854368932039,low_Q,1000Brains
7,3,Pooled data Train,0.8567961165048543,0.9332612640211142,0.8567961165048543,0.8567961165048543,low_Q,1000Brains
8,4,Pooled data Test,0.6504854368932038,0.7143934395324724,0.660377358490566,0.6796116504854369,low_Q,1000Brains
9,4,Pooled data Train,0.8804611650485437,0.9475489560750306,0.8808227465214761,0.883495145631068,low_Q,1000Brains
10,5,Pooled data Test,0.6844660194174758,0.7686162692053917,0.6859903381642513,0.6893203883495146,low_Q,1000Brains
11,5,Pooled data Train,0.8616504854368932,0.9439332170798379,0.863961813842482,0.8786407766990292,low_Q,1000Brains
12,6,Pooled data Test,0.7160194174757282,0.782001131115091,0.7111111111111111,0.6990291262135923,low_Q,1000Brains
13,6,Pooled data Train,0.8574029126213591,0.940925747007258,0.8574893875075803,0.8580097087378641,low_Q,1000Brains
14,7,Pooled data Test,0.6504854368932038,0.7274483928739749,0.6651162790697674,0.6941747572815534,low_Q,1000Brains
15,7,Pooled data Train,0.8865291262135923,0.9476711989819964,0.8854868340477648,0.8774271844660194,low_Q,1000Brains
16,8,Pooled data Test,0.7111650485436893,0.7726694316146667,0.7090464547677262,0.7038834951456311,low_Q,1000Brains
17,8,Pooled data Train,0.8756067961165048,0.9436533839193137,0.8750761730652041,0.8713592233009708,low_Q,1000Brains
18,9,Pooled data Test,0.6747572815533981,0.7361909699311905,0.6839622641509434,0.7038834951456311,low_Q,1000Brains
19,9,Pooled data Train,0.8537621359223301,0.9305277358846262,0.8534954407294832,0.8519417475728155,low_Q,1000Brains
20,10,Pooled data Test,0.6990291262135923,0.77248091243284,0.696078431372549,0.6893203883495146,low_Q,1000Brains
21,10,Pooled data Train,0.8853155339805825,0.9474915166368179,0.8853850818677986,0.8859223300970874,low_Q,1000Brains
22,11,Pooled data Test,0.6796116504854369,0.7439909510792724,0.67,0.6504854368932039,low_Q,1000Brains
23,11,Pooled data Train,0.8689320388349515,0.9412188354227542,0.8678090575275398,0.8604368932038835,low_Q,1000Brains
24,12,Pooled data Test,0.6553398058252426,0.7340229993401829,0.6801801801801802,0.7330097087378641,low_Q,1000Brains
25,12,Pooled data Train,0.8616504854368932,0.9365559312847581,0.8624849215922799,0.8677184466019418,low_Q,1000Brains
26,13,Pooled data Test,0.6796116504854369,0.7469836930907721,0.6764705882352942,0.6699029126213593,low_Q,1000Brains
27,13,Pooled data Train,0.8677184466019416,0.9408668347629371,0.8669108669108669,0.8616504854368932,low_Q,1000Brains
28,14,Pooled data Test,0.6966019417475728,0.75355829955698,0.7072599531615925,0.7330097087378641,low_Q,1000Brains
29,14,Pooled data Train,0.8592233009708738,0.9371038151569422,0.8587088915956151,0.8555825242718447,low_Q,1000Brains
30,15,Pooled data Test,0.662621359223301,0.7393486662267886,0.6713947990543735,0.6893203883495146,low_Q,1000Brains
