,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.8800563236047108,0.916794674859191,0.88,0.873015873015873,low_Q,AOMIC_ID1000
1,0,Single site Train,0.9378714859437751,0.9778152610441768,0.937625754527163,0.9357429718875502,low_Q,AOMIC_ID1000
2,1,Single site Test,0.8567588325652842,0.9283154121863799,0.8421052631578947,0.7619047619047619,low_Q,AOMIC_ID1000
3,1,Single site Train,0.8957991967871486,0.9597429718875502,0.896,0.8995983935742972,low_Q,AOMIC_ID1000
4,2,Single site Test,0.8242447516641065,0.888120839733743,0.828125,0.8548387096774194,low_Q,AOMIC_ID1000
5,2,Single site Train,0.9198072289156627,0.9770763052208836,0.9212598425196851,0.936,low_Q,AOMIC_ID1000
6,3,Single site Test,0.8476702508960573,0.8809523809523809,0.8403361344537815,0.8064516129032258,low_Q,AOMIC_ID1000
7,3,Single site Train,0.9358875502008033,0.9814457831325301,0.9354838709677419,0.928,low_Q,AOMIC_ID1000
8,4,Single site Test,0.8467741935483871,0.8967221644120706,0.848,0.8548387096774194,low_Q,AOMIC_ID1000
9,4,Single site Train,0.914,0.972752,0.9141716566866267,0.916,low_Q,AOMIC_ID1000
10,5,Single site Test,0.8319252432155658,0.8899129544290836,0.8346456692913385,0.8412698412698413,low_Q,AOMIC_ID1000
11,5,Single site Train,0.9198554216867469,0.9772208835341366,0.9203187250996016,0.927710843373494,low_Q,AOMIC_ID1000
12,6,Single site Test,0.8799283154121864,0.9380440348182284,0.8818897637795275,0.8888888888888888,low_Q,AOMIC_ID1000
13,6,Single site Train,0.935863453815261,0.9779598393574298,0.9354838709677419,0.9317269076305221,low_Q,AOMIC_ID1000
14,7,Single site Test,0.807731694828469,0.9193548387096774,0.8,0.7741935483870968,low_Q,AOMIC_ID1000
15,7,Single site Train,0.9198714859437751,0.9680160642570281,0.9186991869918699,0.904,low_Q,AOMIC_ID1000
16,8,Single site Test,0.8321812596006144,0.898873527905786,0.8346456692913385,0.8548387096774194,low_Q,AOMIC_ID1000
17,8,Single site Train,0.9378393574297188,0.9789558232931727,0.9390962671905697,0.956,low_Q,AOMIC_ID1000
18,9,Single site Test,0.782258064516129,0.8688865764828303,0.7874015748031497,0.8064516129032258,low_Q,AOMIC_ID1000
19,9,Single site Train,0.912,0.966016,0.9126984126984127,0.92,low_Q,AOMIC_ID1000
20,10,Single site Test,0.855862775217614,0.9106502816180235,0.859375,0.873015873015873,low_Q,AOMIC_ID1000
21,10,Single site Train,0.907863453815261,0.9603212851405623,0.9098039215686274,0.9317269076305221,low_Q,AOMIC_ID1000
22,11,Single site Test,0.8402457757296466,0.9109062980030722,0.8360655737704918,0.8095238095238095,low_Q,AOMIC_ID1000
23,11,Single site Train,0.9338795180722892,0.9798072289156626,0.9341317365269461,0.9397590361445783,low_Q,AOMIC_ID1000
24,12,Single site Test,0.7761136712749616,0.8625192012288787,0.7777777777777778,0.7903225806451613,low_Q,AOMIC_ID1000
