,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Pooled data Test,0.5700000000000001,0.6839999999999999,0.5714285714285714,0.64,low_Q,SALD
1,0,Pooled data Test,0.7369565217391305,0.8052173913043479,0.7619047619047619,0.8,low_Q,eNKI
2,0,Pooled data Test,0.6502164502164502,0.7238095238095237,0.6129032258064516,0.5428571428571428,low_Q,CamCAN
3,0,Pooled data Train,0.7674065065369413,0.8910509780074998,0.7868852459016393,0.8391608391608392,low_Q,SALD
4,0,Pooled data Train,0.8394070754197127,0.9256456412328716,0.8379204892966361,0.8404907975460123,low_Q,eNKI
5,0,Pooled data Train,0.8324628364805142,0.9428915800952763,0.8103448275862069,0.7175572519083969,low_Q,CamCAN
6,1,Pooled data Test,0.5696428571428571,0.6047619047619048,0.631578947368421,0.7142857142857143,low_Q,SALD
7,1,Pooled data Test,0.7316715542521994,0.7859237536656892,0.7912087912087912,0.8181818181818182,low_Q,eNKI
8,1,Pooled data Test,0.7258771929824561,0.8333333333333334,0.6511627906976745,0.5833333333333334,low_Q,CamCAN
9,1,Pooled data Train,0.7878844246031746,0.8997395833333334,0.7985074626865671,0.8492063492063492,low_Q,SALD
10,1,Pooled data Train,0.8672865595942519,0.9313674491189284,0.8660968660968661,0.8994082840236687,low_Q,eNKI
11,1,Pooled data Train,0.8110695422535211,0.9405259683098592,0.7818930041152263,0.6690140845070423,low_Q,CamCAN
12,2,Pooled data Test,0.6548387096774193,0.7338709677419355,0.6376811594202898,0.7096774193548387,low_Q,SALD
13,2,Pooled data Test,0.6979166666666667,0.8148148148148148,0.675,0.75,low_Q,eNKI
14,2,Pooled data Test,0.7164502164502164,0.8170995670995671,0.6666666666666666,0.5238095238095238,low_Q,CamCAN
15,2,Pooled data Train,0.7587819343065694,0.8748289233576642,0.7892976588628763,0.8613138686131386,low_Q,SALD
16,2,Pooled data Train,0.8439137134052388,0.9270672829994865,0.8539944903581267,0.8757062146892656,low_Q,eNKI
17,2,Pooled data Train,0.8224686379928315,0.9344198028673835,0.7926267281105991,0.6935483870967742,low_Q,CamCAN
18,3,Pooled data Test,0.6091954022988506,0.7389162561576355,0.6746987951807228,0.6666666666666666,low_Q,SALD
19,3,Pooled data Test,0.727891156462585,0.8216715257531584,0.7191011235955056,0.7619047619047619,low_Q,eNKI
20,3,Pooled data Test,0.733125,0.82125,0.6666666666666666,0.56,low_Q,CamCAN
21,3,Pooled data Train,0.7871702637889688,0.8956263560580107,0.7865168539325843,0.8333333333333334,low_Q,SALD
22,3,Pooled data Train,0.8377371273712737,0.9297889031521894,0.8491620111731844,0.8888888888888888,low_Q,eNKI
23,3,Pooled data Train,0.8284905260929396,0.9297131364454324,0.8064516129032258,0.7092198581560284,low_Q,CamCAN
24,4,Pooled data Test,0.7204433497536946,0.7229064039408867,0.7333333333333333,0.7857142857142857,low_Q,SALD
25,4,Pooled data Test,0.7742338961851157,0.8217636022514071,0.7857142857142857,0.8048780487804879,low_Q,eNKI
26,4,Pooled data Test,0.7390243902439024,0.822560975609756,0.6956521739130435,0.6,low_Q,CamCAN
27,4,Pooled data Train,0.795349434737924,0.8996402877697842,0.8143322475570033,0.8928571428571429,low_Q,SALD
28,4,Pooled data Train,0.8614341085271318,0.9279270248596632,0.864406779661017,0.8895348837209303,low_Q,eNKI
29,4,Pooled data Train,0.8172380952380952,0.9265396825396826,0.7909090909090909,0.6904761904761905,low_Q,CamCAN
30,5,Pooled data Test,0.6598557692307692,0.782051282051282,0.6666666666666666,0.78125,low_Q,SALD
31,5,Pooled data Test,0.7548701298701299,0.8235930735930735,0.7692307692307693,0.7954545454545454,low_Q,eNKI
32,5,Pooled data Test,0.7289915966386555,0.8592436974789917,0.6666666666666666,0.5294117647058824,low_Q,CamCAN
33,5,Pooled data Train,0.7669573643410852,0.8813269493844049,0.7959866220735786,0.875,low_Q,SALD
34,5,Pooled data Train,0.8500121111457144,0.9289940828402367,0.8495575221238938,0.8520710059171598,low_Q,eNKI
35,5,Pooled data Train,0.7969367588932806,0.9229249011857708,0.7631578947368421,0.6590909090909091,low_Q,CamCAN
36,6,Pooled data Test,0.5404411764705883,0.5431985294117646,0.6153846153846154,0.7058823529411765,low_Q,SALD
37,6,Pooled data Test,0.7230861244019139,0.8050239234449761,0.7708333333333334,0.8409090909090909,low_Q,eNKI
38,6,Pooled data Test,0.6915064102564102,0.7716346153846154,0.631578947368421,0.5625,low_Q,CamCAN
39,6,Pooled data Train,0.8004280070237051,0.9031496927129061,0.8098591549295775,0.8582089552238806,low_Q,SALD
40,6,Pooled data Train,0.8493998309382924,0.9226373626373627,0.8514285714285714,0.8816568047337278,low_Q,eNKI
41,6,Pooled data Train,0.8341755787989188,0.941708778939946,0.8166666666666667,0.7313432835820896,low_Q,CamCAN
42,7,Pooled data Test,0.6626984126984128,0.695436507936508,0.6451612903225806,0.7142857142857143,low_Q,SALD
