,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Pooled data Test,0.7450980392156863,0.8146439403648171,0.7450980392156863,0.7450980392156863,low_Q,1000Brains
1,0,Pooled data Train,0.9067103109656302,0.9625657276177875,0.9071661237785016,0.911620294599018,low_Q,1000Brains
2,1,Pooled data Test,0.7058823529411764,0.7982399931650219,0.7115384615384616,0.7254901960784313,low_Q,1000Brains
3,1,Pooled data Train,0.8600654664484452,0.9370889931185228,0.8573811509591326,0.8412438625204582,low_Q,1000Brains
4,2,Pooled data Test,0.7352941176470589,0.8087914904523901,0.7308970099667774,0.7189542483660131,low_Q,1000Brains
5,2,Pooled data Train,0.8911620294599019,0.9560565840121504,0.8914285714285715,0.8936170212765957,low_Q,1000Brains
6,3,Pooled data Test,0.7310801513587891,0.7806587547299622,0.7371794871794872,0.7516339869281046,low_Q,1000Brains
7,3,Pooled data Train,0.8986125819667747,0.9605168854230182,0.8988580750407831,0.9018003273322422,low_Q,1000Brains
8,4,Pooled data Test,0.6820605435156519,0.7469900240798073,0.6900958466453674,0.7105263157894737,low_Q,1000Brains
9,4,Pooled data Train,0.8879782955189713,0.955072045184686,0.8883455582722086,0.8905228758169934,low_Q,1000Brains
10,5,Pooled data Test,0.673202614379085,0.7358281003033023,0.673202614379085,0.673202614379085,low_Q,1000Brains
11,5,Pooled data Train,0.8887070376432078,0.9578834300776009,0.8890701468189234,0.8919803600654664,low_Q,1000Brains
12,6,Pooled data Test,0.7254901960784313,0.8037934127899526,0.7254901960784313,0.7254901960784313,low_Q,1000Brains
13,6,Pooled data Train,0.8739770867430442,0.9465018040774562,0.8737704918032787,0.8723404255319149,low_Q,1000Brains
14,7,Pooled data Test,0.7581699346405228,0.8073817762399077,0.7533333333333333,0.738562091503268,low_Q,1000Brains
15,7,Pooled data Train,0.8985270049099836,0.9589602513654467,0.8978583196046128,0.8919803600654664,low_Q,1000Brains
16,8,Pooled data Test,0.7475275197798418,0.8288183694530444,0.749185667752443,0.7516339869281046,low_Q,1000Brains
17,8,Pooled data Train,0.9035212284586502,0.9589791726838034,0.9040650406504065,0.9099836333878887,low_Q,1000Brains
18,9,Pooled data Test,0.7507954936360509,0.8359993120055039,0.7483443708609272,0.743421052631579,low_Q,1000Brains
