,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Pooled data Test,0.6405228758169934,0.7307445854158656,0.6258503401360545,0.6013071895424836,random_Q,1000Brains,0
1,0,Pooled data Train,0.8854337152209493,0.9552074488175055,0.8867313915857605,0.8968903436988543,random_Q,1000Brains,0
2,1,Pooled data Test,0.7026143790849673,0.7916613268401043,0.6976744186046512,0.6862745098039216,random_Q,1000Brains,0
3,1,Pooled data Train,0.8600654664484452,0.9423686318208726,0.8604081632653061,0.8625204582651391,random_Q,1000Brains,0
4,2,Pooled data Test,0.6699346405228759,0.7128882053910889,0.6731391585760518,0.6797385620915033,random_Q,1000Brains,0
5,2,Pooled data Train,0.8854337152209493,0.9534100680111753,0.8867313915857605,0.8968903436988543,random_Q,1000Brains,0
6,3,Pooled data Test,0.7441090471276229,0.8377622979016168,0.75625,0.7908496732026143,random_Q,1000Brains,0
7,3,Pooled data Train,0.86836109239113,0.9523522993485447,0.8689991863303499,0.8739770867430442,random_Q,1000Brains,0
8,4,Pooled data Test,0.6655056759545923,0.7432060543515653,0.6577181208053692,0.6447368421052632,random_Q,1000Brains,0
9,4,Pooled data Train,0.8806253543425008,0.947929035225656,0.8801313628899836,0.8758169934640523,random_Q,1000Brains,0
10,5,Pooled data Test,0.7352941176470589,0.7826904182152165,0.7444794952681388,0.7712418300653595,random_Q,1000Brains,0
11,5,Pooled data Train,0.8739770867430442,0.9476188052641026,0.8739770867430442,0.8739770867430442,random_Q,1000Brains,0
12,6,Pooled data Test,0.6699346405228758,0.7373659703532829,0.6599326599326599,0.6405228758169934,random_Q,1000Brains,0
13,6,Pooled data Train,0.8764320785597381,0.953699363282537,0.876734693877551,0.8788870703764321,random_Q,1000Brains,0
14,7,Pooled data Test,0.6209150326797386,0.6944337647913196,0.6329113924050633,0.6535947712418301,random_Q,1000Brains,0
15,7,Pooled data Train,0.8698854337152209,0.9420605859300709,0.8714632174616006,0.8821603927986906,random_Q,1000Brains,0
16,8,Pooled data Test,0.7082258341933264,0.799578603371173,0.7062706270627063,0.6993464052287581,random_Q,1000Brains,0
17,8,Pooled data Train,0.8765470727298011,0.9462763283163784,0.8785197103781175,0.8936170212765957,random_Q,1000Brains,0
18,9,Pooled data Test,0.7180297557619539,0.7863777089783283,0.7171052631578947,0.7171052631578947,random_Q,1000Brains,0
