,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Pooled data Test,0.725,0.77,0.7317073170731707,0.75,['random_Q'],SALD,0
1,0,Pooled data Train,0.89375,0.97203125,0.8903225806451613,0.8625,['random_Q'],SALD,0
2,1,Pooled data Test,0.6499999999999999,0.6649999999999999,0.6666666666666666,0.7,['random_Q'],SALD,0
3,1,Pooled data Train,0.9750000000000001,0.9959375,0.9746835443037974,0.9625,['random_Q'],SALD,0
4,2,Pooled data Test,0.8,0.8825000000000001,0.7777777777777778,0.7,['random_Q'],SALD,0
5,2,Pooled data Train,0.925,0.9815625000000001,0.9230769230769231,0.9,['random_Q'],SALD,0
6,3,Pooled data Test,0.65,0.7125,0.65,0.65,['random_Q'],SALD,0
7,3,Pooled data Train,0.94375,0.993125,0.9433962264150944,0.9375,['random_Q'],SALD,0
8,4,Pooled data Test,0.6000000000000001,0.6775,0.5789473684210527,0.55,['random_Q'],SALD,0
9,4,Pooled data Train,0.9312499999999999,0.98890625,0.9299363057324841,0.9125,['random_Q'],SALD,0
10,5,Pooled data Test,0.6000000000000001,0.6475,0.6190476190476191,0.65,['random_Q'],SALD,0
11,5,Pooled data Train,0.96875,0.99609375,0.9681528662420382,0.95,['random_Q'],SALD,0
12,6,Pooled data Test,0.575,0.6225,0.5142857142857142,0.45,['random_Q'],SALD,0
13,6,Pooled data Train,0.9375,0.99171875,0.9382716049382716,0.95,['random_Q'],SALD,0
14,7,Pooled data Test,0.55,0.615,0.6086956521739131,0.7,['random_Q'],SALD,0
15,7,Pooled data Train,0.9,0.97421875,0.9024390243902439,0.925,['random_Q'],SALD,0
16,8,Pooled data Test,0.6000000000000001,0.645,0.6190476190476191,0.65,['random_Q'],SALD,0
17,8,Pooled data Train,0.95,0.99140625,0.9487179487179487,0.925,['random_Q'],SALD,0
18,9,Pooled data Test,0.6,0.7275,0.6,0.6,['random_Q'],SALD,0
19,9,Pooled data Train,0.95625,0.99203125,0.9554140127388535,0.9375,['random_Q'],SALD,0
20,10,Pooled data Test,0.675,0.7699999999999999,0.6666666666666666,0.65,['random_Q'],SALD,0
21,10,Pooled data Train,0.93125,0.98515625,0.9316770186335404,0.9375,['random_Q'],SALD,0
22,11,Pooled data Test,0.55,0.6174999999999999,0.47058823529411764,0.4,['random_Q'],SALD,0
23,11,Pooled data Train,0.9624999999999999,0.994375,0.9620253164556962,0.95,['random_Q'],SALD,0
24,12,Pooled data Test,0.7,0.7575000000000001,0.7,0.7,['random_Q'],SALD,0
25,12,Pooled data Train,0.96875,0.9959375,0.9681528662420382,0.95,['random_Q'],SALD,0
26,13,Pooled data Test,0.625,0.5974999999999999,0.6511627906976745,0.7,['random_Q'],SALD,0
27,13,Pooled data Train,0.9437500000000001,0.99171875,0.9426751592356688,0.925,['random_Q'],SALD,0
28,14,Pooled data Test,0.7749999999999999,0.8024999999999999,0.7906976744186046,0.85,['random_Q'],SALD,0
29,14,Pooled data Train,0.93125,0.9825,0.9308176100628931,0.925,['random_Q'],SALD,0
30,15,Pooled data Test,0.6,0.6299999999999999,0.6,0.6,['random_Q'],SALD,0
31,15,Pooled data Train,0.96875,0.99234375,0.9681528662420382,0.95,['random_Q'],SALD,0
32,16,Pooled data Test,0.7,0.73,0.7,0.7,['random_Q'],SALD,0
33,16,Pooled data Train,0.975,0.9964062499999999,0.975,0.975,['random_Q'],SALD,0
34,17,Pooled data Test,0.675,0.8175,0.6666666666666666,0.65,['random_Q'],SALD,0
35,17,Pooled data Train,0.93125,0.9892187499999999,0.9290322580645162,0.9,['random_Q'],SALD,0
36,18,Pooled data Test,0.6000000000000001,0.6775,0.6190476190476191,0.65,['random_Q'],SALD,0
37,18,Pooled data Train,0.925,0.97921875,0.9240506329113924,0.9125,['random_Q'],SALD,0
38,19,Pooled data Test,0.7250000000000001,0.8525,0.7441860465116279,0.8,['random_Q'],SALD,0
39,19,Pooled data Train,0.9125,0.9818749999999999,0.9125,0.9125,['random_Q'],SALD,0
40,20,Pooled data Test,0.6,0.675,0.5555555555555556,0.5,['random_Q'],SALD,0
41,20,Pooled data Train,0.9,0.97359375,0.8974358974358975,0.875,['random_Q'],SALD,0
42,21,Pooled data Test,0.6000000000000001,0.615,0.6190476190476191,0.65,['random_Q'],SALD,0
43,21,Pooled data Train,0.975,0.9950000000000001,0.975,0.975,['random_Q'],SALD,0
44,22,Pooled data Test,0.625,0.6825,0.6341463414634146,0.65,['random_Q'],SALD,0
45,22,Pooled data Train,0.9375,0.9874999999999999,0.9375,0.9375,['random_Q'],SALD,0
46,23,Pooled data Test,0.55,0.6325,0.5263157894736842,0.5,['random_Q'],SALD,0
47,23,Pooled data Train,0.95625,0.99171875,0.9554140127388535,0.9375,['random_Q'],SALD,0
48,24,Pooled data Test,0.825,0.8775,0.8292682926829268,0.85,['random_Q'],SALD,0
49,24,Pooled data Train,0.9624999999999999,0.99015625,0.9620253164556962,0.95,['random_Q'],SALD,0
