,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Single site Test,0.7119815668202765,0.8056835637480799,0.7142857142857143,0.7142857142857143,random_Q,AOMIC_ID1000,0
1,0,Single site Train,0.8877831325301204,0.9650281124497991,0.888,0.891566265060241,random_Q,AOMIC_ID1000,0
2,1,Single site Test,0.8003072196620584,0.8799283154121862,0.7933884297520661,0.7619047619047619,random_Q,AOMIC_ID1000,0
3,1,Single site Train,0.877718875502008,0.9543775100401607,0.8752556237218814,0.8594377510040161,random_Q,AOMIC_ID1000,0
4,2,Single site Test,0.7354070660522274,0.8118279569892473,0.7130434782608696,0.6612903225806451,random_Q,AOMIC_ID1000,0
5,2,Single site Train,0.8737590361445783,0.9512610441767068,0.8732394366197183,0.868,random_Q,AOMIC_ID1000,0
6,3,Single site Test,0.7683051715309779,0.84152585765489,0.7751937984496124,0.8064516129032258,random_Q,AOMIC_ID1000,0
7,3,Single site Train,0.8817751004016064,0.9572048192771085,0.8812877263581489,0.876,random_Q,AOMIC_ID1000,0
8,4,Single site Test,0.7338709677419355,0.8126951092611864,0.736,0.7419354838709677,random_Q,AOMIC_ID1000,0
9,4,Single site Train,0.872,0.954784,0.8693877551020408,0.852,random_Q,AOMIC_ID1000,0
10,5,Single site Test,0.7517921146953406,0.818484383000512,0.7596899224806202,0.7777777777777778,random_Q,AOMIC_ID1000,0
11,5,Single site Train,0.8597349397590361,0.951421686746988,0.8605577689243028,0.8674698795180723,random_Q,AOMIC_ID1000,0
12,6,Single site Test,0.7523041474654377,0.8174603174603174,0.743801652892562,0.7142857142857143,random_Q,AOMIC_ID1000,0
13,6,Single site Train,0.86970281124498,0.943132530120482,0.8670756646216768,0.8514056224899599,random_Q,AOMIC_ID1000,0
14,7,Single site Test,0.7759856630824373,0.8589349718381977,0.7741935483870968,0.7741935483870968,random_Q,AOMIC_ID1000,0
15,7,Single site Train,0.8797911646586345,0.9589558232931727,0.8780487804878049,0.864,random_Q,AOMIC_ID1000,0
16,8,Single site Test,0.7840501792114696,0.8681515616999489,0.784,0.7903225806451613,random_Q,AOMIC_ID1000,0
17,8,Single site Train,0.8817831325301204,0.9644819277108434,0.8808080808080808,0.872,random_Q,AOMIC_ID1000,0
18,9,Single site Test,0.7419354838709677,0.7900624349635795,0.746031746031746,0.7580645161290323,random_Q,AOMIC_ID1000,0
19,9,Single site Train,0.884,0.963968,0.8825910931174089,0.872,random_Q,AOMIC_ID1000,0
20,10,Single site Test,0.808499743983615,0.873015873015873,0.7966101694915254,0.746031746031746,random_Q,AOMIC_ID1000,0
