,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,None Test,0.575,0.665,0.6046511627906976,0.65,low_Q,SALD
1,0,None Train,0.91875,0.9659374999999999,0.9192546583850931,0.925,low_Q,SALD
2,1,None Test,0.675,0.61,0.6486486486486487,0.6,low_Q,SALD
3,1,None Train,0.94375,0.9875,0.9440993788819876,0.95,low_Q,SALD
4,2,None Test,0.5,0.46499999999999997,0.47368421052631576,0.45,low_Q,SALD
5,2,None Train,0.95,0.9929687500000001,0.95,0.95,low_Q,SALD
6,3,None Test,0.6,0.7025,0.5294117647058824,0.45,low_Q,SALD
7,3,None Train,0.94375,0.9928125,0.9440993788819876,0.95,low_Q,SALD
8,4,None Test,0.625,0.67,0.6511627906976745,0.7,low_Q,SALD
9,4,None Train,0.94375,0.9784375000000001,0.9440993788819876,0.95,low_Q,SALD
10,5,None Test,0.625,0.665,0.6341463414634146,0.65,low_Q,SALD
11,5,None Train,0.9375,0.98984375,0.9375,0.9375,low_Q,SALD
12,6,None Test,0.55,0.5974999999999999,0.47058823529411764,0.4,low_Q,SALD
13,6,None Train,0.90625,0.96875,0.9056603773584906,0.9,low_Q,SALD
14,7,None Test,0.575,0.665,0.5853658536585366,0.6,low_Q,SALD
15,7,None Train,0.9375,0.9868750000000001,0.9375,0.9375,low_Q,SALD
16,8,None Test,0.725,0.76,0.7555555555555555,0.85,low_Q,SALD
17,8,None Train,0.93125,0.9821875,0.9308176100628931,0.925,low_Q,SALD
18,9,None Test,0.5,0.5449999999999999,0.5454545454545454,0.6,low_Q,SALD
19,9,None Train,0.9437500000000001,0.9853124999999999,0.9426751592356688,0.925,low_Q,SALD
20,10,None Test,0.525,0.5800000000000001,0.5581395348837209,0.6,low_Q,SALD
21,10,None Train,0.9437500000000001,0.98109375,0.9426751592356688,0.925,low_Q,SALD
22,11,None Test,0.675,0.6725,0.6829268292682927,0.7,low_Q,SALD
23,11,None Train,0.9,0.9700000000000001,0.8974358974358975,0.875,low_Q,SALD
24,12,None Test,0.625,0.6499999999999999,0.6153846153846154,0.6,low_Q,SALD
25,12,None Train,0.93125,0.9842187499999999,0.9308176100628931,0.925,low_Q,SALD
26,13,None Test,0.65,0.6725,0.65,0.65,low_Q,SALD
27,13,None Train,0.95,0.99109375,0.9506172839506173,0.9625,low_Q,SALD
28,14,None Test,0.475,0.545,0.4878048780487805,0.5,low_Q,SALD
