,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.575,0.655,0.6046511627906976,0.65,random_Q,SALD
1,0,Single site Train,0.9375,0.9784375,0.9397590361445783,0.975,random_Q,SALD
2,1,Single site Test,0.6499999999999999,0.6475,0.631578947368421,0.6,random_Q,SALD
3,1,Single site Train,0.9375,0.98046875,0.9382716049382716,0.95,random_Q,SALD
4,2,Single site Test,0.675,0.7175,0.6976744186046512,0.75,random_Q,SALD
5,2,Single site Train,0.8875,0.97609375,0.8875,0.8875,random_Q,SALD
6,3,Single site Test,0.575,0.61,0.5641025641025641,0.55,random_Q,SALD
7,3,Single site Train,0.9375,0.98,0.9382716049382716,0.95,random_Q,SALD
8,4,Single site Test,0.7,0.6725,0.7,0.7,random_Q,SALD
9,4,Single site Train,0.9437500000000001,0.9821875,0.9447852760736196,0.9625,random_Q,SALD
10,5,Single site Test,0.775,0.825,0.7428571428571429,0.65,random_Q,SALD
11,5,Single site Train,0.9437500000000001,0.98359375,0.9447852760736196,0.9625,random_Q,SALD
12,6,Single site Test,0.65,0.5825,0.65,0.65,random_Q,SALD
13,6,Single site Train,0.91875,0.9750000000000001,0.9192546583850931,0.925,random_Q,SALD
14,7,Single site Test,0.55,0.6950000000000001,0.6086956521739131,0.7,random_Q,SALD
15,7,Single site Train,0.89375,0.9654687499999999,0.8944099378881988,0.9,random_Q,SALD
16,8,Single site Test,0.55,0.5625,0.5714285714285714,0.6,random_Q,SALD
17,8,Single site Train,0.93125,0.98640625,0.9333333333333333,0.9625,random_Q,SALD
18,9,Single site Test,0.5,0.625,0.5238095238095238,0.55,random_Q,SALD
19,9,Single site Train,0.925,0.9864062499999999,0.927710843373494,0.9625,random_Q,SALD
20,10,Single site Test,0.625,0.76,0.6153846153846154,0.6,random_Q,SALD
21,10,Single site Train,0.91875,0.9842187499999999,0.9212121212121213,0.95,random_Q,SALD
22,11,Single site Test,0.55,0.5475,0.5,0.45,random_Q,SALD
23,11,Single site Train,0.90625,0.97625,0.9079754601226994,0.925,random_Q,SALD
24,12,Single site Test,0.525,0.52,0.4864864864864865,0.45,random_Q,SALD
25,12,Single site Train,0.94375,0.984375,0.9440993788819876,0.95,random_Q,SALD
26,13,Single site Test,0.6499999999999999,0.66,0.631578947368421,0.6,random_Q,SALD
27,13,Single site Train,0.9312499999999999,0.9784375,0.9325153374233128,0.95,random_Q,SALD
28,14,Single site Test,0.65,0.655,0.6956521739130435,0.8,random_Q,SALD
29,14,Single site Train,0.925,0.9801562499999998,0.926829268292683,0.95,random_Q,SALD
30,15,Single site Test,0.6,0.6025,0.5555555555555556,0.5,random_Q,SALD
31,15,Single site Train,0.9125,0.9854687500000001,0.9146341463414634,0.9375,random_Q,SALD
32,16,Single site Test,0.6,0.6425000000000001,0.5555555555555556,0.5,random_Q,SALD
33,16,Single site Train,0.95625,0.98453125,0.9559748427672956,0.95,random_Q,SALD
34,17,Single site Test,0.5,0.525,0.5454545454545454,0.6,random_Q,SALD
35,17,Single site Train,0.9375,0.9732812500000001,0.9390243902439024,0.9625,random_Q,SALD
36,18,Single site Test,0.65,0.7124999999999999,0.6818181818181818,0.75,random_Q,SALD
37,18,Single site Train,0.9312499999999999,0.9815625,0.9325153374233128,0.95,random_Q,SALD
38,19,Single site Test,0.7,0.7175,0.6842105263157895,0.65,random_Q,SALD
39,19,Single site Train,0.95625,0.9824999999999999,0.9565217391304348,0.9625,random_Q,SALD
40,20,Single site Test,0.5,0.575,0.5,0.5,random_Q,SALD
41,20,Single site Train,0.95,0.9796875,0.9506172839506173,0.9625,random_Q,SALD
42,21,Single site Test,0.65,0.5900000000000001,0.6818181818181818,0.75,random_Q,SALD
43,21,Single site Train,0.94375,0.98546875,0.9433962264150944,0.9375,random_Q,SALD
44,22,Single site Test,0.575,0.6725000000000001,0.5641025641025641,0.55,random_Q,SALD
45,22,Single site Train,0.9125000000000001,0.9809375,0.9135802469135802,0.925,random_Q,SALD
46,23,Single site Test,0.525,0.61,0.4864864864864865,0.45,random_Q,SALD
47,23,Single site Train,0.925,0.97953125,0.9259259259259259,0.9375,random_Q,SALD
48,24,Single site Test,0.55,0.645,0.5,0.45,random_Q,SALD
49,24,Single site Train,0.9312499999999999,0.978125,0.9325153374233128,0.95,random_Q,SALD
50,0,Single site Test,0.6964285714285714,0.7283163265306122,0.6792452830188679,0.6428571428571429,random_Q,eNKI
51,0,Single site Train,0.8660714285714286,0.9339126275510204,0.8648648648648649,0.8571428571428571,random_Q,eNKI
52,1,Single site Test,0.6607142857142858,0.7474489795918368,0.6666666666666666,0.6785714285714286,random_Q,eNKI
53,1,Single site Train,0.8303571428571428,0.9305644132653061,0.8288288288288288,0.8214285714285714,random_Q,eNKI
54,2,Single site Test,0.6428571428571428,0.7512755102040817,0.6551724137931034,0.6785714285714286,random_Q,eNKI
55,2,Single site Train,0.8705357142857143,0.9393335459183673,0.8699551569506726,0.8660714285714286,random_Q,eNKI
56,3,Single site Test,0.8214285714285714,0.8622448979591837,0.8275862068965517,0.8571428571428571,random_Q,eNKI
57,3,Single site Train,0.8616071428571428,0.9322385204081632,0.8584474885844748,0.8392857142857143,random_Q,eNKI
58,4,Single site Test,0.5714285714285714,0.610969387755102,0.5714285714285714,0.5714285714285714,random_Q,eNKI
59,4,Single site Train,0.8660714285714286,0.9417251275510203,0.8636363636363636,0.8482142857142857,random_Q,eNKI
60,5,Single site Test,0.6071428571428572,0.721938775510204,0.6451612903225806,0.7142857142857143,random_Q,eNKI
61,5,Single site Train,0.8660714285714286,0.9381377551020409,0.8636363636363636,0.8482142857142857,random_Q,eNKI
62,6,Single site Test,0.8035714285714286,0.8571428571428572,0.7755102040816326,0.6785714285714286,random_Q,eNKI
63,6,Single site Train,0.8705357142857143,0.9433195153061223,0.8699551569506726,0.8660714285714286,random_Q,eNKI
64,7,Single site Test,0.6785714285714286,0.7436224489795918,0.6896551724137931,0.7142857142857143,random_Q,eNKI
65,7,Single site Train,0.8660714285714286,0.9391741071428571,0.8660714285714286,0.8660714285714286,random_Q,eNKI
66,8,Single site Test,0.6071428571428572,0.6607142857142857,0.6451612903225806,0.7142857142857143,random_Q,eNKI
67,8,Single site Train,0.8482142857142857,0.944595025510204,0.8482142857142857,0.8482142857142857,random_Q,eNKI
68,9,Single site Test,0.7321428571428572,0.7755102040816326,0.7272727272727273,0.7142857142857143,random_Q,eNKI
69,9,Single site Train,0.84375,0.9165338010204082,0.8430493273542601,0.8392857142857143,random_Q,eNKI
70,10,Single site Test,0.7678571428571429,0.8698979591836734,0.7936507936507936,0.8928571428571429,random_Q,eNKI
71,10,Single site Train,0.8616071428571428,0.9406887755102041,0.8597285067873304,0.8482142857142857,random_Q,eNKI
72,11,Single site Test,0.6607142857142858,0.7576530612244897,0.6666666666666666,0.6785714285714286,random_Q,eNKI
73,11,Single site Train,0.8705357142857143,0.9522480867346939,0.8699551569506726,0.8660714285714286,random_Q,eNKI
74,12,Single site Test,0.6607142857142858,0.6734693877551021,0.6666666666666666,0.6785714285714286,random_Q,eNKI
75,12,Single site Train,0.8616071428571428,0.9347098214285714,0.8609865470852018,0.8571428571428571,random_Q,eNKI
76,13,Single site Test,0.6071428571428572,0.6619897959183674,0.5769230769230769,0.5357142857142857,random_Q,eNKI
77,13,Single site Train,0.8571428571428572,0.934311224489796,0.8545454545454545,0.8392857142857143,random_Q,eNKI
78,14,Single site Test,0.75,0.8788265306122449,0.7407407407407407,0.7142857142857143,random_Q,eNKI
79,14,Single site Train,0.8482142857142857,0.9230707908163265,0.8468468468468469,0.8392857142857143,random_Q,eNKI
80,15,Single site Test,0.7142857142857143,0.8048469387755102,0.6923076923076923,0.6428571428571429,random_Q,eNKI
81,15,Single site Train,0.8616071428571428,0.9361447704081632,0.8597285067873304,0.8482142857142857,random_Q,eNKI
82,16,Single site Test,0.6607142857142858,0.7193877551020408,0.6666666666666666,0.6785714285714286,random_Q,eNKI
83,16,Single site Train,0.8482142857142857,0.9357461734693877,0.8482142857142857,0.8482142857142857,random_Q,eNKI
84,17,Single site Test,0.7678571428571428,0.8941326530612245,0.7719298245614035,0.7857142857142857,random_Q,eNKI
85,17,Single site Train,0.8303571428571428,0.9284119897959183,0.831858407079646,0.8392857142857143,random_Q,eNKI
86,18,Single site Test,0.6607142857142857,0.711734693877551,0.6984126984126984,0.7857142857142857,random_Q,eNKI
87,18,Single site Train,0.8660714285714286,0.9407684948979592,0.8623853211009175,0.8392857142857143,random_Q,eNKI
