,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7519114688128773,0.8164989939637827,0.7482014388489209,0.7323943661971831,high_Q,AOMIC_ID1000
1,0,Single site Train,0.8716573462125063,0.9507371631926793,0.8714285714285714,0.8714285714285714,high_Q,AOMIC_ID1000
2,1,Single site Test,0.7586519114688128,0.827364185110664,0.75,0.7285714285714285,high_Q,AOMIC_ID1000
3,1,Single site Train,0.8930604982206406,0.953202846975089,0.8924731182795699,0.8861209964412812,high_Q,AOMIC_ID1000
4,2,Single site Test,0.7,0.8134693877551021,0.7083333333333334,0.7285714285714285,high_Q,AOMIC_ID1000
5,2,Single site Train,0.8790035587188612,0.95417991160193,0.8781362007168458,0.8718861209964412,high_Q,AOMIC_ID1000
6,3,Single site Test,0.7714285714285715,0.8246938775510204,0.7647058823529411,0.7428571428571429,high_Q,AOMIC_ID1000
7,3,Single site Train,0.8879003558718861,0.9552057344765137,0.8868940754039497,0.8790035587188612,high_Q,AOMIC_ID1000
8,4,Single site Test,0.7642857142857142,0.8616326530612245,0.7692307692307693,0.7857142857142857,high_Q,AOMIC_ID1000
9,4,Single site Train,0.8790035587188612,0.9491141196286774,0.8785714285714286,0.8754448398576512,high_Q,AOMIC_ID1000
10,5,Single site Test,0.7307847082494969,0.7933601609657949,0.7205882352941176,0.6901408450704225,high_Q,AOMIC_ID1000
11,5,Single site Train,0.8680795627859685,0.9507244534824606,0.8669064748201439,0.8607142857142858,high_Q,AOMIC_ID1000
12,6,Single site Test,0.787625754527163,0.8832997987927564,0.7972972972972973,0.8428571428571429,high_Q,AOMIC_ID1000
13,6,Single site Train,0.894827147941027,0.9591891204880529,0.8952042628774423,0.896797153024911,high_Q,AOMIC_ID1000
14,7,Single site Test,0.7714285714285714,0.856122448979592,0.7611940298507462,0.7285714285714285,high_Q,AOMIC_ID1000
15,7,Single site Train,0.8879003558718861,0.953306062486544,0.8860759493670886,0.8718861209964412,high_Q,AOMIC_ID1000
16,8,Single site Test,0.7928571428571429,0.8620408163265305,0.7943262411347518,0.8,high_Q,AOMIC_ID1000
17,8,Single site Train,0.8736654804270463,0.9473537569179723,0.8716094032549728,0.8576512455516014,high_Q,AOMIC_ID1000
18,9,Single site Test,0.6928571428571428,0.7924489795918368,0.6993006993006993,0.7142857142857143,high_Q,AOMIC_ID1000
19,9,Single site Train,0.8825622775800712,0.950798495459784,0.8812949640287769,0.8718861209964412,high_Q,AOMIC_ID1000
20,10,Single site Test,0.7582494969818914,0.8661971830985915,0.7792207792207793,0.8450704225352113,high_Q,AOMIC_ID1000
21,10,Single site Train,0.8841001525165226,0.9597610574478902,0.8816029143897997,0.8642857142857143,high_Q,AOMIC_ID1000
22,11,Single site Test,0.7519114688128773,0.8325955734406439,0.7552447552447552,0.7714285714285715,high_Q,AOMIC_ID1000
23,11,Single site Train,0.8770081342145399,0.9502414844941536,0.8770053475935828,0.8754448398576512,high_Q,AOMIC_ID1000
24,12,Single site Test,0.7571428571428571,0.8522448979591837,0.7424242424242424,0.7,high_Q,AOMIC_ID1000
25,12,Single site Train,0.8576512455516014,0.9417813857473942,0.8581560283687943,0.8612099644128114,high_Q,AOMIC_ID1000
26,13,Single site Test,0.6714285714285715,0.7993877551020409,0.6666666666666666,0.6571428571428571,high_Q,AOMIC_ID1000
27,13,Single site Train,0.8807829181494662,0.954078595762465,0.8788426763110307,0.8647686832740213,high_Q,AOMIC_ID1000
28,14,Single site Test,0.7571428571428571,0.8381632653061225,0.7671232876712328,0.8,high_Q,AOMIC_ID1000
29,14,Single site Train,0.8754448398576513,0.9508744823393827,0.8736462093862816,0.8612099644128114,high_Q,AOMIC_ID1000
30,15,Single site Test,0.7305835010060362,0.8261569416498994,0.7285714285714285,0.7183098591549296,high_Q,AOMIC_ID1000
31,15,Single site Train,0.8823207930859176,0.9618835790543976,0.88,0.8642857142857143,high_Q,AOMIC_ID1000
32,16,Single site Test,0.7941649899396379,0.8847082494969819,0.7883211678832117,0.7714285714285715,high_Q,AOMIC_ID1000
33,16,Single site Train,0.8770081342145399,0.9455134722928318,0.8770053475935828,0.8754448398576512,high_Q,AOMIC_ID1000
34,17,Single site Test,0.8,0.8653061224489796,0.7971014492753623,0.7857142857142857,high_Q,AOMIC_ID1000
35,17,Single site Train,0.8683274021352313,0.9455174073276682,0.8673835125448028,0.8612099644128114,high_Q,AOMIC_ID1000
36,18,Single site Test,0.6857142857142857,0.7963265306122449,0.6944444444444444,0.7142857142857143,high_Q,AOMIC_ID1000
37,18,Single site Train,0.8896797153024911,0.9467711908410481,0.8884892086330936,0.8790035587188612,high_Q,AOMIC_ID1000
38,19,Single site Test,0.7428571428571429,0.8016326530612244,0.7534246575342466,0.7857142857142857,high_Q,AOMIC_ID1000
39,19,Single site Train,0.8879003558718861,0.9587517888577904,0.8868940754039497,0.8790035587188612,high_Q,AOMIC_ID1000
40,20,Single site Test,0.7446680080482897,0.8267605633802817,0.7464788732394366,0.7464788732394366,high_Q,AOMIC_ID1000
41,20,Single site Train,0.8859112862226741,0.9579308591764107,0.8853046594982079,0.8821428571428571,high_Q,AOMIC_ID1000
42,21,Single site Test,0.7871227364185112,0.8591549295774648,0.782608695652174,0.7714285714285715,high_Q,AOMIC_ID1000
43,21,Single site Train,0.8770144890696492,0.9528342653787494,0.8765652951699463,0.8718861209964412,high_Q,AOMIC_ID1000
44,22,Single site Test,0.7,0.8197959183673469,0.704225352112676,0.7142857142857143,high_Q,AOMIC_ID1000
45,22,Single site Train,0.8718861209964412,0.9474930661972365,0.8718861209964412,0.8718861209964412,high_Q,AOMIC_ID1000
46,23,Single site Test,0.7428571428571429,0.7461224489795919,0.7391304347826086,0.7285714285714285,high_Q,AOMIC_ID1000
47,23,Single site Train,0.8790035587188612,0.9513810615367081,0.8781362007168458,0.8718861209964412,high_Q,AOMIC_ID1000
48,24,Single site Test,0.7642857142857142,0.8246938775510204,0.7692307692307693,0.7857142857142857,high_Q,AOMIC_ID1000
49,24,Single site Train,0.8772241992882562,0.9526855029698206,0.8743169398907104,0.8540925266903915,high_Q,AOMIC_ID1000
