,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7586519114688128,0.8696177062374245,0.7671232876712328,0.7887323943661971,low_Q,AOMIC_ID1000
1,0,Single site Train,0.878768429079817,0.9544992374173868,0.8772563176895307,0.8678571428571429,low_Q,AOMIC_ID1000
2,1,Single site Test,0.8225352112676056,0.8847082494969819,0.8175182481751825,0.8,low_Q,AOMIC_ID1000
3,1,Single site Train,0.9108731570920183,0.9696492119979665,0.9110320284697508,0.9110320284697508,low_Q,AOMIC_ID1000
4,2,Single site Test,0.7214285714285714,0.7936734693877551,0.7111111111111111,0.6857142857142857,low_Q,AOMIC_ID1000
5,2,Single site Train,0.9021352313167259,0.9684907739263687,0.9016100178890877,0.896797153024911,low_Q,AOMIC_ID1000
6,3,Single site Test,0.7928571428571429,0.893469387755102,0.7851851851851852,0.7571428571428571,low_Q,AOMIC_ID1000
7,3,Single site Train,0.9110320284697508,0.9668190625751953,0.910394265232975,0.9039145907473309,low_Q,AOMIC_ID1000
8,4,Single site Test,0.7571428571428571,0.8465306122448979,0.7671232876712328,0.8,low_Q,AOMIC_ID1000
9,4,Single site Train,0.905693950177936,0.9710489988728613,0.9045045045045045,0.8932384341637011,low_Q,AOMIC_ID1000
10,5,Single site Test,0.8582494969818913,0.8959758551307847,0.8571428571428571,0.8450704225352113,low_Q,AOMIC_ID1000
11,5,Single site Train,0.9126398068124046,0.974415353329944,0.9117117117117117,0.9035714285714286,low_Q,AOMIC_ID1000
12,6,Single site Test,0.7800804828973843,0.8698189134808852,0.7769784172661871,0.7714285714285715,low_Q,AOMIC_ID1000
13,6,Single site Train,0.9019700050838841,0.9620233858668024,0.9016100178890877,0.896797153024911,low_Q,AOMIC_ID1000
14,7,Single site Test,0.7357142857142858,0.8244897959183674,0.7338129496402878,0.7285714285714285,low_Q,AOMIC_ID1000
15,7,Single site Train,0.9234875444839858,0.9806106812223756,0.9230769230769231,0.9181494661921709,low_Q,AOMIC_ID1000
16,8,Single site Test,0.7357142857142858,0.8277551020408164,0.7338129496402878,0.7285714285714285,low_Q,AOMIC_ID1000
17,8,Single site Train,0.8807829181494662,0.9482529349932244,0.8784029038112523,0.8612099644128114,low_Q,AOMIC_ID1000
18,9,Single site Test,0.7642857142857142,0.8618367346938776,0.7555555555555555,0.7285714285714285,low_Q,AOMIC_ID1000
19,9,Single site Train,0.905693950177936,0.9669330428945935,0.9055258467023173,0.9039145907473309,low_Q,AOMIC_ID1000
20,10,Single site Test,0.7518108651911468,0.8110663983903421,0.75177304964539,0.7464788732394366,low_Q,AOMIC_ID1000
21,10,Single site Train,0.8930096593797662,0.9641840366039655,0.8905109489051095,0.8714285714285714,low_Q,AOMIC_ID1000
22,11,Single site Test,0.7663983903420524,0.8547283702213281,0.7785234899328859,0.8285714285714286,low_Q,AOMIC_ID1000
23,11,Single site Train,0.9108858668022368,0.9703355363497712,0.910394265232975,0.9039145907473309,low_Q,AOMIC_ID1000
