,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7312834224598931,0.7647058823529412,0.7352941176470589,0.7352941176470589,high_Q,CamCAN
1,0,Single site Train,0.8150774663932558,0.9024834814308498,0.8136882129277566,0.8106060606060606,high_Q,CamCAN
2,1,Single site Test,0.7014260249554367,0.767379679144385,0.696969696969697,0.696969696969697,high_Q,CamCAN
3,1,Single site Train,0.8452950558213717,0.9115402141717932,0.8452830188679246,0.8421052631578947,high_Q,CamCAN
4,2,Single site Test,0.6212121212121212,0.7061524334251608,0.6268656716417911,0.6363636363636364,high_Q,CamCAN
5,2,Single site Train,0.8571428571428572,0.9193283961784159,0.8538461538461538,0.8345864661654135,high_Q,CamCAN
6,3,Single site Test,0.5757575757575757,0.6152433425160697,0.5333333333333333,0.48484848484848486,high_Q,CamCAN
7,3,Single site Train,0.8345864661654135,0.9060998360563063,0.8320610687022901,0.8195488721804511,high_Q,CamCAN
8,4,Single site Test,0.6060606060606061,0.689623507805326,0.5517241379310345,0.48484848484848486,high_Q,CamCAN
9,4,Single site Train,0.8458646616541353,0.9138447622816439,0.8452830188679246,0.8421052631578947,high_Q,CamCAN
10,5,Single site Test,0.7165775401069518,0.7816399286987522,0.7164179104477612,0.7058823529411765,high_Q,CamCAN
11,5,Single site Train,0.8339314194577352,0.9027113237639554,0.8320610687022901,0.8257575757575758,high_Q,CamCAN
12,6,Single site Test,0.535650623885918,0.5998217468805704,0.4745762711864407,0.42424242424242425,high_Q,CamCAN
13,6,Single site Train,0.8113465481886535,0.9035087719298246,0.8106060606060606,0.8045112781954887,high_Q,CamCAN
14,7,Single site Test,0.6363636363636364,0.7006427915518825,0.6363636363636364,0.6363636363636364,high_Q,CamCAN
15,7,Single site Train,0.8458646616541353,0.9141839561309288,0.8452830188679246,0.8421052631578947,high_Q,CamCAN
16,8,Single site Test,0.6212121212121212,0.6290174471992653,0.6376811594202898,0.6666666666666666,high_Q,CamCAN
17,8,Single site Train,0.8458646616541353,0.9107354853298659,0.8452830188679246,0.8421052631578947,high_Q,CamCAN
18,9,Single site Test,0.6818181818181819,0.7557392102846648,0.6865671641791045,0.696969696969697,high_Q,CamCAN
19,9,Single site Train,0.8421052631578947,0.9180846853977048,0.8421052631578947,0.8421052631578947,high_Q,CamCAN
20,10,Single site Test,0.6577540106951871,0.7379679144385027,0.6349206349206349,0.5882352941176471,high_Q,CamCAN
21,10,Single site Train,0.8263271815903395,0.9073251310093416,0.8217054263565892,0.803030303030303,high_Q,CamCAN
22,11,Single site Test,0.5819964349376114,0.6140819964349375,0.5757575757575758,0.5757575757575758,high_Q,CamCAN
23,11,Single site Train,0.8565732513100934,0.9233310549100023,0.8582089552238806,0.8646616541353384,high_Q,CamCAN
24,12,Single site Test,0.6363636363636364,0.6418732782369145,0.6363636363636364,0.6363636363636364,high_Q,CamCAN
25,12,Single site Train,0.8345864661654135,0.9119791961105772,0.8345864661654135,0.8345864661654135,high_Q,CamCAN
26,13,Single site Test,0.7272727272727273,0.8145087235996327,0.7352941176470589,0.7575757575757576,high_Q,CamCAN
27,13,Single site Train,0.8157894736842105,0.9015207190909605,0.8150943396226416,0.8120300751879699,high_Q,CamCAN
28,14,Single site Test,0.6515151515151515,0.736455463728191,0.6933333333333334,0.7878787878787878,high_Q,CamCAN
29,14,Single site Train,0.8383458646616542,0.9061563683645203,0.8365019011406845,0.8270676691729323,high_Q,CamCAN
30,15,Single site Test,0.6122994652406417,0.7040998217468806,0.6060606060606061,0.5882352941176471,high_Q,CamCAN
31,15,Single site Train,0.8150774663932558,0.8914900888585099,0.8136882129277566,0.8106060606060606,high_Q,CamCAN
32,16,Single site Test,0.6564171122994653,0.7718360071301248,0.6461538461538462,0.6363636363636364,high_Q,CamCAN
33,16,Single site Train,0.849025974025974,0.9157552973342447,0.8507462686567164,0.8571428571428571,high_Q,CamCAN
34,17,Single site Test,0.5303030303030303,0.5720844811753903,0.4918032786885246,0.45454545454545453,high_Q,CamCAN
35,17,Single site Train,0.8421052631578947,0.9191022669455594,0.8432835820895522,0.849624060150376,high_Q,CamCAN
36,18,Single site Test,0.696969696969697,0.6978879706152433,0.7058823529411765,0.7272727272727273,high_Q,CamCAN
