,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.576923076923077,0.47337278106508873,0.47619047619047616,0.38461538461538464,low_Q,DLBS
1,0,Single site Train,0.8725490196078431,0.9519415609381008,0.8712871287128713,0.8627450980392157,low_Q,DLBS
2,1,Single site Test,0.5384615384615384,0.7041420118343196,0.45454545454545453,0.38461538461538464,low_Q,DLBS
3,1,Single site Train,0.8725490196078431,0.9504036908881199,0.8686868686868687,0.8431372549019608,low_Q,DLBS
4,2,Single site Test,0.46153846153846156,0.5029585798816568,0.5,0.5384615384615384,low_Q,DLBS
5,2,Single site Train,0.8627450980392157,0.952326028450596,0.86,0.8431372549019608,low_Q,DLBS
6,3,Single site Test,0.5608974358974359,0.6730769230769231,0.56,0.5384615384615384,low_Q,DLBS
7,3,Single site Train,0.8540723981900452,0.9351432880844646,0.8484848484848485,0.8235294117647058,low_Q,DLBS
8,4,Single site Test,0.6025641025641025,0.6346153846153846,0.6153846153846154,0.6666666666666666,low_Q,DLBS
9,4,Single site Train,0.8740573152337858,0.9551282051282051,0.8712871287128713,0.8461538461538461,low_Q,DLBS
10,5,Single site Test,0.42307692307692313,0.5325443786982249,0.4,0.38461538461538464,low_Q,DLBS
11,5,Single site Train,0.8725490196078431,0.9515570934256056,0.8686868686868687,0.8431372549019608,low_Q,DLBS
12,6,Single site Test,0.5769230769230769,0.5502958579881656,0.56,0.5384615384615384,low_Q,DLBS
13,6,Single site Train,0.8333333333333333,0.9373317954632833,0.8316831683168316,0.8235294117647058,low_Q,DLBS
14,7,Single site Test,0.5769230769230769,0.6449704142011834,0.6206896551724138,0.6923076923076923,low_Q,DLBS
15,7,Single site Train,0.8823529411764706,0.9434832756632064,0.88,0.8627450980392157,low_Q,DLBS
16,8,Single site Test,0.7147435897435898,0.8012820512820513,0.7586206896551724,0.8461538461538461,low_Q,DLBS
17,8,Single site Train,0.8542609351432882,0.9487179487179487,0.8514851485148515,0.8431372549019608,low_Q,DLBS
18,9,Single site Test,0.5576923076923077,0.5064102564102564,0.5217391304347826,0.5,low_Q,DLBS
19,9,Single site Train,0.873868778280543,0.952865761689291,0.8737864077669902,0.8653846153846154,low_Q,DLBS
20,10,Single site Test,0.5769230769230769,0.6390532544378699,0.5925925925925926,0.6153846153846154,low_Q,DLBS
21,10,Single site Train,0.8627450980392157,0.9527104959630912,0.8627450980392157,0.8627450980392157,low_Q,DLBS
22,11,Single site Test,0.6538461538461539,0.6390532544378699,0.6666666666666666,0.6923076923076923,low_Q,DLBS
23,11,Single site Train,0.8333333333333334,0.9361783929257977,0.8282828282828283,0.803921568627451,low_Q,DLBS
24,12,Single site Test,0.5384615384615384,0.6213017751479291,0.5384615384615384,0.5384615384615384,low_Q,DLBS
25,12,Single site Train,0.8627450980392157,0.9323337178008457,0.86,0.8431372549019608,low_Q,DLBS
26,13,Single site Test,0.5288461538461539,0.5769230769230769,0.4,0.3076923076923077,low_Q,DLBS
27,13,Single site Train,0.8734917043740573,0.9532428355957768,0.8686868686868687,0.8431372549019608,low_Q,DLBS
28,14,Single site Test,0.5256410256410257,0.5833333333333333,0.5714285714285714,0.6666666666666666,low_Q,DLBS
29,14,Single site Train,0.873868778280543,0.9619155354449471,0.8737864077669902,0.8653846153846154,low_Q,DLBS
30,15,Single site Test,0.6153846153846154,0.6568047337278107,0.6153846153846154,0.6153846153846154,low_Q,DLBS
31,15,Single site Train,0.9117647058823529,0.962322183775471,0.9090909090909091,0.8823529411764706,low_Q,DLBS
32,16,Single site Test,0.6153846153846154,0.6449704142011834,0.5,0.38461538461538464,low_Q,DLBS
33,16,Single site Train,0.8627450980392157,0.9304113802383699,0.8571428571428571,0.8235294117647058,low_Q,DLBS
34,17,Single site Test,0.5769230769230769,0.5621301775147929,0.6206896551724138,0.6923076923076923,low_Q,DLBS
35,17,Single site Train,0.8529411764705882,0.9331026528258362,0.8484848484848485,0.8235294117647058,low_Q,DLBS
36,18,Single site Test,0.6730769230769231,0.7243589743589743,0.7333333333333333,0.8461538461538461,low_Q,DLBS
37,18,Single site Train,0.8640648567119156,0.9607843137254902,0.8627450980392157,0.8627450980392157,low_Q,DLBS
38,19,Single site Test,0.3653846153846154,0.4358974358974359,0.42857142857142855,0.5,low_Q,DLBS
39,19,Single site Train,0.8448340874811463,0.9479638009049773,0.8431372549019608,0.8269230769230769,low_Q,DLBS
40,20,Single site Test,0.6153846153846154,0.7041420118343196,0.5833333333333334,0.5384615384615384,low_Q,DLBS
41,20,Single site Train,0.8529411764705882,0.9373317954632834,0.8484848484848485,0.8235294117647058,low_Q,DLBS
42,21,Single site Test,0.46153846153846156,0.44970414201183434,0.5,0.5384615384615384,low_Q,DLBS
43,21,Single site Train,0.9117647058823529,0.9630911188004614,0.9108910891089109,0.9019607843137255,low_Q,DLBS
44,22,Single site Test,0.6538461538461539,0.6745562130177514,0.6666666666666666,0.6923076923076923,low_Q,DLBS
45,22,Single site Train,0.8431372549019608,0.9404075355632449,0.84,0.8235294117647058,low_Q,DLBS
46,23,Single site Test,0.4391025641025641,0.4871794871794872,0.46153846153846156,0.46153846153846156,low_Q,DLBS
47,23,Single site Train,0.8734917043740573,0.9600301659125188,0.8686868686868687,0.8431372549019608,low_Q,DLBS
48,24,Single site Test,0.641025641025641,0.7371794871794872,0.64,0.6666666666666666,low_Q,DLBS
49,24,Single site Train,0.8642533936651584,0.9332579185520363,0.8627450980392157,0.8461538461538461,low_Q,DLBS
