,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6875,0.75,0.6428571428571429,0.5625,high_Q,GSP
1,0,Single site Train,0.8225806451612903,0.8985431841831426,0.819672131147541,0.8064516129032258,high_Q,GSP
2,1,Single site Test,0.42083333333333334,0.3791666666666667,0.4,0.375,high_Q,GSP
3,1,Single site Train,0.8236047107014849,0.9155145929339478,0.8135593220338984,0.7741935483870968,high_Q,GSP
4,2,Single site Test,0.6770833333333333,0.7791666666666667,0.6875,0.6875,high_Q,GSP
5,2,Single site Train,0.8401177675371223,0.9119303635432667,0.8412698412698413,0.8548387096774194,high_Q,GSP
6,3,Single site Test,0.64375,0.7333333333333333,0.6206896551724138,0.6,high_Q,GSP
7,3,Single site Train,0.8481822836661546,0.9216589861751151,0.8455284552845529,0.8253968253968254,high_Q,GSP
8,4,Single site Test,0.6791666666666667,0.6416666666666666,0.6875,0.7333333333333333,high_Q,GSP
9,4,Single site Train,0.8639272913466463,0.9306195596518178,0.8661417322834646,0.873015873015873,high_Q,GSP
10,5,Single site Test,0.59375,0.703125,0.6666666666666666,0.8125,high_Q,GSP
11,5,Single site Train,0.8387096774193549,0.90894901144641,0.8412698412698413,0.8548387096774194,high_Q,GSP
12,6,Single site Test,0.6458333333333333,0.6166666666666667,0.6451612903225806,0.625,high_Q,GSP
13,6,Single site Train,0.8397337429595494,0.9080901177675371,0.8333333333333334,0.8064516129032258,high_Q,GSP
14,7,Single site Test,0.5520833333333333,0.5833333333333334,0.5,0.4375,high_Q,GSP
15,7,Single site Train,0.8800563236047108,0.9306195596518178,0.88,0.8870967741935484,high_Q,GSP
16,8,Single site Test,0.74375,0.8083333333333333,0.75,0.8,high_Q,GSP
17,8,Single site Train,0.8321812596006144,0.9144905273937531,0.8292682926829268,0.8095238095238095,high_Q,GSP
18,9,Single site Test,0.6104166666666666,0.5958333333333333,0.5714285714285714,0.5333333333333333,high_Q,GSP
19,9,Single site Train,0.8480542754736303,0.9234511008704557,0.848,0.8412698412698413,high_Q,GSP
20,10,Single site Test,0.53125,0.4453125,0.5945945945945946,0.6875,high_Q,GSP
21,10,Single site Train,0.8548387096774194,0.9266389177939647,0.8524590163934426,0.8387096774193549,high_Q,GSP
22,11,Single site Test,0.675,0.7416666666666667,0.7058823529411765,0.75,high_Q,GSP
23,11,Single site Train,0.8399897593445981,0.9103942652329748,0.8387096774193549,0.8387096774193549,high_Q,GSP
24,12,Single site Test,0.7145833333333333,0.7958333333333333,0.6666666666666666,0.5625,high_Q,GSP
25,12,Single site Train,0.8480542754736303,0.9096262160778288,0.848,0.8548387096774194,high_Q,GSP
26,13,Single site Test,0.70625,0.7708333333333334,0.6666666666666666,0.6,high_Q,GSP
27,13,Single site Train,0.83205325140809,0.9167946748591909,0.832,0.8253968253968254,high_Q,GSP
28,14,Single site Test,0.6125,0.675,0.6,0.6,high_Q,GSP
29,14,Single site Train,0.8480542754736303,0.9211469534050178,0.848,0.8412698412698413,high_Q,GSP
30,15,Single site Test,0.59375,0.6796875,0.6486486486486487,0.75,high_Q,GSP
31,15,Single site Train,0.8387096774193549,0.9193548387096774,0.8387096774193549,0.8387096774193549,high_Q,GSP
32,16,Single site Test,0.51875,0.5208333333333334,0.4827586206896552,0.4375,high_Q,GSP
33,16,Single site Train,0.8717357910906298,0.9221710189452125,0.8666666666666667,0.8387096774193549,high_Q,GSP
34,17,Single site Test,0.64375,0.7125,0.6666666666666666,0.6875,high_Q,GSP
35,17,Single site Train,0.83205325140809,0.9022017409114184,0.832,0.8387096774193549,high_Q,GSP
36,18,Single site Test,0.7083333333333333,0.7916666666666667,0.6896551724137931,0.6666666666666666,high_Q,GSP
37,18,Single site Train,0.8640552995391705,0.9190988223246286,0.864,0.8571428571428571,high_Q,GSP
38,19,Single site Test,0.6770833333333333,0.75,0.6666666666666666,0.6666666666666666,high_Q,GSP
39,19,Single site Train,0.8159242191500256,0.9137224782386072,0.8188976377952756,0.8253968253968254,high_Q,GSP
40,20,Single site Test,0.6875,0.78515625,0.6875,0.6875,high_Q,GSP
41,20,Single site Train,0.8306451612903226,0.8995837669094693,0.8292682926829268,0.8225806451612904,high_Q,GSP
42,21,Single site Test,0.675,0.75,0.7058823529411765,0.75,high_Q,GSP
43,21,Single site Train,0.855862775217614,0.9239631336405529,0.8524590163934426,0.8387096774193549,high_Q,GSP
44,22,Single site Test,0.7104166666666667,0.6958333333333333,0.7096774193548387,0.6875,high_Q,GSP
45,22,Single site Train,0.847926267281106,0.9109062980030722,0.8455284552845529,0.8387096774193549,high_Q,GSP
46,23,Single site Test,0.5479166666666666,0.7250000000000001,0.5333333333333333,0.5333333333333333,high_Q,GSP
47,23,Single site Train,0.8398617511520737,0.9162826420890936,0.84375,0.8571428571428571,high_Q,GSP
48,24,Single site Test,0.5770833333333334,0.6,0.5185185185185185,0.4666666666666667,high_Q,GSP
49,24,Single site Train,0.8640552995391705,0.9357398873527906,0.864,0.8571428571428571,high_Q,GSP
