,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.78125,0.77734375,0.7586206896551724,0.6875,low_Q,GSP
1,0,Single site Train,0.9838709677419355,0.9973985431841832,0.9836065573770492,0.967741935483871,low_Q,GSP
2,1,Single site Test,0.55,0.5541666666666667,0.5333333333333333,0.5,low_Q,GSP
3,1,Single site Train,0.9839989759344598,0.9989759344598054,0.9838709677419355,0.9838709677419355,low_Q,GSP
4,2,Single site Test,0.7125,0.7083333333333334,0.6896551724137931,0.625,low_Q,GSP
5,2,Single site Train,0.9838709677419355,0.997183819764465,0.9836065573770492,0.967741935483871,low_Q,GSP
6,3,Single site Test,0.775,0.8416666666666668,0.7741935483870968,0.8,low_Q,GSP
7,3,Single site Train,0.9760624679979519,0.9946236559139785,0.976,0.9682539682539683,low_Q,GSP
8,4,Single site Test,0.6770833333333333,0.8291666666666666,0.6666666666666666,0.6666666666666666,low_Q,GSP
9,4,Single site Train,0.9202508960573477,0.9715821812596006,0.9180327868852459,0.8888888888888888,low_Q,GSP
10,5,Single site Test,0.75,0.8671875,0.75,0.75,low_Q,GSP
11,5,Single site Train,0.9274193548387097,0.9856919875130072,0.9256198347107438,0.9032258064516129,low_Q,GSP
12,6,Single site Test,0.58125,0.7375,0.5806451612903226,0.5625,low_Q,GSP
13,6,Single site Train,0.9838709677419355,0.996415770609319,0.9836065573770492,0.967741935483871,low_Q,GSP
14,7,Single site Test,0.6166666666666667,0.6916666666666667,0.5714285714285714,0.5,low_Q,GSP
15,7,Single site Train,0.9518689196108551,0.9879672299027138,0.9508196721311475,0.9354838709677419,low_Q,GSP
16,8,Single site Test,0.6458333333333333,0.7166666666666667,0.6451612903225806,0.6666666666666666,low_Q,GSP
17,8,Single site Train,0.9841269841269842,0.9984639016897081,0.9838709677419355,0.9682539682539683,low_Q,GSP
18,9,Single site Test,0.8708333333333333,0.8583333333333334,0.8666666666666667,0.8666666666666667,low_Q,GSP
19,9,Single site Train,0.9841269841269842,0.9974398361495136,0.9838709677419355,0.9682539682539683,low_Q,GSP
20,10,Single site Test,0.71875,0.80078125,0.6896551724137931,0.625,low_Q,GSP
21,10,Single site Train,0.9274193548387097,0.9838709677419355,0.9243697478991597,0.8870967741935484,low_Q,GSP
22,11,Single site Test,0.6166666666666667,0.625,0.5714285714285714,0.5,low_Q,GSP
23,11,Single site Train,0.9838709677419355,0.9994879672299027,0.9836065573770492,0.967741935483871,low_Q,GSP
24,12,Single site Test,0.6145833333333333,0.6541666666666666,0.6,0.5625,low_Q,GSP
25,12,Single site Train,0.9759344598054276,0.995647721454173,0.975609756097561,0.967741935483871,low_Q,GSP
26,13,Single site Test,0.6104166666666666,0.7083333333333333,0.5714285714285714,0.5333333333333333,low_Q,GSP
27,13,Single site Train,0.9600614439324117,0.989247311827957,0.96,0.9523809523809523,low_Q,GSP
28,14,Single site Test,0.8395833333333333,0.8625,0.8387096774193549,0.8666666666666667,low_Q,GSP
29,14,Single site Train,0.9841269841269842,0.9974398361495136,0.9838709677419355,0.9682539682539683,low_Q,GSP
30,15,Single site Test,0.71875,0.75,0.7428571428571429,0.8125,low_Q,GSP
31,15,Single site Train,0.9193548387096775,0.9794484911550468,0.9152542372881356,0.8709677419354839,low_Q,GSP
32,16,Single site Test,0.6791666666666667,0.7125,0.6666666666666666,0.625,low_Q,GSP
33,16,Single site Train,0.9759344598054276,0.9946236559139785,0.975609756097561,0.967741935483871,low_Q,GSP
34,17,Single site Test,0.80625,0.85,0.8125,0.8125,low_Q,GSP
35,17,Single site Train,0.9596774193548387,0.9925755248335895,0.957983193277311,0.9193548387096774,low_Q,GSP
36,18,Single site Test,0.70625,0.7583333333333333,0.6666666666666666,0.6,low_Q,GSP
37,18,Single site Train,0.9841269841269842,0.9987199180747568,0.9838709677419355,0.9682539682539683,low_Q,GSP
38,19,Single site Test,0.8041666666666667,0.8625,0.7857142857142857,0.7333333333333333,low_Q,GSP
39,19,Single site Train,0.9839989759344598,0.9987199180747568,0.9841269841269841,0.9841269841269841,low_Q,GSP
40,20,Single site Test,0.6875,0.70703125,0.6666666666666666,0.625,low_Q,GSP
41,20,Single site Train,0.8870967741935484,0.9614984391259105,0.8852459016393442,0.8709677419354839,low_Q,GSP
42,21,Single site Test,0.6479166666666667,0.7041666666666666,0.6206896551724138,0.5625,low_Q,GSP
43,21,Single site Train,0.9759344598054276,0.9971838197644649,0.975609756097561,0.967741935483871,low_Q,GSP
44,22,Single site Test,0.68125,0.8041666666666667,0.6428571428571429,0.5625,low_Q,GSP
45,22,Single site Train,0.9758064516129032,0.9984639016897081,0.9752066115702479,0.9516129032258065,low_Q,GSP
46,23,Single site Test,0.7729166666666667,0.8291666666666667,0.7586206896551724,0.7333333333333333,low_Q,GSP
47,23,Single site Train,0.9760624679979519,0.9948796722990271,0.976,0.9682539682539683,low_Q,GSP
48,24,Single site Test,0.775,0.8499999999999999,0.7741935483870968,0.8,low_Q,GSP
49,24,Single site Train,0.9920634920634921,0.9994879672299027,0.992,0.9841269841269841,low_Q,GSP
