,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7790697674418605,0.8112493239588966,0.7764705882352941,0.7674418604651163,high_Q,eNKI
1,0,Single site Train,0.8558823529411765,0.9398615916955018,0.8545994065281899,0.8470588235294118,high_Q,eNKI
2,1,Single site Test,0.6237541528239203,0.739202657807309,0.6190476190476191,0.6046511627906976,high_Q,eNKI
3,1,Single site Train,0.8592191262469899,0.9400068799449606,0.8579881656804734,0.8529411764705882,high_Q,eNKI
4,2,Single site Test,0.7048726467331119,0.7862679955703211,0.7311827956989247,0.7906976744186046,high_Q,eNKI
5,2,Single site Train,0.847454420364637,0.9352941176470588,0.844311377245509,0.8294117647058824,high_Q,eNKI
6,3,Single site Test,0.7527685492801772,0.7956810631229235,0.7469879518072289,0.7380952380952381,high_Q,eNKI
7,3,Single site Train,0.8592879256965944,0.9318885448916409,0.8571428571428571,0.8421052631578947,high_Q,eNKI
8,4,Single site Test,0.6467331118493909,0.7248062015503877,0.6341463414634146,0.6190476190476191,high_Q,eNKI
9,4,Single site Train,0.8533711730306157,0.9407292741658067,0.8538011695906432,0.8538011695906432,high_Q,eNKI
10,5,Single site Test,0.6511627906976745,0.7171444023796646,0.6428571428571429,0.627906976744186,high_Q,eNKI
11,5,Single site Train,0.888235294117647,0.9431833910034602,0.8869047619047619,0.8764705882352941,high_Q,eNKI
12,6,Single site Test,0.693798449612403,0.6954595791805094,0.7045454545454546,0.7209302325581395,high_Q,eNKI
13,6,Single site Train,0.8679738562091504,0.9426212590299278,0.8648648648648649,0.8470588235294118,high_Q,eNKI
14,7,Single site Test,0.751937984496124,0.844407530454042,0.7741935483870968,0.8372093023255814,high_Q,eNKI
15,7,Single site Train,0.8533195734434125,0.9347437220502236,0.8502994011976048,0.8352941176470589,high_Q,eNKI
16,8,Single site Test,0.7422480620155039,0.831672203765227,0.7608695652173914,0.8333333333333334,high_Q,eNKI
17,8,Single site Train,0.8445820433436533,0.9223942208462332,0.844574780058651,0.8421052631578947,high_Q,eNKI
18,9,Single site Test,0.7045957918050941,0.7652270210409746,0.6666666666666666,0.5952380952380952,high_Q,eNKI
19,9,Single site Train,0.8651530787753698,0.9451324389404885,0.8630952380952381,0.847953216374269,high_Q,eNKI
20,10,Single site Test,0.6627906976744187,0.732287723093564,0.6881720430107527,0.7441860465116279,high_Q,eNKI
21,10,Single site Train,0.8500000000000001,0.9342214532871972,0.8521739130434782,0.8647058823529412,high_Q,eNKI
22,11,Single site Test,0.6708194905869325,0.7441860465116279,0.6666666666666666,0.6511627906976745,high_Q,eNKI
23,11,Single site Train,0.8533367733058135,0.9405572755417956,0.8511904761904762,0.8411764705882353,high_Q,eNKI
24,12,Single site Test,0.6359357696566998,0.7270210409745294,0.6172839506172839,0.5813953488372093,high_Q,eNKI
25,12,Single site Train,0.8650670794633643,0.9249742002063983,0.8630952380952381,0.8529411764705882,high_Q,eNKI
26,13,Single site Test,0.7876522702104098,0.8654485049833887,0.775,0.7380952380952381,high_Q,eNKI
27,13,Single site Train,0.8416580667354661,0.9365325077399381,0.8411764705882353,0.8362573099415205,high_Q,eNKI
28,14,Single site Test,0.7524916943521595,0.8006644518272426,0.7407407407407407,0.7142857142857143,high_Q,eNKI
29,14,Single site Train,0.8680426556587547,0.9481596147230822,0.8680351906158358,0.8654970760233918,high_Q,eNKI
30,15,Single site Test,0.7209302325581395,0.803677663601947,0.7,0.6511627906976745,high_Q,eNKI
31,15,Single site Train,0.8764705882352941,0.9343944636678201,0.874251497005988,0.8588235294117647,high_Q,eNKI
32,16,Single site Test,0.7300664451827242,0.8211517165005537,0.7160493827160493,0.6744186046511628,high_Q,eNKI
33,16,Single site Train,0.8563123495012039,0.935672514619883,0.8563049853372434,0.8588235294117647,high_Q,eNKI
34,17,Single site Test,0.7403100775193798,0.7740863787375417,0.7608695652173914,0.813953488372093,high_Q,eNKI
35,17,Single site Train,0.8533195734434125,0.9337117303061576,0.8502994011976048,0.8352941176470589,high_Q,eNKI
36,18,Single site Test,0.705703211517165,0.8172757475083057,0.6987951807228916,0.6904761904761905,high_Q,eNKI
37,18,Single site Train,0.8592535259717922,0.9356037151702786,0.8588235294117647,0.8538011695906432,high_Q,eNKI
38,19,Single site Test,0.6580841638981174,0.6932447397563676,0.6329113924050633,0.5952380952380952,high_Q,eNKI
39,19,Single site Train,0.8768661850705194,0.9462676298589611,0.8757396449704142,0.8654970760233918,high_Q,eNKI
40,20,Single site Test,0.6395348837209303,0.7220118983234179,0.6436781609195402,0.6511627906976745,high_Q,eNKI
41,20,Single site Train,0.8705882352941177,0.93681660899654,0.872093023255814,0.8823529411764706,high_Q,eNKI
42,21,Single site Test,0.6232004429678848,0.6794019933554818,0.6363636363636364,0.6511627906976745,high_Q,eNKI
43,21,Single site Train,0.8679910560715514,0.9439972480220158,0.8656716417910447,0.8529411764705882,high_Q,eNKI
44,22,Single site Test,0.7768549280177187,0.8444075304540422,0.7710843373493976,0.7441860465116279,high_Q,eNKI
45,22,Single site Train,0.8328001375988991,0.9227726178190574,0.8298507462686567,0.8176470588235294,high_Q,eNKI
46,23,Single site Test,0.6943521594684385,0.717607973421927,0.6976744186046512,0.7142857142857143,high_Q,eNKI
