,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6976744186046511,0.8166576527852895,0.7045454545454546,0.7209302325581395,low_Q,eNKI
1,0,Single site Train,0.8441176470588235,0.9290657439446366,0.8417910447761194,0.8294117647058824,low_Q,eNKI
2,1,Single site Test,0.7070874861572536,0.7563676633444075,0.6753246753246753,0.6046511627906976,low_Q,eNKI
3,1,Single site Train,0.8591847265221878,0.9384244926040591,0.8562874251497006,0.8411764705882353,low_Q,eNKI
4,2,Single site Test,0.7652270210409745,0.8460686600221484,0.7560975609756098,0.7209302325581395,low_Q,eNKI
5,2,Single site Train,0.8738390092879257,0.9385276917784657,0.8708708708708709,0.8529411764705882,low_Q,eNKI
6,3,Single site Test,0.6583610188261351,0.782392026578073,0.6419753086419753,0.6190476190476191,low_Q,eNKI
7,3,Single site Train,0.8857069143446852,0.9421052631578948,0.8828828828828829,0.8596491228070176,low_Q,eNKI
8,4,Single site Test,0.7646733111849391,0.7995570321151717,0.7619047619047619,0.7619047619047619,low_Q,eNKI
9,4,Single site Train,0.838734090127279,0.92015823873409,0.8377581120943953,0.8304093567251462,low_Q,eNKI
10,5,Single site Test,0.7441860465116279,0.8112493239588967,0.7608695652173914,0.813953488372093,low_Q,eNKI
11,5,Single site Train,0.8705882352941177,0.9407958477508651,0.8690476190476191,0.8588235294117647,low_Q,eNKI
12,6,Single site Test,0.7876522702104098,0.8488372093023256,0.8,0.8372093023255814,low_Q,eNKI
13,6,Single site Train,0.8444788441692466,0.9219126246990024,0.8389057750759878,0.8117647058823529,low_Q,eNKI
14,7,Single site Test,0.6580841638981174,0.7231450719822813,0.6813186813186813,0.7209302325581395,low_Q,eNKI
15,7,Single site Train,0.8679566563467492,0.9343997248022015,0.8640483383685801,0.8411764705882353,low_Q,eNKI
16,8,Single site Test,0.7165005537098561,0.7862679955703212,0.6842105263157895,0.6190476190476191,low_Q,eNKI
17,8,Single site Train,0.8739250085999312,0.9408668730650154,0.8731563421828908,0.8654970760233918,low_Q,eNKI
18,9,Single site Test,0.7062569213732004,0.8289036544850499,0.7126436781609196,0.7380952380952381,low_Q,eNKI
19,9,Single site Train,0.8563811489508084,0.9358445132438941,0.8528528528528528,0.8304093567251462,low_Q,eNKI
20,10,Single site Test,0.7209302325581395,0.7858301784748511,0.7272727272727273,0.7441860465116279,low_Q,eNKI
21,10,Single site Train,0.8764705882352941,0.9421453287197231,0.8734939759036144,0.8529411764705882,low_Q,eNKI
22,11,Single site Test,0.7070874861572536,0.7995570321151717,0.6753246753246753,0.6046511627906976,low_Q,eNKI
23,11,Single site Train,0.8533195734434125,0.9334021327829378,0.8502994011976048,0.8352941176470589,low_Q,eNKI
24,12,Single site Test,0.6954595791805094,0.7663344407530455,0.6578947368421053,0.5813953488372093,low_Q,eNKI
25,12,Single site Train,0.879704162366701,0.9410388716890264,0.8768768768768769,0.8588235294117647,low_Q,eNKI
26,13,Single site Test,0.7530454042081949,0.808970099667774,0.7529411764705882,0.7619047619047619,low_Q,eNKI
27,13,Single site Train,0.8387512899896801,0.9203646370829033,0.8367952522255193,0.8245614035087719,low_Q,eNKI
28,14,Single site Test,0.7068106312292359,0.76578073089701,0.7252747252747253,0.7857142857142857,low_Q,eNKI
29,14,Single site Train,0.8593223254213966,0.9341933264533884,0.8554216867469879,0.8304093567251462,low_Q,eNKI
30,15,Single site Test,0.6976744186046511,0.7988101676581936,0.6904761904761905,0.6744186046511628,low_Q,eNKI
31,15,Single site Train,0.8588235294117648,0.9367820069204154,0.8562874251497006,0.8411764705882353,low_Q,eNKI
32,16,Single site Test,0.6705426356589147,0.689922480620155,0.6744186046511628,0.6744186046511628,low_Q,eNKI
33,16,Single site Train,0.8885620915032679,0.9432404540763673,0.888235294117647,0.888235294117647,low_Q,eNKI
34,17,Single site Test,0.6943521594684385,0.7868217054263567,0.6904761904761905,0.6744186046511628,low_Q,eNKI
35,17,Single site Train,0.8503783969728242,0.9334709322325422,0.8468468468468469,0.8294117647058824,low_Q,eNKI
36,18,Single site Test,0.7646733111849391,0.8737541528239202,0.7619047619047619,0.7619047619047619,low_Q,eNKI
37,18,Single site Train,0.8710698314413485,0.9304437564499484,0.8666666666666667,0.8362573099415205,low_Q,eNKI
38,19,Single site Test,0.6943521594684385,0.770764119601329,0.6976744186046512,0.7142857142857143,low_Q,eNKI
39,19,Single site Train,0.8622635018919849,0.9316477468180254,0.8580060422960725,0.8304093567251462,low_Q,eNKI
40,20,Single site Test,0.7674418604651163,0.8561384532179556,0.7727272727272727,0.7906976744186046,low_Q,eNKI
41,20,Single site Train,0.8676470588235294,0.9389273356401384,0.8664688427299704,0.8588235294117647,low_Q,eNKI
42,21,Single site Test,0.741140642303433,0.8239202657807309,0.7441860465116279,0.7441860465116279,low_Q,eNKI
43,21,Single site Train,0.8533195734434125,0.9318541451668386,0.8502994011976048,0.8352941176470589,low_Q,eNKI
44,22,Single site Test,0.6121262458471761,0.6550387596899225,0.6024096385542169,0.5813953488372093,low_Q,eNKI
45,22,Single site Train,0.8738562091503268,0.9407292741658067,0.8716417910447761,0.8588235294117647,low_Q,eNKI
46,23,Single site Test,0.7638427464008859,0.8510520487264673,0.7435897435897436,0.6904761904761905,low_Q,eNKI
47,23,Single site Train,0.8710010319917441,0.9347781217750258,0.8698224852071006,0.8596491228070176,low_Q,eNKI
48,24,Single site Test,0.6935215946843853,0.8034330011074198,0.675,0.6428571428571429,low_Q,eNKI
49,24,Single site Train,0.8652046783625731,0.9264877880976953,0.8606060606060606,0.8304093567251462,low_Q,eNKI
