,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.661764705882353,0.7577854671280276,0.6666666666666666,0.6764705882352942,random_Q,SALD
1,0,Single site Train,0.8208955223880596,0.9244263755847627,0.8195488721804511,0.8134328358208955,random_Q,SALD
2,1,Single site Test,0.642602495543672,0.6907308377896613,0.625,0.5882352941176471,random_Q,SALD
3,1,Single site Train,0.8513266998341625,0.9185185185185185,0.8518518518518519,0.8582089552238806,random_Q,SALD
4,2,Single site Test,0.47504456327985745,0.5303030303030303,0.5569620253164557,0.6470588235294118,random_Q,SALD
5,2,Single site Train,0.8550580431177446,0.9357103372028746,0.8560885608856088,0.8656716417910447,random_Q,SALD
6,3,Single site Test,0.5967023172905526,0.6114081996434938,0.5846153846153846,0.5757575757575758,random_Q,SALD
7,3,Single site Train,0.8884190160309563,0.9404643449419569,0.8905109489051095,0.9037037037037037,random_Q,SALD
8,4,Single site Test,0.6105169340463459,0.6336898395721926,0.5666666666666667,0.5151515151515151,random_Q,SALD
9,4,Single site Train,0.8437810945273632,0.9128800442233278,0.8478260869565217,0.8666666666666667,random_Q,SALD
10,5,Single site Test,0.5735294117647058,0.666089965397924,0.5084745762711864,0.4411764705882353,random_Q,SALD
11,5,Single site Train,0.8171641791044777,0.9154600133660058,0.8164794007490637,0.8134328358208955,random_Q,SALD
12,6,Single site Test,0.5824420677361855,0.6327985739750445,0.5757575757575758,0.5588235294117647,random_Q,SALD
13,6,Single site Train,0.8551133222775014,0.9296849087893864,0.8581818181818182,0.8805970149253731,random_Q,SALD
14,7,Single site Test,0.6555258467023173,0.7335115864527628,0.684931506849315,0.7352941176470589,random_Q,SALD
15,7,Single site Train,0.8736042012161416,0.9316196793808734,0.8731343283582089,0.8731343283582089,random_Q,SALD
16,8,Single site Test,0.6417112299465241,0.7219251336898397,0.6363636363636364,0.6363636363636364,random_Q,SALD
17,8,Single site Train,0.8437810945273632,0.9165837479270316,0.8478260869565217,0.8666666666666667,random_Q,SALD
18,9,Single site Test,0.5811051693404634,0.5998217468805704,0.5483870967741935,0.5151515151515151,random_Q,SALD
19,9,Single site Train,0.8512714206744058,0.9374792703150912,0.8529411764705882,0.8592592592592593,random_Q,SALD
20,10,Single site Test,0.6470588235294118,0.6193771626297577,0.6571428571428571,0.6764705882352942,random_Q,SALD
21,10,Single site Train,0.8582089552238805,0.9263755847627533,0.8592592592592593,0.8656716417910447,random_Q,SALD
22,11,Single site Test,0.5672905525846703,0.6800356506238858,0.5671641791044776,0.5588235294117647,random_Q,SALD
23,11,Single site Train,0.8476506357103372,0.9314538419016031,0.8498168498168498,0.8656716417910447,random_Q,SALD
24,12,Single site Test,0.6118538324420677,0.6399286987522281,0.6176470588235294,0.6176470588235294,random_Q,SALD
25,12,Single site Train,0.8439469320066335,0.9316749585406302,0.8467153284671532,0.8656716417910447,random_Q,SALD
26,13,Single site Test,0.6573083778966132,0.7557932263814617,0.6666666666666666,0.696969696969697,random_Q,SALD
27,13,Single site Train,0.8252072968490879,0.91934770591487,0.8290909090909091,0.8444444444444444,random_Q,SALD
28,14,Single site Test,0.536541889483066,0.6408199643493762,0.5079365079365079,0.48484848484848486,random_Q,SALD
29,14,Single site Train,0.8475400773908237,0.9285240464344942,0.8498168498168498,0.8592592592592593,random_Q,SALD
30,15,Single site Test,0.6029411764705883,0.6660899653979239,0.6086956521739131,0.6176470588235294,random_Q,SALD
31,15,Single site Train,0.8656716417910448,0.9281577188683449,0.8686131386861314,0.8880597014925373,random_Q,SALD
32,16,Single site Test,0.6412655971479502,0.6452762923351159,0.6571428571428571,0.6764705882352942,random_Q,SALD
33,16,Single site Train,0.8402432283029297,0.9190713101160862,0.8436363636363636,0.8656716417910447,random_Q,SALD
34,17,Single site Test,0.5686274509803921,0.6506238859180036,0.5245901639344263,0.47058823529411764,random_Q,SALD
35,17,Single site Train,0.85873410724157,0.9375345494748479,0.8582089552238806,0.8582089552238806,random_Q,SALD
36,18,Single site Test,0.6720142602495545,0.6399286987522281,0.6764705882352942,0.696969696969697,random_Q,SALD
37,18,Single site Train,0.8475677169707021,0.9347153123272526,0.8487084870848709,0.8518518518518519,random_Q,SALD
38,19,Single site Test,0.716131907308378,0.7388591800356507,0.7076923076923077,0.696969696969697,random_Q,SALD
39,19,Single site Train,0.8624930901050304,0.9178551686014372,0.8614232209737828,0.8518518518518519,random_Q,SALD
40,20,Single site Test,0.6911764705882353,0.7153979238754324,0.6865671641791045,0.6764705882352942,random_Q,SALD
41,20,Single site Train,0.8582089552238806,0.9335041211851193,0.8582089552238806,0.8582089552238806,random_Q,SALD
42,21,Single site Test,0.5686274509803921,0.5597147950089126,0.5245901639344263,0.47058823529411764,random_Q,SALD
43,21,Single site Train,0.8698175787728026,0.9318960751796572,0.8669201520912547,0.8507462686567164,random_Q,SALD
44,22,Single site Test,0.6114081996434938,0.6648841354723707,0.6285714285714286,0.6470588235294118,random_Q,SALD
45,22,Single site Train,0.8364289662797125,0.9181315644002211,0.835820895522388,0.835820895522388,random_Q,SALD
46,23,Single site Test,0.6270053475935828,0.6836007130124777,0.6268656716417911,0.6363636363636364,random_Q,SALD
47,23,Single site Train,0.854947484798231,0.9315644002211166,0.8581818181818182,0.8740740740740741,random_Q,SALD
48,24,Single site Test,0.5975935828877006,0.6417112299465241,0.6086956521739131,0.6363636363636364,random_Q,SALD
49,24,Single site Train,0.8586235489220564,0.9203427307904921,0.8633093525179856,0.8888888888888888,random_Q,SALD
50,0,Single site Test,0.7093023255813953,0.7961060032449974,0.7058823529411765,0.6976744186046512,random_Q,eNKI
51,0,Single site Train,0.8441176470588235,0.9135986159169551,0.8427299703264095,0.8352941176470589,random_Q,eNKI
52,1,Single site Test,0.7522148394241417,0.8521594684385383,0.7692307692307693,0.813953488372093,random_Q,eNKI
53,1,Single site Train,0.8592535259717922,0.9309941520467837,0.8596491228070176,0.8647058823529412,random_Q,eNKI
54,2,Single site Test,0.741140642303433,0.7951273532668881,0.7441860465116279,0.7441860465116279,random_Q,eNKI
55,2,Single site Train,0.8680426556587547,0.9362229102167182,0.8680351906158358,0.8705882352941177,random_Q,eNKI
