,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.5425495557074504,0.5644224196855776,0.5394736842105263,0.5324675324675324,high_Q,1000Brains
1,0,Single site Train,0.8412300439301403,0.9223079395692705,0.8396694214876033,0.8327868852459016,high_Q,1000Brains
2,1,Single site Test,0.5949248120300752,0.621326042378674,0.5866666666666667,0.5714285714285714,high_Q,1000Brains
3,1,Single site Train,0.8428586735240544,0.9116039858566378,0.840531561461794,0.8295081967213115,high_Q,1000Brains
4,2,Single site Test,0.6470437457279563,0.6556732740943267,0.6447368421052632,0.6447368421052632,high_Q,1000Brains
5,2,Single site Train,0.8216061287903139,0.9057430622522232,0.8216039279869067,0.8202614379084967,high_Q,1000Brains
6,3,Single site Test,0.5422077922077921,0.5603212576896788,0.5205479452054794,0.5,high_Q,1000Brains
7,3,Single site Train,0.8314314796957034,0.9120968606021643,0.8308702791461412,0.826797385620915,high_Q,1000Brains
8,4,Single site Test,0.618421052631579,0.6284626038781163,0.6329113924050633,0.6578947368421053,high_Q,1000Brains
9,4,Single site Train,0.8284313725490196,0.9203725063009954,0.8270181219110379,0.8202614379084967,high_Q,1000Brains
10,5,Single site Test,0.5948393711551606,0.59107997265892,0.5921052631578947,0.5844155844155844,high_Q,1000Brains
11,5,Single site Train,0.8346833815493411,0.9113896924890176,0.8330578512396695,0.8262295081967214,high_Q,1000Brains
12,6,Single site Test,0.5421223513328777,0.5683526999316473,0.5679012345679012,0.5974025974025974,high_Q,1000Brains
13,6,Single site Train,0.8199399978570663,0.9105110896817743,0.8166666666666667,0.8032786885245902,high_Q,1000Brains
14,7,Single site Test,0.6010765550239234,0.6447368421052633,0.5850340136054422,0.5657894736842105,high_Q,1000Brains
15,7,Single site Train,0.834704810886103,0.9075645558769957,0.8341543513957307,0.8300653594771242,high_Q,1000Brains
16,8,Single site Test,0.5357997265892003,0.5685235816814764,0.5234899328859061,0.5131578947368421,high_Q,1000Brains
17,8,Single site Train,0.8510768241722919,0.9218793528340297,0.8500823723228995,0.8431372549019608,high_Q,1000Brains
18,9,Single site Test,0.5328947368421053,0.532202216066482,0.5534591194968553,0.5789473684210527,high_Q,1000Brains
19,9,Single site Train,0.8480392156862746,0.9199559998291256,0.8497576736672051,0.8594771241830066,high_Q,1000Brains
20,10,Single site Test,0.46394395078605605,0.48684210526315785,0.47435897435897434,0.4805194805194805,high_Q,1000Brains
21,10,Single site Train,0.8297546340940748,0.9199614271938283,0.8260869565217391,0.8098360655737705,high_Q,1000Brains
22,11,Single site Test,0.5884313055365686,0.6168831168831168,0.5771812080536913,0.5584415584415584,high_Q,1000Brains
23,11,Single site Train,0.8379406407371692,0.91490410371799,0.8347245409015025,0.819672131147541,high_Q,1000Brains
24,12,Single site Test,0.5232399179767601,0.5821941216678058,0.546583850931677,0.5789473684210527,high_Q,1000Brains
25,12,Single site Train,0.811818279224258,0.9022072216864888,0.8080133555926544,0.7908496732026143,high_Q,1000Brains
26,13,Single site Test,0.5030758714969241,0.5475051264524949,0.4864864864864865,0.47368421052631576,high_Q,1000Brains
27,13,Single site Train,0.8445194471231116,0.9207864566591664,0.8445171849427169,0.8431372549019608,high_Q,1000Brains
28,14,Single site Test,0.631578947368421,0.697887811634349,0.6164383561643836,0.5921052631578947,high_Q,1000Brains
29,14,Single site Train,0.8316993464052287,0.9173501644666582,0.8303130148270181,0.8235294117647058,high_Q,1000Brains
30,15,Single site Test,0.6209842788790156,0.6278195488721805,0.618421052631579,0.6103896103896104,high_Q,1000Brains
31,15,Single site Train,0.8346833815493411,0.9136826315225545,0.8330578512396695,0.8262295081967214,high_Q,1000Brains
32,16,Single site Test,0.5428058783321941,0.570915926179084,0.5205479452054794,0.4935064935064935,high_Q,1000Brains
33,16,Single site Train,0.8199560698596378,0.9074038358512804,0.8184818481848185,0.8131147540983606,high_Q,1000Brains
34,17,Single site Test,0.614149008885851,0.6281613123718387,0.5986394557823129,0.5789473684210527,high_Q,1000Brains
35,17,Single site Train,0.8445408764598736,0.9174327654559092,0.8424543946932007,0.8300653594771242,high_Q,1000Brains
36,18,Single site Test,0.4967532467532467,0.49606971975393027,0.49673202614379086,0.5,high_Q,1000Brains
37,18,Single site Train,0.8314529090324654,0.918857816350584,0.8286189683860233,0.8137254901960784,high_Q,1000Brains
38,19,Single site Test,0.6118421052631579,0.6469875346260389,0.6193548387096774,0.631578947368421,high_Q,1000Brains
39,19,Single site Train,0.8447712418300654,0.9136336451792046,0.8450244698205547,0.8464052287581699,high_Q,1000Brains
