,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.5353725222146275,0.582365003417635,0.5748502994011976,0.6233766233766234,low_Q,1000Brains
1,0,Single site Train,0.8379727847423122,0.9259187828136718,0.8379705400981997,0.839344262295082,low_Q,1000Brains
2,1,Single site Test,0.5428058783321941,0.550580997949419,0.5205479452054794,0.4935064935064935,low_Q,1000Brains
3,1,Single site Train,0.8346565948783886,0.9156969891781849,0.8302521008403362,0.8098360655737705,low_Q,1000Brains
4,2,Single site Test,0.581596035543404,0.6006493506493508,0.5733333333333334,0.5657894736842105,low_Q,1000Brains
5,2,Single site Train,0.8428801028608164,0.9213971927568843,0.8431372549019608,0.8431372549019608,low_Q,1000Brains
6,3,Single site Test,0.5748462064251538,0.6175666438824334,0.5517241379310345,0.5263157894736842,low_Q,1000Brains
7,3,Single site Train,0.821627558127076,0.9075216972034715,0.8192371475953566,0.8071895424836601,low_Q,1000Brains
8,4,Single site Test,0.5855263157894737,0.6082063711911356,0.5882352941176471,0.5921052631578947,low_Q,1000Brains
9,4,Single site Train,0.8513071895424837,0.9242385407321969,0.8500823723228995,0.8431372549019608,low_Q,1000Brains
10,5,Single site Test,0.5551948051948052,0.6124401913875598,0.5802469135802469,0.6103896103896104,low_Q,1000Brains
11,5,Single site Train,0.8297867780992179,0.9155362691524697,0.8295081967213115,0.8295081967213115,low_Q,1000Brains
12,6,Single site Test,0.6079118250170882,0.6324333561175667,0.6052631578947368,0.5974025974025974,low_Q,1000Brains
13,6,Single site Train,0.8379459980713597,0.9192006857387764,0.8352745424292846,0.8229508196721311,low_Q,1000Brains
14,7,Single site Test,0.5551948051948052,0.6091934381408066,0.5277777777777778,0.5,low_Q,1000Brains
15,7,Single site Train,0.8150916104146577,0.9120325725918783,0.8113522537562604,0.7941176470588235,low_Q,1000Brains
16,8,Single site Test,0.5815105946684894,0.5632262474367737,0.5675675675675675,0.5526315789473685,low_Q,1000Brains
17,8,Single site Train,0.8396335583413693,0.9153862637951355,0.8372093023255814,0.8235294117647058,low_Q,1000Brains
18,9,Single site Test,0.5657894736842105,0.5931440443213296,0.5540540540540541,0.5394736842105263,low_Q,1000Brains
19,9,Single site Train,0.8496732026143792,0.9240142680165747,0.8471760797342193,0.8333333333333334,low_Q,1000Brains
20,10,Single site Test,0.5426349965823649,0.6216678058783323,0.5333333333333333,0.5194805194805194,low_Q,1000Brains
21,10,Single site Train,0.8166613093324762,0.9154612664738027,0.8127090301003345,0.7967213114754098,low_Q,1000Brains
22,11,Single site Test,0.5753588516746411,0.6252563226247437,0.5637583892617449,0.5454545454545454,low_Q,1000Brains
23,11,Single site Train,0.8477713489767492,0.9260687881710061,0.845771144278607,0.8360655737704918,low_Q,1000Brains
24,12,Single site Test,0.588174982911825,0.5869788106630212,0.5827814569536424,0.5789473684210527,low_Q,1000Brains
25,12,Single site Train,0.8363602271509696,0.9134683381549342,0.8338870431893688,0.8202614379084967,low_Q,1000Brains
26,13,Single site Test,0.5622863978127135,0.5738209159261791,0.5732484076433121,0.5921052631578947,low_Q,1000Brains
27,13,Single site Train,0.8298082074359798,0.91881495767706,0.8278145695364238,0.8169934640522876,low_Q,1000Brains
28,14,Single site Test,0.611842105263158,0.6312326869806094,0.5986394557823129,0.5789473684210527,low_Q,1000Brains
29,14,Single site Train,0.8431372549019608,0.9169763766072878,0.8410596026490066,0.8300653594771242,low_Q,1000Brains
30,15,Single site Test,0.555622009569378,0.57365003417635,0.5526315789473685,0.5454545454545454,low_Q,1000Brains
31,15,Single site Train,0.8248794599807137,0.9187613843351548,0.8248772504091653,0.8262295081967214,low_Q,1000Brains
32,16,Single site Test,0.5356288448393711,0.5451127819548872,0.5590062111801242,0.5844155844155844,low_Q,1000Brains
33,16,Single site Train,0.8395906996678453,0.9219007821707919,0.8377483443708609,0.8295081967213115,low_Q,1000Brains
34,17,Single site Test,0.5485304169514695,0.5903964456596035,0.5106382978723404,0.47368421052631576,low_Q,1000Brains
35,17,Single site Train,0.8412729026036644,0.9187292403300118,0.8386023294509152,0.8235294117647058,low_Q,1000Brains
36,18,Single site Test,0.5880895420369104,0.6537935748462065,0.5771812080536913,0.5657894736842105,low_Q,1000Brains
37,18,Single site Train,0.8167148826743813,0.9083574413371905,0.8145695364238411,0.803921568627451,low_Q,1000Brains
38,19,Single site Test,0.5131578947368421,0.5543628808864265,0.5432098765432098,0.5789473684210527,low_Q,1000Brains
39,19,Single site Train,0.8382352941176471,0.9218676577384766,0.8347245409015025,0.8169934640522876,low_Q,1000Brains
40,20,Single site Test,0.5622863978127135,0.6015037593984962,0.5503355704697986,0.5324675324675324,low_Q,1000Brains
41,20,Single site Train,0.8510393228329584,0.9282867245258759,0.848585690515807,0.8360655737704918,low_Q,1000Brains
42,21,Single site Test,0.5618591934381407,0.5562200956937798,0.5786163522012578,0.5974025974025974,low_Q,1000Brains
43,21,Single site Train,0.8297599914282653,0.9147862423657989,0.8266666666666667,0.8131147540983606,low_Q,1000Brains
44,22,Single site Test,0.5425495557074504,0.5719412166780589,0.5454545454545454,0.5526315789473685,low_Q,1000Brains
45,22,Single site Train,0.8363709418193507,0.9141969356048429,0.8327759197324415,0.8137254901960784,low_Q,1000Brains
46,23,Single site Test,0.6007347915242652,0.6232057416267943,0.5611510791366906,0.5131578947368421,low_Q,1000Brains
47,23,Single site Train,0.8396014143362263,0.9144862316511303,0.8403908794788274,0.8431372549019608,low_Q,1000Brains
48,24,Single site Test,0.5263157894736842,0.5479570637119113,0.5555555555555556,0.5921052631578947,low_Q,1000Brains
49,24,Single site Train,0.8316993464052287,0.9176598744072793,0.8274706867671692,0.8071895424836601,low_Q,1000Brains
