,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7727272727272727,0.8925619834710744,0.782608695652174,0.8181818181818182,high_Q,AOMIC-PIOP2
1,0,Single site Train,0.9767441860465116,0.9994591671173608,0.9761904761904762,0.9534883720930233,high_Q,AOMIC-PIOP2
2,1,Single site Test,0.7435064935064934,0.8376623376623377,0.7555555555555555,0.7727272727272727,high_Q,AOMIC-PIOP2
3,1,Single site Train,0.9479417268110131,0.9891740176423416,0.9473684210526315,0.9418604651162791,high_Q,AOMIC-PIOP2
4,2,Single site Test,0.7694805194805194,0.8658008658008658,0.75,0.6818181818181818,high_Q,AOMIC-PIOP2
5,2,Single site Train,0.9767441860465116,0.9989307671745523,0.9761904761904762,0.9534883720930233,high_Q,AOMIC-PIOP2
6,3,Single site Test,0.788961038961039,0.9069264069264069,0.7692307692307693,0.7142857142857143,high_Q,AOMIC-PIOP2
7,3,Single site Train,0.9538893344025661,0.9906442127773323,0.9529411764705882,0.9310344827586207,high_Q,AOMIC-PIOP2
8,4,Single site Test,0.7413419913419914,0.8701298701298701,0.7027027027027027,0.6190476190476191,high_Q,AOMIC-PIOP2
9,4,Single site Train,0.9655172413793103,0.9930499866345897,0.9642857142857143,0.9310344827586207,high_Q,AOMIC-PIOP2
10,5,Single site Test,0.7727272727272727,0.9173553719008264,0.782608695652174,0.8181818181818182,high_Q,AOMIC-PIOP2
11,5,Single site Train,0.9825581395348837,0.9983775013520823,0.9822485207100592,0.9651162790697675,high_Q,AOMIC-PIOP2
12,6,Single site Test,0.8116883116883117,0.8917748917748918,0.8333333333333334,0.9090909090909091,high_Q,AOMIC-PIOP2
13,6,Single site Train,0.9651831061213579,0.9950547981823041,0.9642857142857143,0.9418604651162791,high_Q,AOMIC-PIOP2
14,7,Single site Test,0.7424242424242424,0.7922077922077922,0.7659574468085106,0.8181818181818182,high_Q,AOMIC-PIOP2
15,7,Single site Train,0.9363138198342689,0.9860999732691794,0.9349112426035503,0.9186046511627907,high_Q,AOMIC-PIOP2
16,8,Single site Test,0.7456709956709957,0.829004329004329,0.7555555555555555,0.8095238095238095,high_Q,AOMIC-PIOP2
17,8,Single site Train,0.9712643678160919,0.9953221063886661,0.9704142011834319,0.9425287356321839,high_Q,AOMIC-PIOP2
18,9,Single site Test,0.7867965367965368,0.8874458874458874,0.7428571428571429,0.6190476190476191,high_Q,AOMIC-PIOP2
19,9,Single site Train,0.9770114942528736,0.9982624966586474,0.9764705882352941,0.9540229885057471,high_Q,AOMIC-PIOP2
20,10,Single site Test,0.8409090909090908,0.8987603305785126,0.8108108108108109,0.6818181818181818,high_Q,AOMIC-PIOP2
21,10,Single site Train,0.9767441860465116,0.9994591671173607,0.9761904761904762,0.9534883720930233,high_Q,AOMIC-PIOP2
22,11,Single site Test,0.722943722943723,0.8225108225108224,0.7,0.6363636363636364,high_Q,AOMIC-PIOP2
23,11,Single site Train,0.9651162790697674,0.9942528735632183,0.963855421686747,0.9302325581395349,high_Q,AOMIC-PIOP2
24,12,Single site Test,0.6764069264069263,0.8354978354978355,0.65,0.5909090909090909,high_Q,AOMIC-PIOP2
25,12,Single site Train,0.9535551991446137,0.9931836407377707,0.9518072289156626,0.9186046511627907,high_Q,AOMIC-PIOP2
26,13,Single site Test,0.7478354978354979,0.7813852813852814,0.7755102040816326,0.9047619047619048,high_Q,AOMIC-PIOP2
27,13,Single site Train,0.9597032878909382,0.9929163325314087,0.9585798816568047,0.9310344827586207,high_Q,AOMIC-PIOP2
28,14,Single site Test,0.7435064935064934,0.8376623376623376,0.7317073170731707,0.7142857142857143,high_Q,AOMIC-PIOP2
29,14,Single site Train,0.9885057471264368,0.9987971130713713,0.9883720930232558,0.9770114942528736,high_Q,AOMIC-PIOP2
30,15,Single site Test,0.8409090909090909,0.8698347107438017,0.8444444444444444,0.8636363636363636,high_Q,AOMIC-PIOP2
31,15,Single site Train,0.9767441860465116,0.9954029204975662,0.9761904761904762,0.9534883720930233,high_Q,AOMIC-PIOP2
32,16,Single site Test,0.8149350649350648,0.9155844155844156,0.8095238095238095,0.7727272727272727,high_Q,AOMIC-PIOP2
33,16,Single site Train,0.9825581395348837,0.9983961507618284,0.9822485207100592,0.9651162790697675,high_Q,AOMIC-PIOP2
34,17,Single site Test,0.7911255411255411,0.8831168831168832,0.7906976744186046,0.7727272727272727,high_Q,AOMIC-PIOP2
