,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.8181818181818182,0.8615702479338843,0.8181818181818182,0.8181818181818182,low_Q,AOMIC-PIOP2
1,0,Single site Train,0.9883720930232558,1.0,0.9882352941176471,0.9767441860465116,low_Q,AOMIC-PIOP2
2,1,Single site Test,0.8160173160173161,0.8787878787878788,0.8,0.7272727272727273,low_Q,AOMIC-PIOP2
3,1,Single site Train,1.0,1.0,1.0,1.0,low_Q,AOMIC-PIOP2
4,2,Single site Test,0.8614718614718615,0.9285714285714286,0.8571428571428571,0.8181818181818182,low_Q,AOMIC-PIOP2
5,2,Single site Train,1.0,1.0,1.0,1.0,low_Q,AOMIC-PIOP2
6,3,Single site Test,0.6266233766233766,0.7380952380952381,0.6,0.5714285714285714,low_Q,AOMIC-PIOP2
7,3,Single site Train,0.9885057471264368,1.0,0.9883720930232558,0.9770114942528736,low_Q,AOMIC-PIOP2
8,4,Single site Test,0.7445887445887446,0.8593073593073592,0.7441860465116279,0.7619047619047619,low_Q,AOMIC-PIOP2
9,4,Single site Train,0.9942528735632183,1.0,0.9942196531791907,0.9885057471264368,low_Q,AOMIC-PIOP2
10,5,Single site Test,0.8181818181818181,0.8946280991735537,0.8,0.7272727272727273,low_Q,AOMIC-PIOP2
11,5,Single site Train,0.9883720930232558,1.0,0.9882352941176471,0.9767441860465116,low_Q,AOMIC-PIOP2
12,6,Single site Test,0.6525974025974026,0.7640692640692641,0.6341463414634146,0.5909090909090909,low_Q,AOMIC-PIOP2
13,6,Single site Train,0.9883720930232558,0.9997326917936381,0.9882352941176471,0.9767441860465116,low_Q,AOMIC-PIOP2
14,7,Single site Test,0.8387445887445888,0.8852813852813853,0.8292682926829268,0.7727272727272727,low_Q,AOMIC-PIOP2
15,7,Single site Train,1.0,1.0,1.0,1.0,low_Q,AOMIC-PIOP2
16,8,Single site Test,0.788961038961039,0.9069264069264069,0.7692307692307693,0.7142857142857143,low_Q,AOMIC-PIOP2
17,8,Single site Train,1.0,1.0,1.0,1.0,low_Q,AOMIC-PIOP2
18,9,Single site Test,0.8138528138528138,0.9199134199134199,0.8095238095238095,0.8095238095238095,low_Q,AOMIC-PIOP2
19,9,Single site Train,0.9885057471264368,0.999732691793638,0.9883720930232558,0.9770114942528736,low_Q,AOMIC-PIOP2
20,10,Single site Test,0.8181818181818181,0.8636363636363638,0.8,0.7272727272727273,low_Q,AOMIC-PIOP2
21,10,Single site Train,0.9941860465116279,1.0,0.9941520467836257,0.9883720930232558,low_Q,AOMIC-PIOP2
22,11,Single site Test,0.7640692640692641,0.8658008658008659,0.8,0.9090909090909091,low_Q,AOMIC-PIOP2
23,11,Single site Train,1.0,1.0,1.0,1.0,low_Q,AOMIC-PIOP2
