,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.8012995896032832,0.8894664842681259,0.7976190476190477,0.7790697674418605,high_Q,AOMIC_ID1000
1,0,Single site Train,0.8678411247196827,0.9431430050025875,0.8676470588235294,0.8676470588235294,high_Q,AOMIC_ID1000
2,1,Single site Test,0.8245554035567715,0.8841313269493845,0.8235294117647058,0.8235294117647058,high_Q,AOMIC_ID1000
3,1,Single site Train,0.8781611178195619,0.951285147490081,0.8748114630467572,0.8504398826979472,high_Q,AOMIC_ID1000
4,2,Single site Test,0.7529411764705882,0.842076124567474,0.7469879518072289,0.7294117647058823,high_Q,AOMIC_ID1000
5,2,Single site Train,0.8812316715542522,0.947859065539512,0.8789237668161435,0.8621700879765396,high_Q,AOMIC_ID1000
6,3,Single site Test,0.7588235294117647,0.8589619377162631,0.757396449704142,0.7529411764705882,high_Q,AOMIC_ID1000
7,3,Single site Train,0.8870967741935484,0.9531651774580543,0.8845577211394303,0.8651026392961877,high_Q,AOMIC_ID1000
8,4,Single site Test,0.8176470588235294,0.899515570934256,0.8228571428571428,0.8470588235294118,high_Q,AOMIC_ID1000
9,4,Single site Train,0.8651026392961877,0.9425271540492429,0.863905325443787,0.8563049853372434,high_Q,AOMIC_ID1000
10,5,Single site Test,0.7603967168262653,0.826265389876881,0.7544910179640718,0.7325581395348837,high_Q,AOMIC_ID1000
11,5,Single site Train,0.8883991719855098,0.9503967569432464,0.888235294117647,0.888235294117647,high_Q,AOMIC_ID1000
12,6,Single site Test,0.801641586867305,0.8667578659370726,0.8152173913043478,0.8823529411764706,high_Q,AOMIC_ID1000
13,6,Single site Train,0.8869673969294463,0.9475418319820598,0.8842105263157894,0.8621700879765396,high_Q,AOMIC_ID1000
14,7,Single site Test,0.7470588235294118,0.838477508650519,0.7425149700598802,0.7294117647058823,high_Q,AOMIC_ID1000
15,7,Single site Train,0.8665689149560117,0.943576336632812,0.8667642752562226,0.8680351906158358,high_Q,AOMIC_ID1000
16,8,Single site Test,0.8117647058823529,0.9022837370242214,0.8095238095238095,0.8,high_Q,AOMIC_ID1000
17,8,Single site Train,0.8797653958944281,0.9484094564030238,0.8783382789317508,0.8680351906158358,high_Q,AOMIC_ID1000
18,9,Single site Test,0.8352941176470587,0.8978546712802769,0.8271604938271605,0.788235294117647,high_Q,AOMIC_ID1000
19,9,Single site Train,0.8724340175953079,0.9516946018696091,0.8703427719821163,0.8563049853372434,high_Q,AOMIC_ID1000
20,10,Single site Test,0.7190834473324214,0.798358413132695,0.7303370786516854,0.7558139534883721,high_Q,AOMIC_ID1000
21,10,Single site Train,0.8722183888218044,0.9473262032085562,0.8695652173913043,0.8529411764705882,high_Q,AOMIC_ID1000
22,11,Single site Test,0.7950068399452804,0.8337893296853625,0.782608695652174,0.7411764705882353,high_Q,AOMIC_ID1000
23,11,Single site Train,0.8825470070726238,0.949206486113507,0.8809523809523809,0.8680351906158358,high_Q,AOMIC_ID1000
24,12,Single site Test,0.8235294117647058,0.8950865051903114,0.8214285714285714,0.8117647058823529,high_Q,AOMIC_ID1000
25,12,Single site Train,0.8768328445747801,0.9440235292094152,0.8753709198813057,0.8651026392961877,high_Q,AOMIC_ID1000
26,13,Single site Test,0.7764705882352941,0.8495501730103806,0.7764705882352941,0.7764705882352941,high_Q,AOMIC_ID1000
27,13,Single site Train,0.8914956011730205,0.9563901239239428,0.8898809523809523,0.8768328445747801,high_Q,AOMIC_ID1000
28,14,Single site Test,0.7823529411764706,0.8714186851211073,0.7784431137724551,0.7647058823529411,high_Q,AOMIC_ID1000
29,14,Single site Train,0.873900293255132,0.941950963614004,0.8712574850299402,0.8533724340175953,high_Q,AOMIC_ID1000
30,15,Single site Test,0.8013679890560876,0.9001367989056087,0.7951807228915663,0.7674418604651163,high_Q,AOMIC_ID1000
31,15,Single site Train,0.8810376056580991,0.9480162152837674,0.879284649776453,0.8676470588235294,high_Q,AOMIC_ID1000
32,16,Single site Test,0.7774965800273598,0.8492476060191518,0.7654320987654321,0.7294117647058823,high_Q,AOMIC_ID1000
33,16,Single site Train,0.8869544592030361,0.950552009660169,0.8852459016393442,0.8709677419354839,high_Q,AOMIC_ID1000
34,17,Single site Test,0.776470588235294,0.8534256055363322,0.7654320987654321,0.7294117647058823,high_Q,AOMIC_ID1000
35,17,Single site Train,0.8548387096774194,0.941744567040187,0.8537666174298375,0.8475073313782991,high_Q,AOMIC_ID1000
36,18,Single site Test,0.7764705882352941,0.82878892733564,0.7840909090909091,0.8117647058823529,high_Q,AOMIC_ID1000
37,18,Single site Train,0.873900293255132,0.9492350426982913,0.8735294117647059,0.8709677419354839,high_Q,AOMIC_ID1000
38,19,Single site Test,0.788235294117647,0.8750173010380623,0.788235294117647,0.788235294117647,high_Q,AOMIC_ID1000
39,19,Single site Train,0.8709677419354839,0.9471882766746073,0.8698224852071006,0.8621700879765396,high_Q,AOMIC_ID1000
40,20,Single site Test,0.7780437756497948,0.880437756497948,0.7682926829268293,0.7325581395348837,high_Q,AOMIC_ID1000
41,20,Single site Train,0.8707736760393308,0.9488269794721407,0.8702064896755162,0.8676470588235294,high_Q,AOMIC_ID1000
42,21,Single site Test,0.8071819425444597,0.9086183310533515,0.8114285714285714,0.8352941176470589,high_Q,AOMIC_ID1000
43,21,Single site Train,0.8810764188373297,0.9499309987924789,0.8796433878157504,0.8680351906158358,high_Q,AOMIC_ID1000
44,22,Single site Test,0.7705882352941176,0.8556401384083044,0.7796610169491526,0.8117647058823529,high_Q,AOMIC_ID1000
45,22,Single site Train,0.8680351906158358,0.93692864698446,0.8648648648648649,0.844574780058651,high_Q,AOMIC_ID1000
46,23,Single site Test,0.8,0.8530103806228374,0.7848101265822784,0.7294117647058823,high_Q,AOMIC_ID1000
47,23,Single site Train,0.8944281524926686,0.9583078920889914,0.8931750741839762,0.8826979472140762,high_Q,AOMIC_ID1000
48,24,Single site Test,0.7294117647058824,0.8417993079584775,0.7228915662650602,0.7058823529411765,high_Q,AOMIC_ID1000
49,24,Single site Train,0.8680351906158358,0.9409017810304349,0.8656716417910447,0.8504398826979472,high_Q,AOMIC_ID1000
