,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.8188098495212038,0.9020519835841313,0.8165680473372781,0.8023255813953488,low_Q,AOMIC_ID1000
1,0,Single site Train,0.9104019320338106,0.9682594445402796,0.9088191330343797,0.8941176470588236,low_Q,AOMIC_ID1000
2,1,Single site Test,0.7545143638850889,0.8544459644322845,0.7586206896551724,0.7764705882352941,low_Q,AOMIC_ID1000
3,1,Single site Train,0.8781395549422115,0.9536311885457996,0.8766716196136701,0.8651026392961877,low_Q,AOMIC_ID1000
4,2,Single site Test,0.7588235294117647,0.8678200692041523,0.7630057803468208,0.7764705882352941,low_Q,AOMIC_ID1000
5,2,Single site Train,0.8768328445747801,0.9593226752435908,0.8746268656716418,0.8592375366568915,low_Q,AOMIC_ID1000
6,3,Single site Test,0.8470588235294118,0.9223529411764706,0.8433734939759037,0.8235294117647058,low_Q,AOMIC_ID1000
7,3,Single site Train,0.8826979472140762,0.9510582124336736,0.8809523809523809,0.8680351906158358,low_Q,AOMIC_ID1000
8,4,Single site Test,0.7470588235294118,0.8570242214532873,0.7425149700598802,0.7294117647058823,low_Q,AOMIC_ID1000
9,4,Single site Train,0.906158357771261,0.9684213242060182,0.9047619047619048,0.8914956011730205,low_Q,AOMIC_ID1000
10,5,Single site Test,0.7078659370725033,0.8075239398084815,0.6951219512195121,0.6627906976744186,low_Q,AOMIC_ID1000
11,5,Single site Train,0.9030705537346904,0.9628601000517508,0.9020771513353115,0.8941176470588236,low_Q,AOMIC_ID1000
12,6,Single site Test,0.830437756497948,0.9161422708618332,0.8304093567251462,0.8352941176470589,low_Q,AOMIC_ID1000
13,6,Single site Train,0.885483870967742,0.9585043988269795,0.8839285714285714,0.8709677419354839,low_Q,AOMIC_ID1000
14,7,Single site Test,0.7705882352941176,0.8528719723183392,0.7515923566878981,0.6941176470588235,low_Q,AOMIC_ID1000
15,7,Single site Train,0.8914956011730205,0.9560547294914903,0.8902077151335311,0.8797653958944281,low_Q,AOMIC_ID1000
16,8,Single site Test,0.8588235294117648,0.9280276816608997,0.8536585365853658,0.8235294117647058,low_Q,AOMIC_ID1000
17,8,Single site Train,0.8988269794721407,0.963089412715749,0.8968609865470852,0.8797653958944281,low_Q,AOMIC_ID1000
18,9,Single site Test,0.7823529411764706,0.8769550173010381,0.7885714285714286,0.8117647058823529,low_Q,AOMIC_ID1000
19,9,Single site Train,0.9017595307917888,0.963975198011713,0.8995502248875562,0.8797653958944281,low_Q,AOMIC_ID1000
20,10,Single site Test,0.7837209302325582,0.870451436388509,0.7810650887573964,0.7674418604651163,low_Q,AOMIC_ID1000
21,10,Single site Train,0.9104407452130412,0.96401587027773,0.9112081513828238,0.9205882352941176,low_Q,AOMIC_ID1000
22,11,Single site Test,0.7777017783857729,0.8495212038303694,0.7738095238095238,0.7647058823529411,low_Q,AOMIC_ID1000
23,11,Single site Train,0.9075081938933931,0.9681904433327583,0.9063893016344725,0.8944281524926686,low_Q,AOMIC_ID1000
24,12,Single site Test,0.7823529411764706,0.8596539792387544,0.7757575757575758,0.7529411764705882,low_Q,AOMIC_ID1000
25,12,Single site Train,0.875366568914956,0.9475150712498173,0.8721804511278195,0.8504398826979472,low_Q,AOMIC_ID1000
26,13,Single site Test,0.8117647058823529,0.8977162629757786,0.8,0.7529411764705882,low_Q,AOMIC_ID1000
27,13,Single site Train,0.8988269794721407,0.9596064705325892,0.8952959028831563,0.8651026392961877,low_Q,AOMIC_ID1000
28,14,Single site Test,0.8058823529411765,0.8961937716262975,0.8114285714285714,0.8352941176470589,low_Q,AOMIC_ID1000
29,14,Single site Train,0.8973607038123167,0.9659015660340039,0.8955223880597015,0.8797653958944281,low_Q,AOMIC_ID1000
30,15,Single site Test,0.853830369357045,0.919015047879617,0.8538011695906432,0.8488372093023255,low_Q,AOMIC_ID1000
31,15,Single site Train,0.8898481973434536,0.9604881835432121,0.8882265275707899,0.8764705882352941,low_Q,AOMIC_ID1000
32,16,Single site Test,0.7363201094391245,0.8482900136798905,0.7096774193548387,0.6470588235294118,low_Q,AOMIC_ID1000
33,16,Single site Train,0.9074952561669829,0.9703036053130929,0.9072164948453608,0.9032258064516129,low_Q,AOMIC_ID1000
34,17,Single site Test,0.7764705882352941,0.8592387543252595,0.7840909090909091,0.8117647058823529,low_Q,AOMIC_ID1000
35,17,Single site Train,0.8885630498533724,0.9529931803132068,0.8869047619047619,0.873900293255132,low_Q,AOMIC_ID1000
36,18,Single site Test,0.8,0.8840138408304498,0.7926829268292683,0.7647058823529411,low_Q,AOMIC_ID1000
37,18,Single site Train,0.8944281524926686,0.9606986524023701,0.8909090909090909,0.8621700879765396,low_Q,AOMIC_ID1000
38,19,Single site Test,0.7823529411764706,0.8871972318339101,0.7784431137724551,0.7647058823529411,low_Q,AOMIC_ID1000
39,19,Single site Train,0.906158357771261,0.9647319854490415,0.9047619047619048,0.8914956011730205,low_Q,AOMIC_ID1000
40,20,Single site Test,0.818467852257182,0.897264021887825,0.8268156424581006,0.8604651162790697,low_Q,AOMIC_ID1000
41,20,Single site Train,0.9045368293945144,0.9654217698809728,0.9034175334323923,0.8941176470588236,low_Q,AOMIC_ID1000
42,21,Single site Test,0.8183310533515732,0.9075239398084816,0.8050314465408805,0.7529411764705882,low_Q,AOMIC_ID1000
43,21,Single site Train,0.8898956356736243,0.9601604278074867,0.8878923766816144,0.8709677419354839,low_Q,AOMIC_ID1000
44,22,Single site Test,0.8235294117647058,0.8831833910034602,0.8148148148148148,0.7764705882352941,low_Q,AOMIC_ID1000
45,22,Single site Train,0.9090909090909091,0.9638204005813504,0.907185628742515,0.8885630498533724,low_Q,AOMIC_ID1000
46,23,Single site Test,0.7941176470588236,0.8797231833910034,0.7852760736196319,0.7529411764705882,low_Q,AOMIC_ID1000
47,23,Single site Train,0.9149560117302054,0.965368374884977,0.9121212121212121,0.8826979472140762,low_Q,AOMIC_ID1000
48,24,Single site Test,0.7647058823529411,0.8419377162629758,0.7701149425287356,0.788235294117647,low_Q,AOMIC_ID1000
49,24,Single site Train,0.8929618768328446,0.9517290012985785,0.8905547226386806,0.8709677419354839,low_Q,AOMIC_ID1000
