,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7083333333333333,0.7783333333333333,0.7058823529411765,0.7,high_Q,CamCAN
1,0,Single site Train,0.8479166666666667,0.9156076388888889,0.8488612836438924,0.8541666666666666,high_Q,CamCAN
2,1,Single site Test,0.7083333333333333,0.7722222222222221,0.7286821705426356,0.7833333333333333,high_Q,CamCAN
3,1,Single site Train,0.8479166666666667,0.916875,0.8494845360824742,0.8583333333333333,high_Q,CamCAN
4,2,Single site Test,0.6833333333333333,0.7752777777777777,0.6885245901639344,0.7,high_Q,CamCAN
5,2,Single site Train,0.8479166666666667,0.9175000000000001,0.8513238289205702,0.8708333333333333,high_Q,CamCAN
6,3,Single site Test,0.6916666666666667,0.7702777777777777,0.6942148760330579,0.7,high_Q,CamCAN
7,3,Single site Train,0.8416666666666667,0.9158680555555556,0.8448979591836735,0.8625,high_Q,CamCAN
8,4,Single site Test,0.7666666666666666,0.8211111111111111,0.7543859649122807,0.7166666666666667,high_Q,CamCAN
9,4,Single site Train,0.85625,0.9208333333333333,0.8583162217659137,0.8708333333333333,high_Q,CamCAN
10,5,Single site Test,0.7166666666666666,0.7702777777777777,0.711864406779661,0.7,high_Q,CamCAN
11,5,Single site Train,0.84375,0.9224305555555555,0.8466257668711656,0.8625,high_Q,CamCAN
12,6,Single site Test,0.7583333333333333,0.8163888888888889,0.768,0.8,high_Q,CamCAN
13,6,Single site Train,0.8479166666666667,0.9165625000000001,0.8507157464212679,0.8666666666666667,high_Q,CamCAN
14,7,Single site Test,0.6666666666666666,0.7519444444444444,0.6875,0.7333333333333333,high_Q,CamCAN
15,7,Single site Train,0.8604166666666666,0.9228472222222223,0.8618556701030928,0.8708333333333333,high_Q,CamCAN
16,8,Single site Test,0.7,0.7569444444444444,0.7049180327868853,0.7166666666666667,high_Q,CamCAN
17,8,Single site Train,0.8479166666666667,0.9154861111111111,0.8488612836438924,0.8541666666666666,high_Q,CamCAN
18,9,Single site Test,0.7,0.7708333333333333,0.7,0.7,high_Q,CamCAN
19,9,Single site Train,0.8520833333333333,0.9101041666666666,0.8523908523908524,0.8541666666666666,high_Q,CamCAN
20,10,Single site Test,0.725,0.7908333333333333,0.7317073170731707,0.75,high_Q,CamCAN
21,10,Single site Train,0.85625,0.9191493055555555,0.8588957055214724,0.875,high_Q,CamCAN
22,11,Single site Test,0.6833333333333333,0.7499999999999999,0.6935483870967742,0.7166666666666667,high_Q,CamCAN
23,11,Single site Train,0.8604166666666666,0.9210243055555556,0.8618556701030928,0.8708333333333333,high_Q,CamCAN
24,12,Single site Test,0.8,0.846111111111111,0.8,0.8,high_Q,CamCAN
25,12,Single site Train,0.8291666666666666,0.9053993055555555,0.8319672131147541,0.8458333333333333,high_Q,CamCAN
26,13,Single site Test,0.65,0.7036111111111112,0.65,0.65,high_Q,CamCAN
27,13,Single site Train,0.8458333333333334,0.9230381944444445,0.8483606557377049,0.8625,high_Q,CamCAN
28,14,Single site Test,0.7083333333333333,0.7891666666666667,0.7107438016528925,0.7166666666666667,high_Q,CamCAN
29,14,Single site Train,0.8458333333333333,0.9156423611111112,0.8477366255144033,0.8583333333333333,high_Q,CamCAN
30,15,Single site Test,0.7,0.7786111111111111,0.7,0.7,high_Q,CamCAN
31,15,Single site Train,0.8583333333333334,0.9103993055555555,0.8623481781376519,0.8875,high_Q,CamCAN
32,16,Single site Test,0.6916666666666667,0.8072222222222222,0.6837606837606838,0.6666666666666666,high_Q,CamCAN
33,16,Single site Train,0.8375,0.9165277777777778,0.8381742738589212,0.8416666666666667,high_Q,CamCAN
34,17,Single site Test,0.7333333333333334,0.7908333333333333,0.7575757575757576,0.8333333333333334,high_Q,CamCAN
35,17,Single site Train,0.8583333333333334,0.9189236111111111,0.8600823045267489,0.8708333333333333,high_Q,CamCAN
36,18,Single site Test,0.6416666666666666,0.7105555555555556,0.6260869565217392,0.6,high_Q,CamCAN
37,18,Single site Train,0.8645833333333333,0.9273611111111112,0.865979381443299,0.875,high_Q,CamCAN
38,19,Single site Test,0.7333333333333334,0.7905555555555556,0.7377049180327869,0.75,high_Q,CamCAN
39,19,Single site Train,0.8520833333333333,0.9139583333333333,0.8523908523908524,0.8541666666666666,high_Q,CamCAN
40,20,Single site Test,0.6499999999999999,0.7233333333333334,0.631578947368421,0.6,high_Q,CamCAN
41,20,Single site Train,0.8479166666666667,0.9205034722222222,0.8501026694045175,0.8625,high_Q,CamCAN
42,21,Single site Test,0.725,0.758611111111111,0.7226890756302521,0.7166666666666667,high_Q,CamCAN
43,21,Single site Train,0.85625,0.9236631944444444,0.8571428571428571,0.8625,high_Q,CamCAN
44,22,Single site Test,0.6583333333333333,0.7702777777777777,0.6821705426356589,0.7333333333333333,high_Q,CamCAN
45,22,Single site Train,0.8374999999999999,0.9085069444444445,0.8408163265306122,0.8583333333333333,high_Q,CamCAN
46,23,Single site Test,0.725,0.7722222222222221,0.7272727272727273,0.7333333333333333,high_Q,CamCAN
47,23,Single site Train,0.8520833333333333,0.9228819444444445,0.8553971486761711,0.875,high_Q,CamCAN
48,24,Single site Test,0.7166666666666667,0.7897222222222221,0.7068965517241379,0.6833333333333333,high_Q,CamCAN
49,24,Single site Train,0.8708333333333333,0.9152256944444446,0.8734693877551021,0.8916666666666667,high_Q,CamCAN
