,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6833333333333333,0.7536111111111111,0.6779661016949152,0.6666666666666666,low_Q,CamCAN
1,0,Single site Train,0.8541666666666666,0.9110416666666667,0.8541666666666666,0.8541666666666666,low_Q,CamCAN
2,1,Single site Test,0.7,0.741111111111111,0.7049180327868853,0.7166666666666667,low_Q,CamCAN
3,1,Single site Train,0.8520833333333333,0.9197916666666666,0.8548057259713702,0.8708333333333333,low_Q,CamCAN
4,2,Single site Test,0.6416666666666666,0.7166666666666666,0.656,0.6833333333333333,low_Q,CamCAN
5,2,Single site Train,0.8166666666666667,0.9071701388888889,0.819672131147541,0.8333333333333334,low_Q,CamCAN
6,3,Single site Test,0.675,0.7472222222222222,0.6666666666666666,0.65,low_Q,CamCAN
7,3,Single site Train,0.85,0.9229861111111112,0.8512396694214877,0.8583333333333333,low_Q,CamCAN
8,4,Single site Test,0.7666666666666666,0.8741666666666666,0.7407407407407407,0.6666666666666666,low_Q,CamCAN
9,4,Single site Train,0.8416666666666667,0.90984375,0.8410041841004184,0.8375,low_Q,CamCAN
10,5,Single site Test,0.6583333333333333,0.7736111111111111,0.6371681415929203,0.6,low_Q,CamCAN
11,5,Single site Train,0.8520833333333333,0.9154687499999999,0.8511530398322851,0.8458333333333333,low_Q,CamCAN
12,6,Single site Test,0.6666666666666666,0.7563888888888889,0.6666666666666666,0.6666666666666666,low_Q,CamCAN
13,6,Single site Train,0.8145833333333334,0.90171875,0.8172484599589322,0.8291666666666667,low_Q,CamCAN
14,7,Single site Test,0.6166666666666667,0.6716666666666666,0.640625,0.6833333333333333,low_Q,CamCAN
15,7,Single site Train,0.8500000000000001,0.9230381944444446,0.8524590163934426,0.8666666666666667,low_Q,CamCAN
16,8,Single site Test,0.75,0.8272222222222221,0.75,0.75,low_Q,CamCAN
17,8,Single site Train,0.8416666666666667,0.9187152777777777,0.8423236514522822,0.8458333333333333,low_Q,CamCAN
18,9,Single site Test,0.75,0.8258333333333333,0.7619047619047619,0.8,low_Q,CamCAN
19,9,Single site Train,0.8479166666666667,0.9086805555555555,0.8501026694045175,0.8625,low_Q,CamCAN
20,10,Single site Test,0.7,0.7538888888888888,0.7049180327868853,0.7166666666666667,low_Q,CamCAN
21,10,Single site Train,0.8416666666666666,0.9172222222222222,0.8442622950819673,0.8583333333333333,low_Q,CamCAN
22,11,Single site Test,0.8,0.8383333333333334,0.8032786885245902,0.8166666666666667,low_Q,CamCAN
23,11,Single site Train,0.85625,0.9209722222222222,0.8583162217659137,0.8708333333333333,low_Q,CamCAN
24,12,Single site Test,0.6000000000000001,0.6852777777777778,0.5789473684210527,0.55,low_Q,CamCAN
25,12,Single site Train,0.8270833333333334,0.9063368055555555,0.8281573498964804,0.8333333333333334,low_Q,CamCAN
26,13,Single site Test,0.675,0.7911111111111111,0.688,0.7166666666666667,low_Q,CamCAN
27,13,Single site Train,0.8416666666666667,0.9087152777777778,0.8429752066115702,0.85,low_Q,CamCAN
28,14,Single site Test,0.6416666666666666,0.7527777777777777,0.6504065040650406,0.6666666666666666,low_Q,CamCAN
29,14,Single site Train,0.8354166666666667,0.91359375,0.8397565922920892,0.8625,low_Q,CamCAN
30,15,Single site Test,0.7333333333333334,0.7869444444444444,0.7192982456140351,0.6833333333333333,low_Q,CamCAN
31,15,Single site Train,0.8270833333333334,0.9017534722222221,0.8288659793814434,0.8375,low_Q,CamCAN
32,16,Single site Test,0.7083333333333334,0.7508333333333334,0.732824427480916,0.8,low_Q,CamCAN
33,16,Single site Train,0.8458333333333333,0.91328125,0.8477366255144033,0.8583333333333333,low_Q,CamCAN
34,17,Single site Test,0.6916666666666667,0.736111111111111,0.6837606837606838,0.6666666666666666,low_Q,CamCAN
35,17,Single site Train,0.825,0.9168055555555554,0.8242677824267782,0.8208333333333333,low_Q,CamCAN
36,18,Single site Test,0.7333333333333333,0.8197222222222222,0.7333333333333333,0.7333333333333333,low_Q,CamCAN
37,18,Single site Train,0.8458333333333334,0.9175,0.8483606557377049,0.8625,low_Q,CamCAN
38,19,Single site Test,0.6583333333333333,0.7563888888888889,0.6666666666666666,0.6833333333333333,low_Q,CamCAN
39,19,Single site Train,0.8479166666666667,0.9178472222222223,0.8482328482328483,0.85,low_Q,CamCAN
40,20,Single site Test,0.7583333333333333,0.8594444444444445,0.7716535433070866,0.8166666666666667,low_Q,CamCAN
41,20,Single site Train,0.8354166666666667,0.9006770833333333,0.8384458077709611,0.8541666666666666,low_Q,CamCAN
42,21,Single site Test,0.6833333333333333,0.7611111111111111,0.6724137931034483,0.65,low_Q,CamCAN
43,21,Single site Train,0.8500000000000001,0.9205729166666667,0.8518518518518519,0.8625,low_Q,CamCAN
44,22,Single site Test,0.6416666666666666,0.7080555555555555,0.6504065040650406,0.6666666666666666,low_Q,CamCAN
45,22,Single site Train,0.8416666666666667,0.909704861111111,0.8410041841004184,0.8375,low_Q,CamCAN
46,23,Single site Test,0.7333333333333334,0.7705555555555555,0.7419354838709677,0.7666666666666667,low_Q,CamCAN
47,23,Single site Train,0.8479166666666667,0.9159201388888889,0.8475991649269311,0.8458333333333333,low_Q,CamCAN
48,24,Single site Test,0.7333333333333333,0.8030555555555556,0.7333333333333333,0.7333333333333333,low_Q,CamCAN
49,24,Single site Train,0.8583333333333334,0.9191840277777777,0.8600823045267489,0.8708333333333333,low_Q,CamCAN
