,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6590909090909092,0.6756198347107437,0.6808510638297872,0.7272727272727273,high_Q,DLBS
1,0,Single site Train,0.8837209302325582,0.9475392103839912,0.8823529411764706,0.872093023255814,high_Q,DLBS
2,1,Single site Test,0.7683982683982684,0.7683982683982684,0.7619047619047619,0.7272727272727273,high_Q,DLBS
3,1,Single site Train,0.8379443998930767,0.9228815824645816,0.8313253012048193,0.8023255813953488,high_Q,DLBS
4,2,Single site Test,0.6731601731601732,0.7012987012987012,0.6956521739130435,0.7272727272727273,high_Q,DLBS
5,2,Single site Train,0.8611333867949746,0.9355787222667736,0.8571428571428571,0.8372093023255814,high_Q,DLBS
6,3,Single site Test,0.606060606060606,0.6774891774891775,0.6222222222222222,0.6666666666666666,high_Q,DLBS
7,3,Single site Train,0.861333867949746,0.9418604651162792,0.8604651162790697,0.8505747126436781,high_Q,DLBS
8,4,Single site Test,0.6515151515151515,0.7424242424242423,0.6511627906976745,0.6666666666666666,high_Q,DLBS
9,4,Single site Train,0.8671478214381181,0.9373162256081262,0.8654970760233918,0.8505747126436781,high_Q,DLBS
10,5,Single site Test,0.6590909090909091,0.7169421487603306,0.6511627906976745,0.6363636363636364,high_Q,DLBS
11,5,Single site Train,0.872093023255814,0.938209843158464,0.8705882352941177,0.8604651162790697,high_Q,DLBS
12,6,Single site Test,0.7435064935064934,0.7402597402597403,0.7555555555555555,0.7727272727272727,high_Q,DLBS
13,6,Single site Train,0.8380112269446671,0.933841218925421,0.8333333333333334,0.813953488372093,high_Q,DLBS
14,7,Single site Test,0.696969696969697,0.7619047619047619,0.7111111111111111,0.7272727272727273,high_Q,DLBS
15,7,Single site Train,0.9074445335471799,0.9565624164661855,0.9058823529411765,0.8953488372093024,high_Q,DLBS
16,8,Single site Test,0.5346320346320346,0.5800865800865801,0.5238095238095238,0.5238095238095238,high_Q,DLBS
17,8,Single site Train,0.8265838011226945,0.9287623630045443,0.8275862068965517,0.8275862068965517,high_Q,DLBS
18,9,Single site Test,0.8149350649350648,0.8593073593073594,0.8181818181818182,0.8571428571428571,high_Q,DLBS
19,9,Single site Train,0.8672146484897086,0.9270248596631917,0.863905325443787,0.8390804597701149,high_Q,DLBS
20,10,Single site Test,0.7272727272727273,0.7892561983471074,0.7391304347826086,0.7727272727272727,high_Q,DLBS
21,10,Single site Train,0.8430232558139534,0.9296917252568955,0.8402366863905325,0.8255813953488372,high_Q,DLBS
22,11,Single site Test,0.6277056277056277,0.6818181818181819,0.6363636363636364,0.6363636363636364,high_Q,DLBS
23,11,Single site Train,0.8727612937717188,0.9431970061480888,0.8705882352941177,0.8604651162790697,high_Q,DLBS
24,12,Single site Test,0.604978354978355,0.658008658008658,0.6046511627906976,0.5909090909090909,high_Q,DLBS
25,12,Single site Train,0.8496391339214113,0.9263565891472869,0.8470588235294118,0.8372093023255814,high_Q,DLBS
26,13,Single site Test,0.5584415584415584,0.712121212121212,0.5581395348837209,0.5714285714285714,high_Q,DLBS
27,13,Single site Train,0.8787089013632718,0.9414595028067362,0.8771929824561403,0.8620689655172413,high_Q,DLBS
28,14,Single site Test,0.696969696969697,0.7034632034632035,0.6829268292682927,0.6666666666666666,high_Q,DLBS
29,14,Single site Train,0.8672146484897086,0.950547981823042,0.863905325443787,0.8390804597701149,high_Q,DLBS
30,15,Single site Test,0.6590909090909092,0.7148760330578512,0.6808510638297872,0.7272727272727273,high_Q,DLBS
31,15,Single site Train,0.877906976744186,0.9488912925905894,0.8727272727272727,0.8372093023255814,high_Q,DLBS
32,16,Single site Test,0.6731601731601732,0.7965367965367967,0.6956521739130435,0.7272727272727273,high_Q,DLBS
33,16,Single site Train,0.8611333867949746,0.9262229350441058,0.8571428571428571,0.8372093023255814,high_Q,DLBS
34,17,Single site Test,0.4653679653679653,0.5952380952380952,0.46511627906976744,0.45454545454545453,high_Q,DLBS
35,17,Single site Train,0.8727612937717188,0.9366479550922212,0.8705882352941177,0.8604651162790697,high_Q,DLBS
36,18,Single site Test,0.6038961038961039,0.6017316017316018,0.5853658536585366,0.5714285714285714,high_Q,DLBS
37,18,Single site Train,0.8728949478748997,0.946271050521251,0.872093023255814,0.8620689655172413,high_Q,DLBS
38,19,Single site Test,0.7651515151515151,0.829004329004329,0.7368421052631579,0.6666666666666666,high_Q,DLBS
39,19,Single site Train,0.8440256615878108,0.9278267842822775,0.8421052631578947,0.8275862068965517,high_Q,DLBS
40,20,Single site Test,0.5681818181818181,0.7252066115702479,0.5777777777777777,0.5909090909090909,high_Q,DLBS
41,20,Single site Train,0.8313953488372092,0.9252298539751216,0.8284023668639053,0.813953488372093,high_Q,DLBS
42,21,Single site Test,0.5562770562770563,0.6645021645021645,0.5957446808510638,0.6363636363636364,high_Q,DLBS
43,21,Single site Train,0.890069500133654,0.9482758620689655,0.8875739644970414,0.872093023255814,high_Q,DLBS
44,22,Single site Test,0.6266233766233766,0.6774891774891775,0.6521739130434783,0.6818181818181818,high_Q,DLBS
45,22,Single site Train,0.8495723068698209,0.9331729484095161,0.8452380952380952,0.8255813953488372,high_Q,DLBS
46,23,Single site Test,0.7424242424242424,0.7943722943722945,0.717948717948718,0.6666666666666666,high_Q,DLBS
47,23,Single site Train,0.8786420743116814,0.9419941192194601,0.8786127167630058,0.8735632183908046,high_Q,DLBS
48,24,Single site Test,0.6525974025974026,0.7142857142857143,0.6666666666666666,0.7142857142857143,high_Q,DLBS
49,24,Single site Train,0.855653568564555,0.9353114140604117,0.8520710059171598,0.8275862068965517,high_Q,DLBS
