,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6363636363636364,0.6115702479338843,0.6666666666666666,0.7272727272727273,low_Q,DLBS
1,0,Single site Train,0.8546511627906976,0.924283396430503,0.8502994011976048,0.8255813953488372,low_Q,DLBS
2,1,Single site Test,0.6742424242424242,0.6385281385281385,0.6818181818181818,0.6818181818181818,low_Q,DLBS
3,1,Single site Train,0.8610665597433842,0.9442662389735366,0.8554216867469879,0.8255813953488372,low_Q,DLBS
4,2,Single site Test,0.6038961038961039,0.6666666666666667,0.6222222222222222,0.6363636363636364,low_Q,DLBS
5,2,Single site Train,0.8842555466452819,0.950681635926223,0.8809523809523809,0.8604651162790697,low_Q,DLBS
6,3,Single site Test,0.5151515151515151,0.6277056277056278,0.5714285714285714,0.6666666666666666,low_Q,DLBS
7,3,Single site Train,0.8787089013632718,0.9482758620689655,0.8771929824561403,0.8620689655172413,low_Q,DLBS
8,4,Single site Test,0.7186147186147187,0.7402597402597403,0.6842105263157895,0.6190476190476191,low_Q,DLBS
9,4,Single site Train,0.8785084202085004,0.9517508687516707,0.8813559322033898,0.896551724137931,low_Q,DLBS
10,5,Single site Test,0.5681818181818181,0.6363636363636364,0.5581395348837209,0.5454545454545454,low_Q,DLBS
11,5,Single site Train,0.8662790697674418,0.9469983775013522,0.863905325443787,0.8488372093023255,low_Q,DLBS
12,6,Single site Test,0.6266233766233766,0.7186147186147186,0.6521739130434783,0.6818181818181818,low_Q,DLBS
13,6,Single site Train,0.8669473402833467,0.9433306602512697,0.863905325443787,0.8488372093023255,low_Q,DLBS
14,7,Single site Test,0.42099567099567103,0.5086580086580086,0.358974358974359,0.3181818181818182,low_Q,DLBS
15,7,Single site Train,0.8784415931569098,0.9494787489975941,0.874251497005988,0.8488372093023255,low_Q,DLBS
16,8,Single site Test,0.5378787878787878,0.5974025974025974,0.5833333333333334,0.6666666666666666,low_Q,DLBS
17,8,Single site Train,0.8787089013632718,0.9439989307671747,0.8771929824561403,0.8620689655172413,low_Q,DLBS
18,9,Single site Test,0.5162337662337663,0.6298701298701298,0.5882352941176471,0.7142857142857143,low_Q,DLBS
19,9,Single site Train,0.8670809943865276,0.9405239240844693,0.8670520231213873,0.8620689655172413,low_Q,DLBS
20,10,Single site Test,0.7272727272727273,0.768595041322314,0.7142857142857143,0.6818181818181818,low_Q,DLBS
21,10,Single site Train,0.877906976744186,0.9502433747971877,0.8757396449704142,0.8604651162790697,low_Q,DLBS
