,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.8171641791044776,0.9051570505680553,0.8150943396226416,0.8059701492537313,high_Q,GSP
1,0,Single site Train,0.9400749063670412,0.9884203734096425,0.9399624765478424,0.9382022471910112,high_Q,GSP
2,1,Single site Test,0.842778588261699,0.910728313320615,0.8396946564885496,0.8208955223880597,high_Q,GSP
3,1,Single site Train,0.9335766040113409,0.9853757569393399,0.9330819981149858,0.9269662921348315,high_Q,GSP
4,2,Single site Test,0.805072382448659,0.894400179553361,0.8142857142857143,0.8507462686567164,high_Q,GSP
5,2,Single site Train,0.9373149217683503,0.9862823339983899,0.9366130558183539,0.9269662921348315,high_Q,GSP
6,3,Single site Test,0.7977219167321288,0.8877230389406352,0.7954545454545454,0.7894736842105263,high_Q,GSP
7,3,Single site Train,0.9345251846406945,0.9870138961811753,0.9340866290018832,0.9271028037383178,high_Q,GSP
8,4,Single site Test,0.8314723375603187,0.9174615643586578,0.8314606741573034,0.8345864661654135,high_Q,GSP
9,4,Single site Train,0.9335783541601037,0.9867408729742028,0.933953488372093,0.9383177570093458,high_Q,GSP
10,5,Single site Test,0.8134328358208955,0.9046558253508578,0.8148148148148148,0.8208955223880597,high_Q,GSP
11,5,Single site Train,0.9363295880149813,0.9884379076715902,0.9358490566037736,0.9288389513108615,high_Q,GSP
12,6,Single site Test,0.8014813152283694,0.8897991246773651,0.8029739776951673,0.8059701492537313,high_Q,GSP
13,6,Single site Train,0.9335836046063914,0.985837796212678,0.9335827876520112,0.9344569288389513,high_Q,GSP
14,7,Single site Test,0.8166030748513073,0.8890696891482437,0.8108108108108109,0.7835820895522388,high_Q,GSP
15,7,Single site Train,0.9448073086212327,0.9881969967447233,0.9447047797563262,0.9438202247191011,high_Q,GSP
16,8,Single site Test,0.8464818763326225,0.910728313320615,0.8475836431226765,0.8571428571428571,high_Q,GSP
17,8,Single site Train,0.9382652525464664,0.9845776891035738,0.9379699248120301,0.9327102803738317,high_Q,GSP
18,9,Single site Test,0.8051846032992931,0.859106722028953,0.8015267175572519,0.7894736842105263,high_Q,GSP
19,9,Single site Train,0.9382652525464664,0.9864083447093003,0.9379699248120301,0.9327102803738317,high_Q,GSP
20,10,Single site Test,0.8731343283582089,0.9338939630207173,0.8702290076335878,0.8507462686567164,high_Q,GSP
21,10,Single site Train,0.9307116104868913,0.9836966432408928,0.9305816135084428,0.9288389513108615,high_Q,GSP
22,11,Single site Test,0.8088878913702165,0.863651666479632,0.8145454545454546,0.835820895522388,high_Q,GSP
23,11,Single site Train,0.9382547516538906,0.9868948860653155,0.9378531073446328,0.9325842696629213,high_Q,GSP
24,12,Single site Test,0.8052126585119515,0.8932779710470204,0.8074074074074075,0.8134328358208955,high_Q,GSP
25,12,Single site Train,0.9345216843431692,0.9861703244775807,0.9347014925373134,0.9382022471910112,high_Q,GSP
26,13,Single site Test,0.823925485355179,0.8891819099988777,0.8212927756653993,0.8120300751879699,high_Q,GSP
27,13,Single site Train,0.9382617522489411,0.9882109979348245,0.9382022471910112,0.9364485981308411,high_Q,GSP
28,14,Single site Test,0.8352036808439007,0.9165076871282684,0.8345864661654135,0.8345864661654135,high_Q,GSP
29,14,Single site Train,0.9420105708985264,0.98851902411705,0.9415094339622642,0.9327102803738317,high_Q,GSP
30,15,Single site Test,0.7910447761194029,0.87291156159501,0.7910447761194029,0.7910447761194029,high_Q,GSP
31,15,Single site Train,0.9391385767790261,0.988448428228759,0.9389671361502347,0.9363295880149812,high_Q,GSP
32,16,Single site Test,0.8202783077095724,0.8707215800695769,0.8181818181818182,0.8059701492537313,high_Q,GSP
33,16,Single site Train,0.9448038083237075,0.9872834190906227,0.9444967074317968,0.9400749063670412,high_Q,GSP
34,17,Single site Test,0.8276568286387611,0.9161149141510493,0.8308823529411765,0.8432835820895522,high_Q,GSP
35,17,Single site Train,0.9345129335993559,0.9859988098988414,0.9340866290018832,0.9288389513108615,high_Q,GSP
36,18,Single site Test,0.8726573897430142,0.9465267646728761,0.8721804511278195,0.8721804511278195,high_Q,GSP
37,18,Single site Train,0.9326490251671391,0.984689698624383,0.9325842696629213,0.930841121495327,high_Q,GSP
38,19,Single site Test,0.8276287734261025,0.8942879587027269,0.823076923076923,0.8045112781954887,high_Q,GSP
39,19,Single site Train,0.9373289229584514,0.9863768420315727,0.9370892018779343,0.9327102803738317,high_Q,GSP
40,20,Single site Test,0.8246268656716418,0.8727444865226108,0.8199233716475096,0.7985074626865671,high_Q,GSP
41,20,Single site Train,0.951310861423221,0.9917834448512394,0.9511278195488722,0.947565543071161,high_Q,GSP
42,21,Single site Test,0.8426383121984065,0.9223431713612389,0.8455882352941176,0.8582089552238806,high_Q,GSP
43,21,Single site Train,0.9307693653960587,0.9829885540270924,0.930188679245283,0.9232209737827716,high_Q,GSP
44,22,Single site Test,0.8277690494893951,0.899001234429357,0.8257575757575758,0.8134328358208955,high_Q,GSP
45,22,Single site Train,0.9382512513563653,0.9880359830585601,0.9376181474480151,0.9288389513108615,high_Q,GSP
46,23,Single site Test,0.8127595107170913,0.8898552351026819,0.8134328358208955,0.8195488721804511,high_Q,GSP
47,23,Single site Train,0.9420018201547131,0.9873884280163813,0.9420560747663551,0.9420560747663551,high_Q,GSP
48,24,Single site Test,0.7977219167321288,0.8803164627987881,0.7954545454545454,0.7894736842105263,high_Q,GSP
49,24,Single site Train,0.9289107074101298,0.9824740102908748,0.9285714285714286,0.9233644859813084,high_Q,GSP
