,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7985074626865671,0.8676765426598352,0.8043478260869565,0.8283582089552238,low_Q,GSP
1,0,Single site Train,0.9335205992509363,0.9843243698186256,0.9335827876520112,0.9344569288389513,low_Q,GSP
2,1,Single site Test,0.8090001122208506,0.8683649422062619,0.8089887640449438,0.8059701492537313,low_Q,GSP
3,1,Single site Train,0.9448090587699954,0.9885890300675557,0.9448082319925164,0.9456928838951311,low_Q,GSP
4,2,Single site Test,0.8539165076871282,0.915666030748513,0.8550185873605948,0.8582089552238806,low_Q,GSP
5,2,Single site Train,0.9317056949840736,0.982621022786937,0.9311969839773798,0.9250936329588015,low_Q,GSP
6,3,Single site Test,0.8240096509931545,0.8863763887330266,0.8252788104089219,0.8345864661654135,low_Q,GSP
7,3,Single site Train,0.9438727291819804,0.9874234309916343,0.9439252336448598,0.9439252336448598,low_Q,GSP
8,4,Single site Test,0.8164627987880149,0.8883402536191224,0.8150943396226416,0.8120300751879699,low_Q,GSP
9,4,Single site Train,0.9261017186460849,0.9803318282053974,0.9259606373008434,0.9233644859813084,low_Q,GSP
10,5,Single site Test,0.7985074626865671,0.8742481621742036,0.8043478260869565,0.8283582089552238,low_Q,GSP
11,5,Single site Train,0.9428838951310861,0.9869194405869067,0.9428303655107779,0.9419475655430711,low_Q,GSP
12,6,Single site Test,0.7867523285826507,0.8513073729098868,0.7729083665338645,0.7238805970149254,low_Q,GSP
13,6,Single site Train,0.9457436382092478,0.9867338723791522,0.9456928838951311,0.9456928838951311,low_Q,GSP
14,7,Single site Test,0.7941027942991807,0.8742565368645494,0.789272030651341,0.7686567164179104,low_Q,GSP
15,7,Single site Train,0.9382582519514158,0.986695369106374,0.9380863039399625,0.9363295880149812,low_Q,GSP
16,8,Single site Test,0.8352036808439007,0.8933901918976546,0.8345864661654135,0.8345864661654135,low_Q,GSP
17,8,Single site Train,0.9373341734047393,0.9825090132661276,0.9367327667610954,0.9271028037383178,low_Q,GSP
18,9,Single site Test,0.8240657614184715,0.8920435416900461,0.8278388278388278,0.849624060150376,low_Q,GSP
19,9,Single site Train,0.9279743778221148,0.9824775105884,0.927699530516432,0.9233644859813084,low_Q,GSP
20,10,Single site Test,0.8283582089552239,0.8803742481621742,0.8321167883211679,0.8507462686567164,low_Q,GSP
21,10,Single site Train,0.9316479400749064,0.9821325870751448,0.9311969839773798,0.9250936329588015,low_Q,GSP
22,11,Single site Test,0.8090842778588262,0.9036022893053529,0.8045977011494253,0.7835820895522388,low_Q,GSP
23,11,Single site Train,0.9429328992964402,0.9868318807098604,0.9426152398871119,0.9382022471910112,low_Q,GSP
24,12,Single site Test,0.8128156211424082,0.9019750869711594,0.8091603053435115,0.7910447761194029,low_Q,GSP
25,12,Single site Train,0.9260999684973223,0.9830165564072948,0.9260991580916744,0.9269662921348315,low_Q,GSP
26,13,Single site Test,0.8277129390640781,0.8835708674671754,0.8270676691729323,0.8270676691729323,low_Q,GSP
27,13,Single site Train,0.9401361615737338,0.9856382792537365,0.9398496240601504,0.9345794392523364,low_Q,GSP
28,14,Single site Test,0.786499831668724,0.8714510155986983,0.7849056603773585,0.7819548872180451,low_Q,GSP
29,14,Single site Train,0.9466852182435507,0.9858062935349505,0.9463781749764817,0.9401869158878504,low_Q,GSP
30,15,Single site Test,0.7835820895522387,0.8678436177322343,0.7851851851851852,0.7910447761194029,low_Q,GSP
31,15,Single site Train,0.946629213483146,0.9893111139165931,0.9464788732394366,0.9438202247191011,low_Q,GSP
32,16,Single site Test,0.8576478509707104,0.9045561665357423,0.8592592592592593,0.8656716417910447,low_Q,GSP
33,16,Single site Train,0.9382582519514158,0.9864293464944519,0.9380863039399625,0.9363295880149812,low_Q,GSP
34,17,Single site Test,0.8127034002917742,0.8936146335989227,0.8148148148148148,0.8208955223880597,low_Q,GSP
35,17,Single site Train,0.9335801043088663,0.9836851132346248,0.9333333333333333,0.9307116104868914,low_Q,GSP
36,18,Single site Test,0.8315003927729772,0.9033778476040848,0.8327137546468402,0.8421052631578947,low_Q,GSP
37,18,Single site Train,0.9307798662886345,0.9817739507858169,0.9305816135084428,0.9271028037383178,low_Q,GSP
38,19,Single site Test,0.7789810346762428,0.8594994950061721,0.7756653992395437,0.7669172932330827,low_Q,GSP
39,19,Single site Train,0.9391998319857188,0.9832300745563374,0.9389671361502347,0.9345794392523364,low_Q,GSP
40,20,Single site Test,0.7798507462686567,0.8725774114502117,0.7822878228782287,0.7910447761194029,low_Q,GSP
41,20,Single site Train,0.9391385767790261,0.9828935740436814,0.9390815370196813,0.9382022471910112,low_Q,GSP
42,21,Single site Test,0.8203063629222309,0.877847604084839,0.816793893129771,0.7985074626865671,low_Q,GSP
43,21,Single site Train,0.9307711155448213,0.9810283874129301,0.9303201506591338,0.9250936329588015,low_Q,GSP
44,22,Single site Test,0.8502412748288632,0.9067444731231062,0.8484848484848485,0.835820895522388,low_Q,GSP
45,22,Single site Train,0.9363855927753859,0.9845986908887255,0.9360902255639098,0.9325842696629213,low_Q,GSP
46,23,Single site Test,0.8278251599147122,0.8969251486926271,0.8321167883211679,0.8571428571428571,low_Q,GSP
47,23,Single site Train,0.9410742413105113,0.9876649515208793,0.94062205466541,0.9327102803738317,low_Q,GSP
48,24,Single site Test,0.839047244978117,0.9025923016496465,0.8424908424908425,0.8646616541353384,low_Q,GSP
49,24,Single site Train,0.9391980818369561,0.9865693583954636,0.9390815370196813,0.9364485981308411,low_Q,GSP
