,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6617647058823529,0.7041522491349482,0.6229508196721312,0.5588235294117647,high_Q,SALD
1,0,Single site Train,0.8768656716417911,0.9362887057251059,0.8782287822878229,0.8880597014925373,high_Q,SALD
2,1,Single site Test,0.6287878787878788,0.6720142602495542,0.576271186440678,0.5,high_Q,SALD
3,1,Single site Train,0.8773355444997236,0.9384742951907131,0.8773234200743495,0.8805970149253731,high_Q,SALD
4,2,Single site Test,0.5655080213903744,0.6167557932263814,0.6133333333333333,0.6764705882352942,high_Q,SALD
5,2,Single site Train,0.8884466556108347,0.9556661138750691,0.8872180451127819,0.8805970149253731,high_Q,SALD
6,3,Single site Test,0.6568627450980392,0.6470588235294119,0.6567164179104478,0.6666666666666666,high_Q,SALD
7,3,Single site Train,0.8550304035378662,0.945771144278607,0.8550185873605948,0.8518518518518519,high_Q,SALD
8,4,Single site Test,0.7464349376114082,0.7959001782531194,0.746268656716418,0.7575757575757576,high_Q,SALD
9,4,Single site Train,0.884742951907131,0.9518518518518518,0.8856088560885609,0.8888888888888888,high_Q,SALD
10,5,Single site Test,0.6323529411764706,0.6332179930795847,0.5614035087719298,0.47058823529411764,high_Q,SALD
11,5,Single site Train,0.8731343283582089,0.9509356204054354,0.8721804511278195,0.8656716417910447,high_Q,SALD
12,6,Single site Test,0.643048128342246,0.6844919786096257,0.6129032258064516,0.5588235294117647,high_Q,SALD
13,6,Single site Train,0.8661691542288557,0.9357656163626312,0.8656716417910447,0.8656716417910447,high_Q,SALD
14,7,Single site Test,0.6114081996434938,0.6604278074866311,0.6285714285714286,0.6470588235294118,high_Q,SALD
15,7,Single site Train,0.8773079049198452,0.9436705362078496,0.8764044943820225,0.8731343283582089,high_Q,SALD
16,8,Single site Test,0.731729055258467,0.7620320855614974,0.7352941176470589,0.7575757575757576,high_Q,SALD
17,8,Single site Train,0.8736042012161416,0.9468767274737424,0.8740740740740741,0.8740740740740741,high_Q,SALD
18,9,Single site Test,0.6417112299465241,0.7112299465240641,0.6363636363636364,0.6363636363636364,high_Q,SALD
19,9,Single site Train,0.8772802653399667,0.9572139303482587,0.8791208791208791,0.8888888888888888,high_Q,SALD
20,10,Single site Test,0.7352941176470589,0.819204152249135,0.7272727272727273,0.7058823529411765,high_Q,SALD
21,10,Single site Train,0.8731343283582089,0.9347293383827134,0.8731343283582089,0.8731343283582089,high_Q,SALD
22,11,Single site Test,0.5967023172905526,0.6042780748663101,0.6086956521739131,0.6176470588235294,high_Q,SALD
23,11,Single site Train,0.8699557766721946,0.9526257600884467,0.8717948717948718,0.8880597014925373,high_Q,SALD
24,12,Single site Test,0.7018716577540107,0.6818181818181819,0.696969696969697,0.6764705882352942,high_Q,SALD
25,12,Single site Train,0.8699281370923162,0.9467108899944721,0.8708487084870848,0.8805970149253731,high_Q,SALD
26,13,Single site Test,0.5374331550802138,0.6336898395721925,0.5373134328358209,0.5454545454545454,high_Q,SALD
27,13,Single site Train,0.8809839690436705,0.949640685461581,0.8832116788321168,0.8962962962962963,high_Q,SALD
28,14,Single site Test,0.7303921568627451,0.7718360071301248,0.7096774193548387,0.6666666666666666,high_Q,SALD
29,14,Single site Train,0.8773355444997236,0.9453289110005528,0.8773234200743495,0.8740740740740741,high_Q,SALD
30,15,Single site Test,0.75,0.7482698961937715,0.746268656716418,0.7352941176470589,high_Q,SALD
31,15,Single site Train,0.8805970149253731,0.9507685453330363,0.8805970149253731,0.8805970149253731,high_Q,SALD
32,16,Single site Test,0.6122994652406417,0.6461675579322639,0.6060606060606061,0.5882352941176471,high_Q,SALD
33,16,Single site Train,0.877363184079602,0.9529574350469874,0.8782287822878229,0.8880597014925373,high_Q,SALD
34,17,Single site Test,0.6720142602495545,0.6301247771836007,0.6666666666666666,0.6470588235294118,high_Q,SALD
35,17,Single site Train,0.8774184632393588,0.9558319513543394,0.88,0.9029850746268657,high_Q,SALD
36,18,Single site Test,0.6876114081996435,0.7361853832442068,0.704225352112676,0.7575757575757576,high_Q,SALD
37,18,Single site Train,0.8438640132669983,0.9234936428966279,0.8444444444444444,0.8444444444444444,high_Q,SALD
38,19,Single site Test,0.6412655971479502,0.7023172905525846,0.625,0.6060606060606061,high_Q,SALD
39,19,Single site Train,0.869845218352681,0.9435046987285792,0.8717948717948718,0.8814814814814815,high_Q,SALD
40,20,Single site Test,0.6176470588235294,0.6254325259515572,0.6176470588235294,0.6176470588235294,high_Q,SALD
41,20,Single site Train,0.8656716417910448,0.9472599688126532,0.8666666666666667,0.8731343283582089,high_Q,SALD
42,21,Single site Test,0.6724598930481284,0.7112299465240641,0.65625,0.6176470588235294,high_Q,SALD
43,21,Single site Train,0.8847705914870094,0.9478164731896075,0.8847583643122676,0.8880597014925373,high_Q,SALD
44,22,Single site Test,0.7615864527629234,0.8021390374331551,0.7575757575757576,0.7352941176470589,high_Q,SALD
45,22,Single site Train,0.8662797125483692,0.9411829740187949,0.8695652173913043,0.8955223880597015,high_Q,SALD
46,23,Single site Test,0.5659536541889483,0.6229946524064172,0.5245901639344263,0.48484848484848486,high_Q,SALD
47,23,Single site Train,0.8847705914870094,0.9571033720287452,0.8847583643122676,0.8814814814814815,high_Q,SALD
48,24,Single site Test,0.5819964349376114,0.6114081996434938,0.5757575757575758,0.5757575757575758,high_Q,SALD
49,24,Single site Train,0.8772802653399667,0.9376451077943614,0.8791208791208791,0.8888888888888888,high_Q,SALD
