,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.6986586493987049,0.797872340425532,0.7083333333333334,0.723404255319149,high_Q,eNKI
1,0,Single site Train,0.8752790834312574,0.9414218566392479,0.8722222222222222,0.8532608695652174,high_Q,eNKI
2,1,Single site Test,0.6447733580018502,0.709990749306198,0.6292134831460674,0.6086956521739131,high_Q,eNKI
3,1,Single site Train,0.8672297297297298,0.941069330199765,0.8664850136239782,0.8594594594594595,high_Q,eNKI
4,2,Single site Test,0.7065217391304348,0.7854442344045368,0.7326732673267327,0.8043478260869565,high_Q,eNKI
5,2,Single site Train,0.8648648648648649,0.9382615047479912,0.861878453038674,0.8432432432432433,high_Q,eNKI
6,3,Single site Test,0.7391304347826086,0.802930056710775,0.7391304347826086,0.7391304347826086,high_Q,eNKI
7,3,Single site Train,0.8702702702702703,0.9409203798392987,0.8674033149171271,0.8486486486486486,high_Q,eNKI
8,4,Single site Test,0.7173913043478262,0.7835538752362949,0.7045454545454546,0.6739130434782609,high_Q,eNKI
9,4,Single site Train,0.8540540540540541,0.9450401753104456,0.8524590163934426,0.8432432432432433,high_Q,eNKI
10,5,Single site Test,0.7210915818686401,0.7844588344125809,0.7045454545454546,0.6595744680851063,high_Q,eNKI
11,5,Single site Train,0.8481786133960048,0.9344888366627497,0.8444444444444444,0.8260869565217391,high_Q,eNKI
12,6,Single site Test,0.719472710453284,0.8196114708603146,0.6904761904761905,0.6304347826086957,high_Q,eNKI
13,6,Single site Train,0.8644976498237368,0.9512338425381904,0.8648648648648649,0.8648648648648649,high_Q,eNKI
14,7,Single site Test,0.6956521739130435,0.7939508506616257,0.6888888888888889,0.6739130434782609,high_Q,eNKI
15,7,Single site Train,0.8378378378378379,0.9293791088385683,0.8369565217391305,0.8324324324324325,high_Q,eNKI
16,8,Single site Test,0.7391304347826086,0.8289224952741021,0.76,0.8260869565217391,high_Q,eNKI
17,8,Single site Train,0.8648648648648649,0.938290723155588,0.8626373626373627,0.8486486486486486,high_Q,eNKI
