,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.7532377428307123,0.837650323774283,0.7415730337078652,0.7021276595744681,low_Q,eNKI
1,0,Single site Train,0.8454759106933021,0.9257638072855464,0.8421052631578947,0.8260869565217391,low_Q,eNKI
2,1,Single site Test,0.6988899167437558,0.7391304347826088,0.6956521739130435,0.6956521739130435,low_Q,eNKI
3,1,Single site Train,0.8726792009400706,0.9368390129259695,0.8705234159779615,0.8540540540540541,low_Q,eNKI
4,2,Single site Test,0.75,0.8029300567107751,0.7415730337078652,0.717391304347826,low_Q,eNKI
5,2,Single site Train,0.8756756756756756,0.9478159240321402,0.8736263736263736,0.8594594594594595,low_Q,eNKI
6,3,Single site Test,0.6086956521739131,0.6895085066162571,0.6086956521739131,0.6086956521739131,low_Q,eNKI
7,3,Single site Train,0.8702702702702703,0.9381154127100073,0.8674033149171271,0.8486486486486486,low_Q,eNKI
8,4,Single site Test,0.75,0.806710775047259,0.7472527472527473,0.7391304347826086,low_Q,eNKI
9,4,Single site Train,0.8648648648648649,0.934755295836377,0.8611111111111112,0.8378378378378378,low_Q,eNKI
10,5,Single site Test,0.6882516188714154,0.7678075855689177,0.6881720430107527,0.6808510638297872,low_Q,eNKI
11,5,Single site Train,0.8779670975323149,0.9435663924794359,0.8739495798319328,0.8478260869565217,low_Q,eNKI
12,6,Single site Test,0.8381128584643849,0.8728029602220166,0.8275862068965517,0.782608695652174,low_Q,eNKI
13,6,Single site Train,0.8591216216216216,0.937602820211516,0.8571428571428571,0.8432432432432433,low_Q,eNKI
14,7,Single site Test,0.7391304347826086,0.8223062381852552,0.7272727272727273,0.6956521739130435,low_Q,eNKI
15,7,Single site Train,0.8621621621621622,0.9307231555880205,0.8579387186629527,0.8324324324324325,low_Q,eNKI
16,8,Single site Test,0.6521739130434783,0.7367674858223062,0.6595744680851063,0.6739130434782609,low_Q,eNKI
17,8,Single site Train,0.8594594594594595,0.9438130021913804,0.8594594594594595,0.8594594594594595,low_Q,eNKI
18,9,Single site Test,0.7065217391304348,0.77882797731569,0.7032967032967034,0.6956521739130435,low_Q,eNKI
19,9,Single site Train,0.8540540540540541,0.9282980277574873,0.850828729281768,0.8324324324324325,low_Q,eNKI
20,10,Single site Test,0.7104532839962998,0.7881591119333949,0.6896551724137931,0.6382978723404256,low_Q,eNKI
21,10,Single site Train,0.8779964747356053,0.9375440658049353,0.8753462603878116,0.8586956521739131,low_Q,eNKI
22,11,Single site Test,0.6567992599444958,0.7382053654024052,0.68,0.7391304347826086,low_Q,eNKI
23,11,Single site Train,0.8618537015276146,0.9414218566392479,0.8587257617728532,0.8378378378378378,low_Q,eNKI
24,12,Single site Test,0.717391304347826,0.803875236294896,0.723404255319149,0.7391304347826086,low_Q,eNKI
25,12,Single site Train,0.8378378378378379,0.9275675675675676,0.8333333333333334,0.8108108108108109,low_Q,eNKI
26,13,Single site Test,0.7391304347826086,0.8223062381852553,0.7333333333333333,0.717391304347826,low_Q,eNKI
27,13,Single site Train,0.854054054054054,0.9351351351351351,0.8516483516483516,0.8378378378378378,low_Q,eNKI
28,14,Single site Test,0.7826086956521738,0.8516068052930057,0.7619047619047619,0.6956521739130435,low_Q,eNKI
29,14,Single site Train,0.8648648648648649,0.9386121256391525,0.8626373626373627,0.8486486486486486,low_Q,eNKI
30,15,Single site Test,0.698427382053654,0.7895467160037002,0.7142857142857143,0.7446808510638298,low_Q,eNKI
31,15,Single site Train,0.8698589894242068,0.9323736780258519,0.8666666666666667,0.8478260869565217,low_Q,eNKI
32,16,Single site Test,0.7414431082331174,0.8098982423681775,0.7272727272727273,0.6956521739130435,low_Q,eNKI
33,16,Single site Train,0.84286133960047,0.9317273795534666,0.8406593406593407,0.827027027027027,low_Q,eNKI
34,17,Single site Test,0.5978260869565217,0.7055765595463138,0.5934065934065934,0.5869565217391305,low_Q,eNKI
35,17,Single site Train,0.8837837837837839,0.9466471877282688,0.8815426997245179,0.8648648648648649,low_Q,eNKI
36,18,Single site Test,0.7173913043478262,0.7698487712665406,0.7045454545454546,0.6739130434782609,low_Q,eNKI
37,18,Single site Train,0.8594594594594596,0.9390211833455077,0.8571428571428571,0.8432432432432433,low_Q,eNKI
38,19,Single site Test,0.7065217391304348,0.7646502835538753,0.6966292134831461,0.6739130434782609,low_Q,eNKI
39,19,Single site Train,0.8648648648648649,0.9377647918188459,0.8633879781420765,0.8540540540540541,low_Q,eNKI
40,20,Single site Test,0.8061979648473636,0.8607770582793709,0.8125,0.8297872340425532,low_Q,eNKI
41,20,Single site Train,0.8508813160987074,0.9382491186839014,0.8467966573816156,0.8260869565217391,low_Q,eNKI
42,21,Single site Test,0.6665124884366327,0.746068455134135,0.6593406593406593,0.6521739130434783,low_Q,eNKI
43,21,Single site Train,0.8672737955346651,0.9330199764982373,0.8642659279778393,0.8432432432432433,low_Q,eNKI
44,22,Single site Test,0.8152173913043479,0.8643667296786389,0.8045977011494253,0.7608695652173914,low_Q,eNKI
45,22,Single site Train,0.8648648648648649,0.935018261504748,0.8633879781420765,0.8540540540540541,low_Q,eNKI
46,23,Single site Test,0.6086956521739131,0.6219281663516067,0.5609756097560976,0.5,low_Q,eNKI
47,23,Single site Train,0.8729729729729729,0.9406281957633309,0.8705234159779615,0.8540540540540541,low_Q,eNKI
48,24,Single site Test,0.7282608695652173,0.7939508506616257,0.7311827956989247,0.7391304347826086,low_Q,eNKI
49,24,Single site Train,0.8675675675675676,0.9422644265887509,0.8635097493036211,0.8378378378378378,low_Q,eNKI
