,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Pooled data Test,0.5714285714285714,0.5918367346938775,0.6086956521739131,0.6666666666666666,['random_Q'],SALD,0
1,0,Pooled data Test,0.644122383252818,0.7246376811594203,0.64,0.6956521739130435,['random_Q'],eNKI,0
2,0,Pooled data Test,0.6741071428571428,0.7287946428571428,0.6428571428571429,0.5625,['random_Q'],CamCAN,0
3,0,Pooled data Train,0.8354430379746836,0.9298189392725524,0.8505747126436781,0.9367088607594937,['random_Q'],SALD,0
4,0,Pooled data Train,0.8734967097798956,0.9415324105589592,0.8786610878661087,0.8974358974358975,['random_Q'],eNKI,0
5,0,Pooled data Train,0.7886904761904762,0.9183201058201058,0.7578947368421053,0.6666666666666666,['random_Q'],CamCAN,0
6,1,Pooled data Test,0.6000000000000001,0.67,0.6190476190476191,0.65,['random_Q'],SALD,0
7,1,Pooled data Test,0.7672634271099744,0.8005115089514065,0.8333333333333334,0.8823529411764706,['random_Q'],eNKI,0
8,1,Pooled data Test,0.6439393939393939,0.7107438016528925,0.55,0.5,['random_Q'],CamCAN,0
9,1,Pooled data Train,0.825,0.9217187499999999,0.8390804597701149,0.9125,['random_Q'],SALD,0
10,1,Pooled data Train,0.8386147395581358,0.9249314626673117,0.8317757009345794,0.839622641509434,['random_Q'],eNKI,0
11,1,Pooled data Train,0.8435371455726279,0.9101061302075084,0.8348623853211009,0.7711864406779662,['random_Q'],CamCAN,0
12,2,Pooled data Test,0.6815217391304348,0.7326086956521739,0.7636363636363637,0.9130434782608695,['random_Q'],SALD,0
13,2,Pooled data Test,0.6674876847290641,0.7019704433497537,0.6779661016949152,0.7142857142857143,['random_Q'],eNKI,0
14,2,Pooled data Test,0.6348148148148148,0.6933333333333334,0.6274509803921569,0.64,['random_Q'],CamCAN,0
15,2,Pooled data Train,0.8168019480519481,0.9123376623376623,0.8263473053892215,0.8961038961038961,['random_Q'],SALD,0
16,2,Pooled data Train,0.8788610038610039,0.9487612612612614,0.8810572687224669,0.8928571428571429,['random_Q'],eNKI,0
17,2,Pooled data Train,0.8166217776067719,0.913659099653713,0.7980769230769231,0.7217391304347827,['random_Q'],CamCAN,0
18,3,Pooled data Test,0.618421052631579,0.7511961722488038,0.6363636363636364,0.7368421052631579,['random_Q'],SALD,0
19,3,Pooled data Test,0.7407407407407407,0.8408779149519889,0.7407407407407407,0.7407407407407407,['random_Q'],eNKI,0
20,3,Pooled data Test,0.7574074074074073,0.7765432098765432,0.75,0.7,['random_Q'],CamCAN,0
21,3,Pooled data Train,0.8157644824311491,0.9278252611585944,0.8361581920903954,0.9135802469135802,['random_Q'],SALD,0
22,3,Pooled data Train,0.8672566371681416,0.9422820894353513,0.8706896551724138,0.8938053097345132,['random_Q'],eNKI,0
23,3,Pooled data Train,0.783266291230893,0.8928399034593726,0.7551020408163265,0.6727272727272727,['random_Q'],CamCAN,0
24,4,Pooled data Test,0.6176470588235294,0.754325259515571,0.6829268292682927,0.8235294117647058,['random_Q'],SALD,0
25,4,Pooled data Test,0.8077731092436975,0.884453781512605,0.7931034482758621,0.8214285714285714,['random_Q'],eNKI,0
26,4,Pooled data Test,0.6819354838709677,0.7832258064516129,0.6122448979591837,0.4838709677419355,['random_Q'],CamCAN,0
27,4,Pooled data Train,0.8554216867469879,0.9390332413993323,0.8620689655172413,0.9036144578313253,['random_Q'],SALD,0
28,4,Pooled data Train,0.866745283018868,0.9361522911051213,0.8711111111111111,0.875,['random_Q'],eNKI,0
29,4,Pooled data Train,0.819625049860391,0.9219784603111288,0.803921568627451,0.7522935779816514,['random_Q'],CamCAN,0
30,5,Pooled data Test,0.6915113871635611,0.8178053830227743,0.7307692307692307,0.9047619047619048,['random_Q'],SALD,0
31,5,Pooled data Test,0.7478260869565218,0.7947826086956521,0.7272727272727273,0.6956521739130435,['random_Q'],eNKI,0
32,5,Pooled data Test,0.6785714285714286,0.7455357142857143,0.6153846153846154,0.5,['random_Q'],CamCAN,0
33,5,Pooled data Train,0.8001808318264014,0.916324182146967,0.8187134502923976,0.8860759493670886,['random_Q'],SALD,0
34,5,Pooled data Train,0.8661092530657748,0.9305834262356002,0.8713692946058091,0.8974358974358975,['random_Q'],eNKI,0
35,5,Pooled data Train,0.816468253968254,0.908234126984127,0.7959183673469388,0.7222222222222222,['random_Q'],CamCAN,0
36,6,Pooled data Test,0.6784313725490196,0.6901960784313725,0.7368421052631579,0.8235294117647058,['random_Q'],SALD,0
37,6,Pooled data Test,0.6888045540796963,0.77988614800759,0.7222222222222222,0.7647058823529411,['random_Q'],eNKI,0
38,6,Pooled data Test,0.5666666666666667,0.656,0.46511627906976744,0.4,['random_Q'],CamCAN,0
39,6,Pooled data Train,0.8167965981573353,0.9312544294826364,0.8324324324324325,0.927710843373494,['random_Q'],SALD,0
40,6,Pooled data Train,0.8930673359875367,0.9518781374415787,0.892018779342723,0.8962264150943396,['random_Q'],eNKI,0
41,6,Pooled data Train,0.8150197628458498,0.9161264822134387,0.8018867924528302,0.7391304347826086,['random_Q'],CamCAN,0
42,7,Pooled data Test,0.5058823529411764,0.5098039215686274,0.5294117647058824,0.6,['random_Q'],SALD,0
43,7,Pooled data Test,0.8404074702886248,0.8981324278438031,0.8253968253968254,0.8387096774193549,['random_Q'],eNKI,0
44,7,Pooled data Test,0.5666666666666667,0.6253968253968254,0.5490196078431373,0.4666666666666667,['random_Q'],CamCAN,0
45,7,Pooled data Train,0.8201275690999291,0.92487597448618,0.8404255319148937,0.9294117647058824,['random_Q'],SALD,0
46,7,Pooled data Train,0.8521316783594172,0.929303831624393,0.8609865470852018,0.8807339449541285,['random_Q'],eNKI,0
47,7,Pooled data Train,0.8209320091673034,0.9313216195569137,0.7959183673469388,0.7090909090909091,['random_Q'],CamCAN,0
48,8,Pooled data Test,0.6353383458646616,0.7393483709273183,0.6808510638297872,0.8421052631578947,['random_Q'],SALD,0
49,8,Pooled data Test,0.6828703703703703,0.7453703703703703,0.7142857142857143,0.7407407407407407,['random_Q'],eNKI,0
50,8,Pooled data Test,0.7204301075268817,0.8032258064516129,0.7017543859649122,0.6666666666666666,['random_Q'],CamCAN,0
51,8,Pooled data Train,0.8302078449757775,0.9313955305516486,0.8457142857142858,0.9135802469135802,['random_Q'],SALD,0
52,8,Pooled data Train,0.8779371376258773,0.9409520903265182,0.8782608695652174,0.8938053097345132,['random_Q'],eNKI,0
53,8,Pooled data Train,0.7996246872393662,0.8962468723936614,0.7731958762886598,0.6818181818181818,['random_Q'],CamCAN,0
54,9,Pooled data Test,0.6041666666666666,0.6577380952380952,0.6774193548387096,0.75,['random_Q'],SALD,0
55,9,Pooled data Test,0.7009090909090909,0.7581818181818183,0.72,0.72,['random_Q'],eNKI,0
56,9,Pooled data Test,0.7043478260869566,0.8159420289855073,0.6511627906976745,0.6086956521739131,['random_Q'],CamCAN,0
57,9,Pooled data Train,0.860014619883041,0.9259868421052632,0.864516129032258,0.9305555555555556,['random_Q'],SALD,0
58,9,Pooled data Train,0.841451731761238,0.9332350773765661,0.8425531914893617,0.8608695652173913,['random_Q'],eNKI,0
59,9,Pooled data Train,0.8175213675213675,0.8967365967365967,0.8037383177570093,0.7350427350427351,['random_Q'],CamCAN,0
60,10,Pooled data Test,0.5047846889952152,0.5526315789473684,0.5714285714285714,0.7368421052631579,['random_Q'],SALD,0
61,10,Pooled data Test,0.7041666666666666,0.7777777777777778,0.7241379310344828,0.7,['random_Q'],eNKI,0
62,10,Pooled data Test,0.6555555555555556,0.7320987654320988,0.5581395348837209,0.4444444444444444,['random_Q'],CamCAN,0
63,10,Pooled data Train,0.8349952516619183,0.9202279202279202,0.8505747126436781,0.9135802469135802,['random_Q'],SALD,0
64,10,Pooled data Train,0.8628526645768024,0.9336990595611285,0.8597285067873304,0.8636363636363636,['random_Q'],eNKI,0
65,10,Pooled data Train,0.7996781979082863,0.906436041834272,0.7761194029850746,0.6902654867256637,['random_Q'],CamCAN,0
66,11,Pooled data Test,0.7008547008547008,0.7692307692307693,0.6875,0.8461538461538461,['random_Q'],SALD,0
67,11,Pooled data Test,0.7147177419354839,0.7479838709677421,0.7096774193548387,0.6875,['random_Q'],eNKI,0
68,11,Pooled data Test,0.7275985663082437,0.8040621266427719,0.7241379310344828,0.6774193548387096,['random_Q'],CamCAN,0
69,11,Pooled data Train,0.832071768993552,0.9306139613120269,0.8494623655913979,0.9080459770114943,['random_Q'],SALD,0
70,11,Pooled data Train,0.8617906897723411,0.9433401291199457,0.8623853211009175,0.8703703703703703,['random_Q'],eNKI,0
71,11,Pooled data Train,0.795364130876025,0.9136153284078916,0.7692307692307693,0.6880733944954128,['random_Q'],CamCAN,0
72,12,Pooled data Test,0.7246376811594203,0.8521739130434782,0.782608695652174,0.782608695652174,['random_Q'],SALD,0
73,12,Pooled data Test,0.7392857142857143,0.8214285714285714,0.7619047619047619,0.8,['random_Q'],eNKI,0
74,12,Pooled data Test,0.6679841897233202,0.7457180500658761,0.6086956521739131,0.6086956521739131,['random_Q'],CamCAN,0
75,12,Pooled data Train,0.823911382734912,0.9148968678380444,0.8242424242424242,0.8831168831168831,['random_Q'],SALD,0
76,12,Pooled data Train,0.8741071428571429,0.9390422077922077,0.8761061946902655,0.9,['random_Q'],eNKI,0
77,12,Pooled data Train,0.8211917884815081,0.9043853342918764,0.8056872037914692,0.7264957264957265,['random_Q'],CamCAN,0
78,13,Pooled data Test,0.6158333333333333,0.6916666666666667,0.6666666666666666,0.7916666666666666,['random_Q'],SALD,0
79,13,Pooled data Test,0.7767857142857143,0.8363095238095238,0.7777777777777778,0.875,['random_Q'],eNKI,0
