,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Pooled data Test,0.76,0.8013333333333333,0.7666666666666667,0.92,['random_Q'],SALD,0
1,0,Pooled data Test,0.7204347826086956,0.8382608695652173,0.7157894736842105,0.68,['random_Q'],eNKI,0
2,0,Pooled data Test,0.6216450216450217,0.7532467532467533,0.5666666666666667,0.4857142857142857,['random_Q'],CamCAN,0
3,0,Pooled data Train,0.7670264518090605,0.8955609607783521,0.7909967845659164,0.8601398601398601,['random_Q'],SALD,0
4,0,Pooled data Train,0.8487564747805003,0.9427280408508137,0.8502994011976048,0.8711656441717791,['random_Q'],eNKI,0
5,0,Pooled data Train,0.8056304884348275,0.9149400218102508,0.7692307692307693,0.648854961832061,['random_Q'],CamCAN,0
6,1,Pooled data Test,0.5714285714285714,0.7023809523809524,0.6067415730337079,0.6428571428571429,['random_Q'],SALD,0
7,1,Pooled data Test,0.7734604105571847,0.8196480938416422,0.8,0.7727272727272727,['random_Q'],eNKI,0
8,1,Pooled data Test,0.8585526315789473,0.9144736842105262,0.8235294117647058,0.875,['random_Q'],CamCAN,0
9,1,Pooled data Train,0.7962549603174602,0.926153273809524,0.8169014084507042,0.9206349206349206,['random_Q'],SALD,0
10,1,Pooled data Train,0.849323753169907,0.9319526627218935,0.8454810495626822,0.8579881656804734,['random_Q'],eNKI,0
11,1,Pooled data Train,0.7997359154929577,0.9068551936619718,0.7704918032786885,0.6619718309859155,['random_Q'],CamCAN,0
12,2,Pooled data Test,0.7318548387096775,0.7927419354838708,0.7222222222222222,0.8387096774193549,['random_Q'],SALD,0
13,2,Pooled data Test,0.6909722222222223,0.7934027777777778,0.6888888888888889,0.8611111111111112,['random_Q'],eNKI,0
14,2,Pooled data Test,0.6926406926406926,0.8062770562770563,0.625,0.47619047619047616,['random_Q'],CamCAN,0
15,2,Pooled data Train,0.773123859489051,0.8916514598540146,0.8065573770491803,0.8978102189781022,['random_Q'],SALD,0
16,2,Pooled data Train,0.8673343605546995,0.939633624379387,0.8760330578512396,0.8983050847457628,['random_Q'],eNKI,0
17,2,Pooled data Train,0.8149641577060931,0.9182907706093191,0.783410138248848,0.6854838709677419,['random_Q'],CamCAN,0
18,3,Pooled data Test,0.6317733990147784,0.6945812807881774,0.675,0.6428571428571429,['random_Q'],SALD,0
19,3,Pooled data Test,0.7125850340136055,0.7755102040816326,0.6904761904761905,0.6904761904761905,['random_Q'],eNKI,0
20,3,Pooled data Test,0.70875,0.8475,0.6153846153846154,0.48,['random_Q'],CamCAN,0
21,3,Pooled data Train,0.7825739408473221,0.9025351147653305,0.7915194346289752,0.8888888888888888,['random_Q'],SALD,0
22,3,Pooled data Train,0.8378619312508915,0.9294679788903152,0.848314606741573,0.8830409356725146,['random_Q'],eNKI,0
23,3,Pooled data Train,0.7962051444903144,0.9062136127871282,0.7654320987654321,0.6595744680851063,['random_Q'],CamCAN,0
24,4,Pooled data Test,0.6157635467980296,0.6834975369458128,0.6451612903225806,0.7142857142857143,['random_Q'],SALD,0
25,4,Pooled data Test,0.7864290181363351,0.8655409631019387,0.8,0.8292682926829268,['random_Q'],eNKI,0
