,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,None Test,0.8,0.8,0.8000000000000002,0.8,low_Q,SALD
1,0,None Train,0.94375,0.99140625,0.9433962264150944,0.9375,low_Q,SALD
2,1,None Test,0.7,0.8099999999999999,0.7,0.7,low_Q,SALD
3,1,None Train,0.9625,0.991875,0.9615384615384615,0.9375,low_Q,SALD
4,2,None Test,0.525,0.5875,0.5365853658536585,0.55,low_Q,SALD
5,2,None Train,0.9750000000000001,0.9951562500000001,0.9746835443037976,0.9625,low_Q,SALD
6,3,None Test,0.775,0.8225,0.7692307692307692,0.75,low_Q,SALD
7,3,None Train,0.9624999999999999,0.9934375000000001,0.9620253164556962,0.95,low_Q,SALD
8,4,None Test,0.75,0.7475,0.7727272727272727,0.85,low_Q,SALD
9,4,None Train,0.95625,0.9929687500000001,0.9559748427672956,0.95,low_Q,SALD
10,5,None Test,0.775,0.835,0.7804878048780488,0.8,low_Q,SALD
11,5,None Train,0.95625,0.99125,0.9565217391304348,0.9625,low_Q,SALD
12,6,None Test,0.675,0.7449999999999999,0.6666666666666667,0.65,low_Q,SALD
13,6,None Train,0.9375,0.9921875,0.9375,0.9375,low_Q,SALD
14,7,None Test,0.75,0.7324999999999999,0.7368421052631577,0.7,low_Q,SALD
15,7,None Train,0.9750000000000001,0.9935937499999999,0.9746835443037976,0.9625,low_Q,SALD
16,8,None Test,0.775,0.8925000000000001,0.7999999999999999,0.9,low_Q,SALD
17,8,None Train,0.94375,0.99078125,0.9440993788819876,0.95,low_Q,SALD
18,9,None Test,0.75,0.765,0.75,0.75,low_Q,SALD
19,9,None Train,0.95625,0.9934375,0.9559748427672956,0.95,low_Q,SALD
20,10,None Test,0.725,0.7,0.7317073170731706,0.75,low_Q,SALD
21,10,None Train,0.96875,0.99203125,0.9685534591194969,0.9625,low_Q,SALD
22,11,None Test,0.625,0.72,0.6341463414634146,0.65,low_Q,SALD
23,11,None Train,0.94375,0.9896874999999999,0.9433962264150944,0.9375,low_Q,SALD
24,12,None Test,0.7749999999999999,0.7949999999999999,0.7567567567567567,0.7,low_Q,SALD
25,12,None Train,0.9624999999999999,0.9935937499999999,0.9629629629629629,0.975,low_Q,SALD
26,13,None Test,0.825,0.8775,0.8292682926829269,0.85,low_Q,SALD
27,13,None Train,0.95625,0.9928125,0.9565217391304348,0.9625,low_Q,SALD
28,14,None Test,0.75,0.6925,0.761904761904762,0.8,low_Q,SALD
29,14,None Train,0.9625,0.99453125,0.9625000000000001,0.9625,low_Q,SALD
30,15,None Test,0.725,0.74,0.717948717948718,0.7,low_Q,SALD
31,15,None Train,0.95,0.9946875000000001,0.9506172839506174,0.9625,low_Q,SALD
32,16,None Test,0.675,0.7825,0.6976744186046512,0.75,low_Q,SALD
33,16,None Train,0.94375,0.9903125,0.9433962264150944,0.9375,low_Q,SALD
34,17,None Test,0.725,0.845,0.7317073170731706,0.75,low_Q,SALD
35,17,None Train,0.94375,0.98984375,0.9433962264150944,0.9375,low_Q,SALD
36,18,None Test,0.725,0.7875000000000001,0.7317073170731706,0.75,low_Q,SALD
