,Feature,P-value,sampling
0,2,3.1123416837763005e-07,high_Q
1,3,2.51649656501963e-11,high_Q
2,4,1.0867531625532293e-13,high_Q
3,5,1.5806474689681827e-14,high_Q
4,6,5.570898683047973e-08,high_Q
5,7,0.002929412712573088,high_Q
6,8,0.00027659002567564456,high_Q
7,9,7.507049814819604e-07,high_Q
8,10,1.135614501670552e-07,high_Q
9,11,6.900382545454694e-13,high_Q
10,12,6.975574055838073e-13,high_Q
11,13,5.664252431731076e-07,high_Q
12,14,0.006890776155505285,high_Q
13,15,0.13341493756033546,high_Q
14,16,0.3329393429130286,high_Q
15,17,0.7351143815396279,high_Q
16,18,0.1977728024157358,high_Q
17,19,0.2918634292984448,high_Q
18,20,0.13000592315871248,high_Q
19,21,0.002643617570802627,high_Q
20,22,0.00419079400053024,high_Q
21,23,3.751284136759594e-05,high_Q
22,24,0.001164553047750506,high_Q
23,25,0.2237396125379796,high_Q
24,26,0.4485403648873919,high_Q
25,27,0.1402962630251212,high_Q
26,28,0.03243049165030136,high_Q
27,29,0.2652228793597315,high_Q
28,30,0.2815032090815234,high_Q
29,31,0.4359931114116202,high_Q
30,32,0.006092807142971852,high_Q
31,33,0.8550063696502547,high_Q
32,34,0.5679119304606195,high_Q
33,35,0.8149261090253844,high_Q
34,36,0.3012315480121533,high_Q
35,37,0.13811027248016136,high_Q
36,38,0.005788271947195038,high_Q
37,39,0.43227934696873405,high_Q
38,40,0.6950049023982574,high_Q
39,41,0.7444699525220362,high_Q
40,42,0.1933952679995836,high_Q
41,43,0.14430514812022083,high_Q
42,44,0.01455744105647597,high_Q
43,45,0.07952110435240228,high_Q
44,46,0.051178869144597496,high_Q
45,47,0.17117431203838057,high_Q
46,48,0.3072955919843702,high_Q
47,49,0.5096327713080477,high_Q
48,50,0.06069568260551741,high_Q
49,51,0.034792485395325715,high_Q
50,52,0.4315434964495336,high_Q
51,53,0.8220367817616343,high_Q
52,54,0.000325319111340589,high_Q
53,55,0.03257593088248671,high_Q
54,56,0.07853832830871872,high_Q
55,57,0.0012334647021924722,high_Q
56,58,0.008137556518508272,high_Q
57,59,0.3364978803833052,high_Q
58,60,0.9162587253478083,high_Q
59,61,0.09960540528082618,high_Q
60,62,0.02160836130266456,high_Q
61,63,0.0076608931165822805,high_Q
62,64,0.017192431171420323,high_Q
63,65,0.02516753280298676,high_Q
64,66,0.0339493365099254,high_Q
65,67,0.0062448418254581915,high_Q
66,68,0.00014853599293736662,high_Q
67,69,1.6722242903989939e-06,high_Q
68,70,4.6591750099476146e-12,high_Q
69,71,2.830977563840948e-07,high_Q
70,72,0.003912432277098688,high_Q
71,73,0.009468472323638524,high_Q
72,74,0.0013188857311925448,high_Q
73,75,0.00013447762576340803,high_Q
74,76,6.222516332925288e-07,high_Q
75,77,3.808216011646121e-10,high_Q
76,78,1.419120858400348e-13,high_Q
77,79,1.7667188482027118e-13,high_Q
78,80,5.578339705595489e-08,high_Q
79,81,0.00026287760782977914,high_Q
80,82,0.048924459372553075,high_Q
81,83,0.5566754505955201,high_Q
82,84,0.0006350575184262608,high_Q
83,85,0.004539235514338197,high_Q
84,86,0.24040050208404634,high_Q
85,87,0.4304300575490362,high_Q
86,88,0.013408664027432158,high_Q
87,89,0.00015129541286730045,high_Q
88,90,0.00015438889589812526,high_Q
89,91,9.05325220134758e-08,high_Q
90,92,0.0007585871476167343,high_Q
91,93,0.12540497286653515,high_Q
92,94,0.045250562561454793,high_Q
93,95,0.010306785952175889,high_Q
94,96,0.03568579874766544,high_Q
95,97,0.0019673899285581574,high_Q
96,98,0.06746222310895662,high_Q
97,99,0.1149849323116424,high_Q
98,100,0.2899592235543709,high_Q
99,101,0.9349945997875029,high_Q
100,102,0.06268530516746419,high_Q
101,103,0.002798937323682551,high_Q
102,104,0.0024173241209160925,high_Q
103,105,0.04477567960596332,high_Q
104,106,0.9668650392570779,high_Q
105,107,0.692627868749307,high_Q
106,108,0.006690860851194161,high_Q
107,109,0.042778200391190464,high_Q
108,110,0.06570662282123707,high_Q
109,111,0.9450719435274904,high_Q
110,112,0.0018171051582940433,high_Q
111,113,0.13883329234603928,high_Q
112,114,0.29040372056554126,high_Q
113,115,0.12984935698939268,high_Q
114,116,0.0009407535167394677,high_Q
115,117,0.13124812911377223,high_Q
116,118,0.5670846499320035,high_Q
117,119,0.3795792182275317,high_Q
118,120,0.13501579355334425,high_Q
119,121,0.5117673536051632,high_Q
120,122,0.4886418347072239,high_Q
121,123,0.38712160110017524,high_Q
122,124,0.00742156768791613,high_Q
123,125,0.5799022412772308,high_Q
124,126,0.8649017099021856,high_Q
125,127,0.044554328156104196,high_Q
126,128,0.0004969487118084739,high_Q
127,129,0.1656098611019027,high_Q
128,130,0.3231304596496737,high_Q
129,131,0.08261604411030553,high_Q
130,132,0.04768593198364899,high_Q
131,133,0.5692188058431619,high_Q
132,134,0.5023996904543893,high_Q
133,135,0.1173670622472454,high_Q
134,136,0.1202619805606279,high_Q
135,137,0.9508931754476199,high_Q
136,138,0.13245133780348553,high_Q
137,139,0.5021606068823612,high_Q
138,140,0.38479264586221584,high_Q
139,141,0.6672545562241886,high_Q
140,142,0.6122224310499913,high_Q
141,143,0.0006746117129440703,high_Q
142,144,0.0011212892378044239,high_Q
143,145,0.024577377513044518,high_Q
144,146,0.00022939285882886892,high_Q
145,147,0.035928867310483226,high_Q
146,148,0.06556651156936627,high_Q
147,149,0.05722610836534953,high_Q
148,150,4.510073640562654e-11,high_Q
149,151,0.8798897586132091,high_Q
150,152,0.2922890598701804,high_Q
151,153,0.01046758810081601,high_Q
152,154,0.005115496785248407,high_Q
153,155,0.023659053216439577,high_Q
154,156,0.2171140579447486,high_Q
155,157,0.0007272273708127955,high_Q
156,158,2.7087151166502956e-14,high_Q
157,159,8.161489437994226e-11,high_Q
158,160,1.660388993520618e-08,high_Q
159,161,0.0008428861483504541,high_Q
160,162,0.0017993026038241647,high_Q
161,163,0.00037754436192852985,high_Q
162,164,0.0019920624716406716,high_Q
163,165,0.007029796429229541,high_Q
164,166,0.005463921818718347,high_Q
165,167,0.0007189636913558222,high_Q
166,168,1.0821857182146527e-07,high_Q
167,169,1.1253497590310564e-11,high_Q
168,170,2.164425148072787e-13,high_Q
169,171,1.5092432140089187e-08,high_Q
170,172,6.830111527531822e-05,high_Q
171,173,0.10512006732591436,high_Q
172,174,0.448882709322176,high_Q
173,175,0.00021395702681063455,high_Q
174,176,0.10360707750274727,high_Q
175,177,0.023585075482780302,high_Q
176,178,1.0330840185559513e-06,high_Q
177,179,4.3015914252339944e-12,high_Q
178,180,6.528421397116662e-14,high_Q
179,181,2.6724341956286414e-09,high_Q
180,182,2.727245384292361e-06,high_Q
181,183,0.0001248000815142057,high_Q
182,184,0.039483045020788365,high_Q
183,185,0.0036147819609851136,high_Q
184,186,1.4021469581891913e-06,high_Q
185,187,4.437409509609954e-09,high_Q
186,188,3.490691951917668e-05,high_Q
187,189,2.669012728839788e-05,high_Q
188,190,0.11227578136008362,high_Q
189,191,0.0367553690039753,high_Q
190,192,0.013697728101452766,high_Q
191,193,0.0026519303788320654,high_Q
