,Feature,P-value,sampling
0,2,0.00012024009701324377,low_Q
1,3,4.69653607769435e-06,low_Q
2,4,1.8765639785500356e-06,low_Q
3,5,9.368341225123814e-08,low_Q
4,6,4.370029259187752e-05,low_Q
5,7,0.026843953580419456,low_Q
6,8,0.007756254563670831,low_Q
7,9,0.0008683735050798518,low_Q
8,10,0.0007099905137933452,low_Q
9,11,2.30402799165213e-05,low_Q
10,12,5.622158691830479e-06,low_Q
11,13,0.00037239509797988514,low_Q
12,14,0.02015356111709439,low_Q
13,15,0.1479932869125292,low_Q
14,16,0.67519198071023,low_Q
15,17,0.9946166448141572,low_Q
16,18,0.4274225979364027,low_Q
17,19,0.5093143235529265,low_Q
18,20,0.3870127286263926,low_Q
19,21,0.06294513796290697,low_Q
20,22,0.0962525346528201,low_Q
21,23,0.015361583114811768,low_Q
22,24,0.039216145727054154,low_Q
23,25,0.177590791447005,low_Q
24,26,0.2532147318596962,low_Q
25,27,0.14636646584788812,low_Q
26,28,0.10012827934033562,low_Q
27,29,0.5774766302959762,low_Q
28,30,0.4656499111629855,low_Q
29,31,0.7154902107910561,low_Q
30,32,0.10442933998950453,low_Q
31,33,0.9787508379397314,low_Q
32,34,0.6843905424498993,low_Q
33,35,0.9575256101159446,low_Q
34,36,0.7929283557403415,low_Q
35,37,0.7582238354494495,low_Q
36,38,0.04270491380987767,low_Q
37,39,0.8128467139167259,low_Q
38,40,0.8431439011138148,low_Q
39,41,0.9226809728289184,low_Q
40,42,0.4387136748219552,low_Q
41,43,0.2489425544739367,low_Q
42,44,0.06982536476710119,low_Q
43,45,0.18733667418082522,low_Q
44,46,0.2419974732554321,low_Q
45,47,0.3393027123288064,low_Q
46,48,0.42668589631691833,low_Q
47,49,0.7366474214773919,low_Q
48,50,0.36885256829457846,low_Q
49,51,0.16628491734211892,low_Q
50,52,0.4412423991118545,low_Q
51,53,0.970870154522488,low_Q
52,54,0.07047522581165841,low_Q
53,55,0.29289146931557214,low_Q
54,56,0.21450065423439088,low_Q
55,57,0.03859664332247946,low_Q
56,58,0.14533942401520822,low_Q
57,59,0.8481392495920449,low_Q
58,60,0.6279491718598433,low_Q
59,61,0.14789250010654365,low_Q
60,62,0.08148383673565064,low_Q
61,63,0.05474965612396653,low_Q
62,64,0.054025300584822994,low_Q
63,65,0.06757026444874319,low_Q
64,66,0.053041427983178006,low_Q
65,67,0.029583460437877587,low_Q
66,68,0.0051238282288847015,low_Q
67,69,0.0008842519859723624,low_Q
